"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","diff.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","diff.test_mean","cor.test_mean","auc.lt5.test_mean"
990,0.2,1,1,0.5,0.002,1,0.2,"relu",0.7,0.2,0.876092020936388,-19.2124739268798,0.401718372156563,4.20656449456324,0.228343648247352,0.519556286215957,0,0.674986534334802,-7.69090701522366,-0.270733631886582,2.18512352310136,0.0885176162511149,0.219580942868021,35.8
319,0.2,0.4,0.75,1,0.001,2,0.2,"relu",0.5,0.1,0.819518581632514,-22.3805457611936,0.265065500455709,2.43406292296613,0.132332524406188,0.415715320887859,1,0.644154998144953,-7.11028740749935,-0.0193423601483158,1.5842250808869,0.0535864486049881,0.186863746875226,46.4
104,0.8,0,0.5,1,0.001,2,0.2,"relu",0,0.8,0.788808918654136,-23.6358944083383,0.211358113291049,1.92756578432961,0.0986004778192854,0.364452461222469,2.4,0.620260544469971,-7.14452564624862,-0.00280473736818079,1.35824623534441,0.039071686742483,0.152221117918343,53.4
611,0.8,0.8,0.5,0.25,0.002,1,0.1,"relu",0.8,0.4,0.908536275270308,-16.7372243067762,0.499802149079316,6.64479909110564,0.314254659984112,0.604443133841469,0,0.650494259588955,-9.16652922576123,-0.934497334609517,57.8522813316535,0.0931858014691518,0.192518132443701,45.4
36,0.6,0.2,0.25,0.75,0.002,2,0.2,"relu",0,0.5,0.806066294174368,-23.0705773576728,0.240516034969941,2.11464982751061,0.121649386022278,0.386405385857341,0.6,0.60238619676351,-7.4370385989459,-0.0899066835454579,1.2691040779106,0.0350335735055293,0.126649413664297,56
840,0.4,0.2,0.5,0.75,0.002,2,0.2,"relu",0.3,1,0.84500154524796,-20.8064455972187,0.332862735645477,3.2294970754848,0.176663133310633,0.459406420493428,0,0.66742849443408,-7.43750366509668,-0.184218761195031,2.07336646833219,0.076620519035606,0.219795527392388,39.6
66,0.6,0.4,1,0.5,0.001,2,0.1,"relu",0.2,0.8,0.843865632163564,-20.7634835159388,0.334667509747274,3.25499634381293,0.184485432290997,0.461553438206484,0.2,0.663443830627325,-7.32800615471346,-0.11943963574672,1.87610463326449,0.0749011297363654,0.208889000304829,35.6
