clearcut,insideHJA,oldGrowthIndex,elevation_m,canopyHeight_m,precipitation_mm,mean.NDVI,mean.EVI,mean.green,mean.wet,l_p25,l_rumple,B1_mean,B4_mean,lg_DistStream,lg_DistRoad,lg_YrsDisturb,lg_cover2m_max,lg_cover2m_4m,lg_cover4m_16m
yes,no,-1.2424484153749595,1.6885770452075317,-1.0320289446144286,2.2573221040246088,0.9458215134284206,0.5342154105725306,2.7226449790458944,-0.7470433527184303,-1.474807680455169,-0.8701566561178001,-0.6225466387878918,-0.05009354825895659,0.7544257307160454,-0.10225871534898825,-0.6143627947584017,-3.181996530801331,1.3773905470412806,0.5844457097869361
yes,no,-1.429827096699718,0.4436596001393078,-0.9010935580918271,0.2687079661091194,0.83678106866166,0.20388041872142665,0.3649325803012304,0.9753130626291683,-1.1091659931198392,-0.9729029907398383,-0.7968460378209911,-0.6124193018355797,-0.020872910808272277,0.30147116137411883,-1.0009123557022772,0.14640336461970116,0.6840017146076727,1.3477904753540149
no,no,0.4439597165478647,1.4674693722831567,-1.6569198922492128,0.7728698060588662,0.40061928959462023,-0.1024989821175743,0.0334535683198429,-0.27610533985066027,-0.785365193368741,0.10994880388326322,-0.7667944172980429,-0.3178677166287771,0.6460852783418494,-0.8695833019981218,0.7706914791489429,-0.5997220882790892,1.1411615288297974,0.5798514602387296
no,no,-0.2118656680887892,0.5908406530123842,-1.3195223697368967,0.789109284518438,-0.0011086648092309113,-0.9623786173941101,-1.5193354099372305,0.36345497941477667,1.5142863755842497,3.4856825177893573,-1.235599697456034,-0.6525854270910528,-0.11930405350609063,-0.2548602186586491,0.7706914791489429,0.29305441054963666,0.3099962447910057,-0.3475048043122774
yes,no,-0.774001712063064,-0.21623411961528824,-0.7243838760162217,-0.6483119809733628,0.48670385125258925,0.45100125231996174,-0.44882122370225774,0.6212062191940676,-1.020953568655033,-0.7801467255486925,-0.25591686840792444,-0.5789475307893521,0.9629169067504089,0.7067798217738779,-0.6355652346823649,0.2743910427711847,0.9098533041825247,1.2132546697195215
yes,no,-0.5866230307383057,-0.020491251867436153,0.2710994810361038,0.07185448129625921,-0.23066749589714658,-0.3017086336919032,-0.20972160850256844,-0.442318756156932,0.5671358180233119,-0.7510391450689237,-0.015503904224339235,0.10387659855369022,-0.3632611909746489,0.3855067843259428,-0.3925809620048863,0.47285377776746573,-0.9481589699172237,-0.6729264629089025
no,no,-0.0713316570952205,-0.40364364537094743,1.3390751056126735,-0.7132150359871442,0.40061928959462023,0.6565150067922134,-0.24436388229570524,0.7067218174385987,-0.35762840848889493,0.5377755287844445,-0.009493580119749606,-0.4484076237090646,0.42520914900409884,-0.5142443948321332,0.7706914791489429,0.031291382537805244,0.35272589145686917,0.4202064287748903
no,no,0.5376490572102438,-0.31739288072699634,-0.6829517397547306,-0.5692121638058963,0.4293141434806116,0.4358714053649488,-0.4243678539659259,0.5561661867263961,1.211006396238281,0.13781157879932066,-0.213844599675797,-0.5053096344876515,0.7445816355563967,-0.45576637947090937,0.7706914791489429,0.418631145743935,-0.6114148291521543,0.2144638724190955
yes,no,-1.3361377560373389,0.5116263805874437,-1.2479633590278045,0.17995808698029397,0.7105237115633076,0.5102598195604277,0.746676852296189,0.7139484877127844,-1.3809987494752076,-0.3750808154587575,-0.2739478407216933,-0.374769727407364,0.3832234249251799,-0.4657294740484395,-0.8805934669709099,-0.6904647536009074,1.5220542431587227,-3.245892703283826
yes,no,-1.289293085706149,-0.7360197832190664,0.06943775008245451,-0.6280388137788434,-2.5951234561026753,-1.9596876958453429,-1.189894178767204,-1.8623594650344275,-0.4863492528742662,-0.9099151663461298,1.2947467505762,1.5398155764368529,0.05739065274890384,0.46570037880906473,-4.002637824001302,0.430425630564461,0.47137308968416225,0.723701331562199
yes,no,-1.289293085706149,0.6263363134886344,-0.8349384960076882,0.43773267684234213,0.0849758968487381,-0.69634547510181,0.49263351114651904,-0.41702541019728195,-0.9055579600511262,-0.4669599322917491,-0.700680852147557,0.11726530697218124,-0.5856675091869248,0.13137972437240011,-3.0132969318025284,0.20024492719614762,0.8652039422963043,1.0899076668421235
yes,no,-1.0550697340502013,-0.2708366085449244,-0.4334536064362133,-4.539533143362698e-4,0.7564354777808908,0.8027701940239993,1.3926533694976224,0.7055173723929011,-0.6550453979532427,-1.0296715984676497,0.14076452249499113,-0.23753546611783097,-1.1958204037701452,0.11175733965645615,-0.7744642662139422,0.44078689875601074,-0.2692175523631597,1.2682742388653716
yes,no,-0.11817632742641007,-1.133273263456987,-0.07728476676474973,-0.6635802800232701,0.48670385125258925,1.0070231279166673,1.580808464413287,0.19603711806280727,-0.8789076918135941,-0.30318850973040234,1.0423131381834356,0.120612484076804,-4.7233322507979425,-1.9475857813127602,-0.8259672875060416,0.016004995293247053,0.37415309465942576,1.1861297461543707
no,no,0.4439597165478647,0.2314206998392392,0.2921620276962717,0.05285730901476419,0.4293141434806116,0.14462185148096077,-0.23689201932071494,0.6910640318445297,1.2040772695654092,-0.635312855155089,-0.5444124254282267,-0.4718378634414239,-1.328746671263422,0.31838168266149486,0.7706914791489429,0.48299016338562684,-1.1587841726355599,-1.3454776128031427
yes,no,0.0692023538983482,-0.1828627933716017,-1.6811789836792828,-0.15150378185007582,-0.4889211808710511,-0.5954798287350608,0.6767130444394617,-0.9337323348015615,-1.5014579486927013,-0.5264026855799404,0.3391052179464489,0.7967422592106008,0.34714764280572186,-0.24563991417258263,-1.6922360495539384,-4.734503495289528,1.1482009619469233,-1.0149500062234404
yes,no,-0.3523996790823579,1.1150424500833154,-0.6456046979770765,0.7728698060588662,0.6760898869001191,0.44469714942204114,1.5876010671178236,0.11413485495536903,-1.320236119594347,-0.5419991595147576,-0.20783427557120737,-0.1036483819329207,0.8170257664601669,-0.25812911806552485,-0.5535939478281676,-0.1129892477625011,1.5232065680465923,1.1423171010407591
