R1327_14;size=2
R1345_37;size=2
R14_97;size=2
R1556_85;size=2
R2071_3;size=2
R597_4;size=2
R692_59;size=2
R892_56;size=2
R1181_43;size=1
R1224_12;size=1
R1225_12;size=1
R1305_14;size=1
R1349_37;size=1
R1426_106;size=1
R1434_106;size=1
R1559_84;size=1
R2103_5;size=1
R1481_93;size=7
R1361_111;size=2
R1317_14;size=2
R907_56;size=2
R1329_14;size=1
R515_65;size=70
R897_56;size=2
R906_56;size=1
R2353_2;size=2
R2525_10;size=1
R400_4;size=831
R443_127;size=131
R1417_115;size=24
R627_7;size=20
R614_193;size=17
R1224_127;size=6
R1203_131;size=5
R1186_85;size=2
R1618_48;size=1
R1868_13;size=1
R1978_12;size=1
R875_144;size=86
R549_132;size=61
R1584_75;size=14
R448_171;size=1
R456_113;size=5
R741_75;size=5
R408_115;size=3
R1014_161;size=2
R1321_62;size=2
R627_107;size=2
R3003_3;size=30
R319_89;size=1
R609_82;size=1
R626_81;size=1
R533_49;size=9
R865_7;size=7
R2008_18;size=5
R1003_89;size=1
R1150_43;size=1
R1207_12;size=1
R767_75;size=1
R2009_18;size=1
R287_57;size=286
R870_192;size=24
R3076_3;size=31
R395_88;size=1
R630_81;size=1
R801_24;size=93
R576_205;size=54
R479_67;size=47
R696_24;size=47
R1536_86;size=31
R1802_31;size=31
R909_175;size=27
R1168_61;size=26
R573_65;size=26
R484_86;size=15
R471_86;size=13
R934_22;size=13
R962_173;size=12
R771_61;size=11
R908_100;size=11
R630_202;size=10
R1164_72;size=9
R911_178;size=7
R1037_169;size=5
R918_178;size=4
R1250_16;size=3
R1245_16;size=2
R1282_14;size=2
R1284_14;size=2
R1296_14;size=2
R1319_14;size=2
R615_65;size=2
R656_202;size=2
R1042_167;size=1
R1046_167;size=1
R1058_163;size=1
R1289_14;size=1
R1295_14;size=1
R636_81;size=1
R1324_14;size=1
R1321_14;size=1
R863_184;size=6
R434_84;size=3
R679_78;size=2
R703_76;size=2
R705_76;size=1
R1143_156;size=1
R570_83;size=6
R769_75;size=1
R1_47;size=88
R842_186;size=8
R1362_6;size=1
R1687_71;size=1
R1189_13;size=3
R1257_11;size=2
R1539_48;size=1
R1421_108;size=1
R1422_108;size=1
R1424_107;size=1
R706_76;size=2
R2389_2;size=1
R2390_2;size=1
R2010_18;size=1
R1018_134;size=8
R2219_2;size=3
R1153_17;size=1077
R1691;size=513
R1147_5;size=352
R1244_53;size=314
R1477_38;size=207
R2090_8;size=164
R1458_45;size=155
R638_114;size=40
R1885_25;size=27
R2114_3;size=20
R939_79;size=20
R1438_38;size=12
R1915_12;size=9
R1029_32;size=8
R1925_12;size=8
R1023_169;size=7
R1178_117;size=6
R838_60;size=3
R1327_68;size=1
R1434_10;size=1
R1435_10;size=1
R2604_10;size=4
R1_113;size=121
R1033_169;size=4
R1222_112;size=2
R712_62;size=2
R1436_10;size=4
R1379_98;size=3
R2093_18;size=1
R2084_4;size=860
R1104_127;size=86
R523_51;size=33
R1264_40;size=18
R776_60;size=2
R2437_2;size=6
R1983_47;size=1
R1099_169;size=93
R816_7;size=84
R1050_62;size=60
R817;size=45
R944_87;size=6
R1063_167;size=5
R1066_132;size=2
R1090_128;size=4
R2619_3;size=887
R550_230;size=125
R2013_7;size=662
R1313_12;size=555
R970_165;size=240
R1436_16;size=238
R999_3;size=222
R919_46;size=206
R1922_17;size=194
R1451_7;size=162
R950_86;size=162
R501_147;size=156
R1076_158;size=142
R1841_21;size=127
R322_205;size=122
R185_20;size=113
R750_96;size=109
R1922_21;size=72
R685_70;size=64
R1878_40;size=41
R1473_39;size=31
R527_66;size=29
R1019_133;size=25
R614_51;size=25
R1378_119;size=24
R896_180;size=24
R481_159;size=23
R687_204;size=20
R830_190;size=19
R542_49;size=18
R961_135;size=15
R529_83;size=13
R602_51;size=12
R926_22;size=11
R1350_74;size=10
R1367_69;size=10
R2320_24;size=8
R492_131;size=8
R884_143;size=8
R435_86;size=7
R1442_91;size=5
R768_49;size=5
R1075_130;size=3
R1249_119;size=2
R12_110;size=2
R814_149;size=2
R1082_162;size=1
R1246_108;size=1
R1271_65;size=1
R2516_10;size=1
R875_58;size=1
R1_116;size=183
R1682_36;size=19
R741_60;size=12
R1228_77;size=11
R1728_13;size=2
R986_7;size=598
R1500_87;size=17
R875_185;size=4
R1348_108;size=3
R2108_4;size=2
R2118_4;size=1
R1051_130;size=20
R2320_17;size=15
R1227_60;size=33
R1887_39;size=24
R1262_57;size=4
R1622_4;size=30
R912_179;size=5
R1202_19;size=8
R1319_55;size=4
R1091_161;size=3
R1299_14;size=3
R1137_75;size=1
R1331_14;size=1
R1097_75;size=2
R1136_75;size=1
R1158_150;size=1
R321_184;size=6
R1567_32;size=1
R1568_32;size=1
R1456_91;size=1
R1014_136;size=10
R1944_57;size=9
R843_49;size=2
R796_49;size=1
R1476_63;size=79
R542;size=36
R798_114;size=90
R974_153;size=27
R1437_67;size=197
R1_176;size=109
R176_234;size=65
R1346_105;size=48
R1352_108;size=1
R650_195;size=12
R503_68;size=74
R24_188;size=21
R853_143;size=17
R1649_70;size=1
R876_57;size=1
R858_172;size=30
R1018_160;size=2
R1541_84;size=5
R1182_40;size=6
R363_8;size=279
R2019_43;size=8
R1363_106;size=1
R205_141;size=150
R543_133;size=66
R1240_58;size=22
R951_157;size=18
R1445_62;size=4
R878_171;size=2
R674_147;size=1
R675_147;size=1
R1016_160;size=1
R1038_160;size=1
R1_106;size=391
R165_153;size=140
R1198_72;size=73
R780_43;size=59
R1358_102;size=42
R1722_9;size=24
R1068_133;size=1
R1_219;size=349
R1929_45;size=7
R1825_51;size=6
R1306_76;size=4
R1377_67;size=3
R2515_19;size=45
R1282_6;size=32
R619_32;size=25
R1190_89;size=24
R725_49;size=18
R1619_21;size=11
R1345_86;size=9
R1619_76;size=8
R614_121;size=8
R1087_90;size=6
R892_177;size=6
R1003_169;size=5
R887_178;size=5
R1766_41;size=4
R1043_165;size=2
R1056_163;size=1
R1057_163;size=1
R1059_163;size=1
R746_132;size=1
R1279_79;size=7
R2214_30;size=1
R2500_17;size=29
R1528_71;size=1
R1346_18;size=187
R2415_15;size=177
R906_40;size=47
R1995_35;size=32
R1715_73;size=3
R700_133;size=7
R1567_77;size=4
R1194_73;size=1
R633_60;size=67
R1825_14;size=14
R1522_26;size=10
R756_60;size=8
R1139_95;size=81
R2128_33;size=39
R1418_65;size=31
R1464_79;size=45
R1229_113;size=54
R1824_8;size=44
R1166_76;size=21
R1938_45;size=1
R2109_11;size=15
R995_162;size=4
R1345_71;size=7
R1084_128;size=1
R1221_112;size=1
R2517_10;size=3
R593_67;size=2
R1453_81;size=63
R1236_85;size=13
R515_169;size=9
R1501_73;size=7
R1498_73;size=5
R1525_72;size=3
R712_209;size=1
R1077_127;size=1
R1078_126;size=1
R1383_71;size=53
R1432_67;size=5
R1461_62;size=1
R1476_61;size=1
R1367_90;size=4
R1242_108;size=3
R1146_122;size=1
R1375_88;size=2
R1248_108;size=1
R1446_66;size=2
R520_9;size=1059
R1_191;size=857
R62_24;size=771
R809_200;size=373
R2047_3;size=40
R280_202;size=23
R543_67;size=17
R1401_97;size=16
R1174_14;size=9
R451_86;size=9
R1446_93;size=5
R1453_109;size=2
R1457_91;size=2
R2064_3;size=2
R1451_93;size=1
R1452_93;size=1
R1455_92;size=1
R574_166;size=3
R428;size=360
R909_132;size=170
R127_71;size=46
R824_149;size=46
R882_22;size=44
R844_175;size=7
R901_143;size=38
R343_136;size=55
R769;size=34
R1565_4;size=166
R1029_9;size=143
R1966_23;size=73
R1160_105;size=64
R2291_16;size=33
R2041_19;size=24
R1554_32;size=21
R2072_13;size=16
R1031_44;size=14
R1049_112;size=14
R2246_9;size=12
R1748_14;size=11
R1039_114;size=10
R2033_22;size=10
R1765_3;size=7
R1076_110;size=5
R2404_6;size=5
R1081_108;size=4
R1110_107;size=4
R1670_54;size=4
