"insideHJA","elevation_m","canopyHeight_m","minT_annual","precipitation_mm","distToRoad_m","distToStream_m","YrsSinceDist","B1_20180717","B2_20180717","B3_20180717","B4_20180717","B5_20180717","B6_20180717","B7_20180717","B10_20180717","B11_20180717","NDVI_20180717","EVI_20180717","B_20180717","G_20180717","W_20180717","l_Cover_2m_max","l_Cover_2m_4m","l_Cover_4m_16m","l_p25","l_p95","l_rumple","tri.pt"
"yes",0.876653009439553,1.2852602074097,0.0167691172503168,0.965649216343025,-0.39227535410877,-0.869752216612126,1.0052199277802,-0.658609771165961,-0.581247983483554,-0.143725193948616,0.169882723026092,-1.11366352511966,-0.24050813915607,0.181284024160109,-1.28086880960894,-1.1241350999178,-0.880499173281452,-1.56949076437153,-0.812737797121278,-1.1990098203952,-0.26330553746858,-0.1986533979294,-0.573625583094742,-0.401000175901005,0.513937250772267,0.366439094607923,-0.426120371560007,-0.064359908447431
"yes",0.0515922941329064,-0.813854475812527,0.842114128976146,-0.452705423818387,-0.860089626383718,1.55382701130764,-0.806067533069975,-0.632723929514295,-0.680485444078307,-0.953384259709819,-0.821099827959446,0.0416328611819758,-0.754481487107867,-0.797530701474616,-1.00263508835952,-0.972954586960555,0.96718043904491,0.827314117540182,-0.368784888595411,0.243991592240654,0.825124480839363,0.481317891113739,-0.578280053748248,-0.328972973616438,0.190430912712931,-0.172860873188521,-0.25114517780495,-1.15153640459962
"no",-0.484401473248818,-0.720574378342909,0.750409613506199,-0.758136868539233,0.0315252036236061,0.48731118612898,-1.03091701096862,0.0661937950806889,-0.134679410807165,0.456022262170794,-0.193012295644668,0.30222603102445,-0.456298476082397,-0.617040042846937,0.45809194819995,0.538850542611888,0.328476375524686,0.319882453351666,0.0699141393561868,0.357912756396116,0.753201792404917,0.433135544618281,-0.425642228195861,2.91837726847726,-0.863941006448118,-1.35254099369839,-1.14653926834461,-0.707577933274915
"yes",1.20900797374358,-0.599080387837466,-1.04700964413821,2.57713312469613,0.0756290242488474,-1.3653121011301,1.0052199277802,-1.90113017044593,-1.57362258943108,-1.49315697021729,-0.835057328677552,-1.52192615787287,-1.08797564417583,-0.755879011022075,-1.83733625210779,-1.72885715174678,0.374098094347559,-1.01887342663506,-1.57980436096479,-1.38011526084747,0.494280114040913,0.376658023812342,0.742171690602964,0.233681849426799,-0.737765542857579,1.17015018875758,1.9159535670687,-0.77001842029852
"no",0.749527504211739,-1.26031933567653,-2.60599514845172,0.911656861439734,-0.409754311073117,-0.595238513527134,1.0052199277802,-1.40929917906428,-1.44957576368764,-1.6880748934561,-0.946717334422401,-2.00185191233276,-1.2880721384166,-0.894717979197213,-0.0983754942988948,0.0853090037401554,0.260043797290376,-0.981085962280594,-1.9896070457579,-1.86501047238097,0.523049189414692,0.304413629621215,-0.280356130510984,-0.646279188754484,1.51910856236754,1.77971320045407,3.40161281809673,-1.28860595783964
"yes",0.0707708661143169,0.623592251640281,0.530317290023039,0.360961005075916,-0.238958902796063,-0.399099426560559,-0.781084257747904,-0.218550463087638,-0.184298141104542,-0.248680998769512,-0.193012295644668,-0.813981379800816,-0.530844228838765,-0.381013796949201,-0.0288170639865392,0.0853090037401554,-0.173362531526918,-0.241531302771799,-0.752318170517166,-0.81050944007016,0.278512048737577,0.415498485163789,-0.515977990474939,-0.450912441292109,0.293593070085099,0.368966122742464,-0.0132916092996395,1.34884376021944
"yes",0.938184455614936,2.25454804583121,-1.02866865264056,0.533268765793228,3.75942740006023,2.02357374444298,1.0052199277802,-0.969239870985954,-0.978197825862566,-0.848428454888922,-0.625694817905959,-0.679341575382204,-0.676012273680112,-0.561504455576881,-0.585284506485384,-0.4438227916102,0.465341531993306,-0.21993846599782,-0.810110856834143,-0.562219723321076,0.431947117397727,0.590750369063253,-0.780674889788846,-0.822124341983081,0.856753547562084,1.31930503842383,0.632919510689703,0.287813818295466
"no",-0.370424081283846,1.2593767288726,-0.331710139379977,-0.69611063479377,-0.549376777013056,0.12136051123178,1.0052199277802,0.0403079534290229,-0.258726236550606,-0.428605235605335,-0.402374806416261,-0.462180600513475,-0.832950700535623,-0.776704856248346,-0.16793392461125,-0.141461765695711,0.260043797290376,0.282094988997202,-0.641986678457483,-0.375272171886472,0.786765713674325,-0.0558973085384219,-0.247377891241947,-0.0106173817241063,-0.338871194979156,0.536549844686463,0.519154429314808,-0.742262355394207
"yes",-0.565378721281914,-0.603423431166067,0.43861189968701,-0.675781447245502,-0.505219752545926,-0.450107777095014,1.0052199277802,-0.658609771165961,-0.705294809226995,-1.02835269172474,-0.723397322932703,-1.49152362139125,-0.911419913963378,-0.72116926897829,0.388533517887595,0.61444079909051,0.191611219056067,-0.111974282127922,-1.45371122718229,-1.4034837047768,0.38879350433706,0.56991999131748,-0.737042718419493,-0.704655144171264,1.6238581713808,1.81253353087427,1.50325443542237,-0.699322529177991
"yes",0.0924886144123195,-0.0434992113124888,-0.0565952815880642,-0.571128903059044,4.14692405340128,-0.295750424739711,1.0052199277802,-0.3997513546493,-0.159488775955853,-0.158718880351601,-0.276757299953305,-0.0430599190168284,-0.279742745869948,-0.4296074358105,-0.237492354923606,-0.141461765695711,0.30566551611325,0.319882453351666,-0.169137426773127,0.0190703194208961,0.360024428963282,0.585448794972819,-0.766293574649041,-0.558127453160415,0.459975398248161,1.22007404184683,0.662437446915716,-0.544228588167927
