"otu","class","order","family","genus","species"
"R6214.13__Insecta_Hemiptera_Cicadellidae_Xestocephalus_NA_BOLD_AAN8347_size.36","Insecta","Hemiptera","Cicadellidae","Xestocephalus","NA"
"R8288.7__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACT4289_size.66","Insecta","Diptera","Keroplatidae","NA","NA"
"R10132.7__Insecta_Diptera_Phoridae_Megaselia_baileyae_BOLD_ACT9986_size.39","Insecta","Diptera","Phoridae","Megaselia","NA"
"R4192.40__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACT5478_size.12","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R3052.45__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACF3749_size.118","Insecta","Diptera","Phoridae","Megaselia","NA"
"R5069.66__Insecta_Hymenoptera_Formicidae_Camponotus_vicinus_BOLD_AAC9519_size.53","Insecta","Hymenoptera","Formicidae","Camponotus","NA"
"R3301.82__Insecta_Lepidoptera_Geometridae_Pero_NA_BOLD_AAA5527_size.1971","Insecta","Lepidoptera","Geometridae","Pero","NA"
"R4092.8__Insecta_Hymenoptera_Pompilidae_Agenioideus_birkmanni_BOLD_ACA6213_size.962","Insecta","Hymenoptera","Pompilidae","Agenioideus","NA"
"R6768.2__Insecta_Orthoptera_Tettigoniidae_Scudderia_NA_BOLD_ACE8271_size.443","Insecta","Orthoptera","Tettigoniidae","Scudderia","NA"
"R5042.66__Insecta_Hemiptera_NA_NA_NA_BOLD_ACA9276_size.54","Insecta","Hemiptera","NA","NA","NA"
"R1626.92__Insecta_Lepidoptera_Gelechiidae_Coleotechnites_NA_BOLD_AAW5246_size.243","Insecta","Lepidoptera","Gelechiidae","Coleotechnites","NA"
"R1581.186__Insecta_Coleoptera_Scraptiidae_NA_NA_BOLD_ABX2446_size.20","Insecta","Coleoptera","Scraptiidae","NA","NA"
"R3214.4__Insecta_Blattodea_Archotermopsidae_Zootermopsis_angusticollis_BOLD_ACD2582_size.6327","Insecta","Blattodea","Archotermopsidae","Zootermopsis","NA"
"R1712.99__Insecta_Diptera_Muscidae_Phaonia_NA_BOLD_ACG7665_size.439","Insecta","Diptera","Muscidae","Phaonia","NA"
"R5145.38__Insecta_Lepidoptera_Noctuidae_Anhimella_perbrunnea_BOLD_AAF1328_size.345","Insecta","Lepidoptera","Noctuidae","Anhimella","NA"
"R1561.100__Insecta_Lepidoptera_Noctuidae_Caradrina_meralis_BOLD_AAB9848_size.413","Insecta","Lepidoptera","Noctuidae","Caradrina","NA"
"R2850.3__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACT8296_size.525","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R8204.21__Insecta_Hymenoptera_Pompilidae_NA_NA_BOLD_AAP2492_size.3","Insecta","Hymenoptera","Pompilidae","NA","NA"
