"otu","class","order","family","genus","species"
"R5934.20__Insecta_Hymenoptera_Formicidae_Polyrhachis_laevigata_BOLD_AAI6520_size.305","Insecta","Hymenoptera","Formicidae","Polyrhachis","NA"
"R5803.3__Insecta_Diptera_Tabanidae_Tabanus_NA_BOLD_AAP7673_size.5556","Insecta","Diptera","Tabanidae","Tabanus","NA"
"R6954.9__Insecta_Diptera_Syrphidae_Blera_scitula_BOLD_AAI8832_size.2230","Insecta","Diptera","Syrphidae","Blera","NA"
"R6364.12__Insecta_Diptera_Tachinidae_Ptilodexia_NA_BOLD_AAZ3896_size.1510","Insecta","Diptera","Tachinidae","Ptilodexia","NA"
"R5510.2__Insecta_Lepidoptera_Gelechiidae_Monochroa_NA_BOLD_AAH4274_size.330","Insecta","Lepidoptera","Gelechiidae","Monochroa","NA"
"R5100.2__Insecta_Diptera_Syrphidae_Eupeodes_NA_BOLD_AAB2384_size.717","Insecta","Diptera","Syrphidae","Eupeodes","NA"
"R707.121__Insecta_Diptera_Tabanidae_Tabanus_aegrotus_BOLD_ACD7190_size.835","Insecta","Diptera","Tabanidae","Tabanus","NA"
"R3738.2__Insecta_Hemiptera_Achilidae_Synecdoche_nemoralis_BOLD_AAV0215_size.668","Insecta","Hemiptera","Achilidae","Synecdoche","NA"
"R6072.2__Insecta_Lepidoptera_Blastobasidae_Pigritia_fidella_BOLD_AAD3758_size.40","Insecta","Lepidoptera","Blastobasidae","Pigritia","NA"
"R4257.83__Arachnida_Araneae_Clubionidae_Clubiona_NA_BOLD_AAY7874_size.9","Arachnida","Araneae","Clubionidae","Clubiona","NA"
"R3899.2__Insecta_Coleoptera_Coccinellidae_Cycloneda_polita_BOLD_ACA6292_size.978","Insecta","Coleoptera","Coccinellidae","Cycloneda","NA"
