"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","auc_explain","auc_test"
278,0,0.7,0.75,0.5,2,0.1,"relu",0,0.6,0.850266298617341,0.641818904105021
279,0.3,0.8,0,0.5,1,0.5,"relu",0.9,0.9,0.789646055622786,0.603330638973215
280,0.3,1,0,1,1,0.3,"relu",0,0.5,0.852122446190439,0.643442484373856
281,0.2,1,0.75,0.5,2,0.1,"relu",0.1,0.1,0.891826316697939,0.660564136879017
282,0,0.8,0.25,0.75,1,0.1,"relu",0.7,0.5,0.913468962107685,0.656364311827303
283,0,0.9,0.75,0.75,1,0.1,"relu",1,0.7,0.901842714335595,0.659794463838749
284,0.3,0.7,0.5,0.25,2,0.1,"relu",0.7,0,0.890926739442491,0.666362190129008
285,0.3,1,0.5,0.75,1,0.3,"relu",0.1,0,0.849875430787686,0.660776324004819
286,0.3,0.8,0.5,1,1,0.3,"relu",1,0.1,0.866198326532152,0.662550849969495
287,0.1,0.7,1,0.5,2,0.5,"relu",0.1,0.6,0.690666467631409,0.5951481300989
288,0.3,0.8,1,0.5,1,0.5,"relu",0.2,0.4,0.739071628626647,0.628723928513029
289,0.2,0.7,0,0.5,1,0.1,"relu",0.7,0.6,0.928799257135992,0.648691481246924
290,0.2,1,0,0.75,1,0.5,"relu",0.6,0.7,0.79311989563976,0.611609850657341
291,0.2,1,0.75,0.25,2,0.1,"relu",0.4,1,0.8881466939955,0.658996213517525
292,0.3,1,0,0.25,1,0.5,"relu",1,0.6,0.79605877551727,0.616695666237725
293,0.2,1,0,1,1,0.1,"relu",0.2,0.4,0.92623627689869,0.648280636436101
294,0.3,1,1,0.75,2,0.3,"relu",0.1,0.2,0.814953159176585,0.661074722646891
295,0.3,0.7,1,0.5,2,0.1,"relu",0.7,0,0.876938016651805,0.660935270637356
296,0.2,0.7,0.5,0.5,2,0.1,"relu",0.5,0.9,0.889809033881029,0.662605574891256
297,0,0.8,1,0.5,1,0.5,"relu",1,0.8,0.807179088874963,0.657879711217837
298,0.3,0.9,1,0.25,1,0.5,"relu",0.2,0.7,0.733764942644707,0.628143825303708
299,0,0.8,0.25,0,1,0.3,"relu",0.1,1,0.866769684175364,0.660920397649467
300,0.3,0.7,0,1,2,0.3,"relu",0,0,0.827836635981582,0.636752328821976
301,0,0.9,0.75,0.25,2,0.3,"relu",1,0.3,0.845244727856558,0.66451280809504
302,0.3,1,0.5,0,2,0.3,"relu",0.2,0,0.814335839264519,0.658230278367651
303,0.3,0.8,0,0.25,2,0.3,"relu",0.5,0.4,0.856797023233667,0.64525326379556
304,0.3,0.9,0.5,0.25,2,0.3,"relu",0.7,0.8,0.821854057375646,0.660882109009754
305,0.3,1,0.5,0.25,1,0.5,"relu",0.2,0.9,0.747239612174258,0.628595180324183
306,0,0.7,1,0.75,2,0.5,"relu",0.6,0.8,0.772416503294517,0.642396955039987
307,0,0.7,1,0,2,0.1,"relu",0.5,0.6,0.891710012183959,0.664568830390697
308,0.2,1,0.75,0.5,1,0.5,"relu",0.8,0.1,0.748525917937871,0.630870221236127
309,0.3,0.9,0,1,1,0.5,"relu",0.1,0.7,0.79287707446958,0.606726394599415
310,0.1,0.7,0,0,1,0.5,"relu",0.2,1,0.792381141733046,0.61573756260679
311,0.1,0.8,1,1,2,0.3,"relu",0.3,0.9,0.829297641713428,0.662609248943319
312,0.3,0.9,0,0.75,2,0.3,"relu",0.3,0.5,0.853248197325752,0.64578905034551
313,0.3,1,1,0.25,2,0.1,"relu",1,0.5,0.892359479599767,0.657627022559217
314,0,1,0.25,0.5,2,0.1,"relu",0.8,0.8,0.892306348683689,0.660848854320923
315,0.3,0.7,0,0.75,1,0.1,"relu",0.8,0.7,0.915063100020779,0.651272899981829
316,0.3,1,0.75,0.75,2,0.5,"relu",1,0.4,0.702941931129467,0.614533189177127
317,0.1,0.8,1,1,1,0.3,"relu",0.9,0.5,0.857481759634666,0.671311450075952
318,0,0.7,0,1,1,0.1,"relu",0.6,1,0.919945675712525,0.648919460359509
319,0,0.7,1,0.5,2,0.3,"relu",0.4,0.2,0.843726088262925,0.66821335151454
320,0.3,1,0.75,0.25,1,0.1,"relu",0,0.3,0.840816102914741,0.634619078074839
321,0.3,0.8,0.25,0.25,1,0.5,"relu",0.1,0,0.738158142979179,0.614580113215402
322,0.1,0.8,0,0.25,2,0.5,"relu",0,0.8,0.77418210199356,0.600031506790865
323,0,0.8,0.25,0.75,2,0.3,"relu",0.2,0.1,0.85835823232757,0.665585745085011
324,0.1,0.8,0.5,1,1,0.5,"relu",0,0.2,0.750995588885347,0.616812343650342
325,0.2,0.7,0.25,0.75,1,0.1,"relu",0.2,0.9,0.888253275117704,0.659206383203311
326,0.1,0.9,0.25,0.25,2,0.3,"relu",0.5,0.3,0.825180255551844,0.656258754746895
327,0.2,0.7,1,0,2,0.3,"relu",0.3,0.5,0.819919116155887,0.657202902889787
328,0.3,0.7,1,0,2,0.3,"relu",0.1,0.3,0.822051359376994,0.662465019494865
329,0,0.7,0.75,0.75,1,0.5,"relu",0.7,0.6,0.806777306518207,0.660155978560768
330,0.2,0.7,0,0,2,0.1,"relu",0.5,0.5,0.920624911600881,0.648282955062982
331,0,0.7,0.75,0.5,1,0.3,"relu",0.2,0,0.865593389001407,0.667652594421122
332,0.3,0.8,0.75,0.5,2,0.1,"relu",0,1,0.842915576593421,0.628316997619296
333,0,0.7,1,0,1,0.1,"relu",0.4,0.6,0.911871694967822,0.6551321026181
334,0.3,0.9,1,0.75,1,0.5,"relu",0.9,0.1,0.750402456620166,0.624108861455132
335,0.3,0.8,1,1,1,0.5,"relu",0,0,0.742628209486929,0.614435056140162
336,0.1,0.8,0.75,0.25,1,0.5,"relu",0.5,0.2,0.742795757153062,0.627710165051598
337,0.1,0.8,0,0.25,1,0.5,"relu",0.1,0.4,0.796267410314034,0.616411310275915
338,0.2,0.9,0.5,0.5,2,0.3,"relu",0.4,0.5,0.813835061065648,0.6626211716958
339,0.1,0.7,1,0.25,1,0.5,"relu",0.8,0.4,0.744768239700672,0.62597138769277
340,0.1,0.9,0.75,1,1,0.1,"relu",0.3,0.3,0.908893339186285,0.65543098099505
341,0.1,0.8,0.75,1,1,0.3,"relu",0.7,0.3,0.858909618991126,0.661792981745637
342,0,0.7,0,0.75,1,0.1,"relu",0.9,0.2,0.92685249671894,0.647030731307914
343,0.2,0.9,0.75,1,1,0.5,"relu",0.7,0.9,0.777413055775745,0.629987401775976
344,0.1,0.9,1,0.75,1,0.1,"relu",0.9,0.5,0.893812310342156,0.658083710407627
345,0.3,0.8,0.75,0.5,1,0.5,"relu",0.5,0,0.732013627047967,0.624029586573591
346,0.3,0.9,0,0.25,1,0.1,"relu",0.9,0.6,0.914131909025111,0.643515959312995
347,0.2,0.7,1,0.25,2,0.3,"relu",0.3,1,0.81255596843652,0.666011286974627
348,0.1,0.8,0.25,0.25,2,0.5,"relu",0.7,0.2,0.703523357419343,0.599970411051199
349,0.3,0.8,0.75,0.75,2,0.1,"relu",0.9,0.5,0.888757428003188,0.659329308702717
350,0.3,1,0.75,0,1,0.5,"relu",0.8,1,0.743426054374446,0.640137324752825
351,0.2,0.7,1,0,1,0.5,"relu",0.8,0.3,0.740368208107961,0.624722318336206
352,0.2,0.9,0,0,2,0.1,"relu",0.2,0.8,0.92391629023975,0.644034122590662
353,0.2,0.7,0,0,1,0.5,"relu",0.5,0,0.781760046547992,0.598588530541648
354,0.1,0.9,0.75,0.25,1,0.5,"relu",0.2,0.8,0.753985991520239,0.635267035415585
355,0,0.9,0.25,1,1,0.3,"relu",0.6,0.1,0.892160003979067,0.662722094345693
356,0.3,1,0.25,0.75,1,0.1,"relu",0.1,0.1,0.910825215335085,0.654136716040038
357,0.1,0.8,0.25,0,2,0.1,"relu",0.3,0.1,0.890853110965007,0.654110726175356
358,0.1,1,0.5,0.75,1,0.1,"relu",0.7,0.6,0.900368234844042,0.654346837683531
359,0.3,1,0,0.5,1,0.5,"relu",0.1,0.4,0.788448371671439,0.601529443489937
360,0,0.7,0.5,1,1,0.1,"relu",1,0.4,0.910610780730726,0.650343999048155
361,0.1,0.9,1,0.25,1,0.1,"relu",0.5,0.2,0.884682066141041,0.65037392624313
362,0.3,1,0.5,0.25,2,0.1,"relu",0,0.3,0.844700503373742,0.637508153413996
363,0.3,0.7,0.75,1,1,0.1,"relu",0.3,0.3,0.907477140065144,0.653179736496659
364,0,1,0,1,2,0.1,"relu",1,0.2,0.925863003921147,0.653394317896904
365,0.3,0.7,0.25,1,2,0.5,"relu",0.3,0.6,0.757518554278987,0.603169700923191
366,0.1,0.8,1,0.5,1,0.3,"relu",0.6,0.7,0.855118509556614,0.660931219588386
367,0.1,0.8,0.25,0,2,0.3,"relu",1,0.5,0.816350874102168,0.658236209876501
368,0.1,0.7,1,0,1,0.3,"relu",0.8,0.2,0.843766629852247,0.660462930573284
369,0.3,1,0.75,1,2,0.3,"relu",0.9,0.8,0.838284817048471,0.653614082223189
370,0.1,0.7,0.75,0.75,1,0.1,"relu",0.4,0,0.89081724260252,0.649575458816542
371,0,0.9,1,0.5,1,0.5,"relu",0,0.9,0.742027721524788,0.611672375727998
372,0.2,0.7,0.75,1,2,0.5,"relu",0.5,0.5,0.754269258766106,0.606467408917292
373,0.2,0.9,1,0,2,0.3,"relu",0,0.5,0.791458570617922,0.648092669871466
374,0,0.8,0,1,1,0.5,"relu",0.2,0.4,0.841052382996309,0.633039918031607
375,0.2,0.7,0,0.75,2,0.3,"relu",1,0.7,0.857396704048555,0.649450413126093
376,0,0.7,1,0.25,2,0.5,"relu",0.1,0.4,0.767037615119713,0.638904500837296
377,0.3,0.7,0.5,0.75,2,0.5,"relu",1,0,0.718283484811898,0.605643049671309
378,0.3,0.9,1,1,2,0.5,"relu",1,0.2,0.734905543395404,0.600079676898094
379,0.1,0.8,0.5,0.75,1,0.3,"relu",0.2,0.6,0.847761969781339,0.662488160276748
380,0,0.8,0.25,0,1,0.1,"relu",0.2,0.2,0.905153665234411,0.656492924508052
381,0.1,0.8,0,0.75,2,0.1,"relu",0.3,0.3,0.920245073747847,0.652246321197803
382,0.3,1,0.25,0.75,1,0.5,"relu",0.1,0.5,0.769928739965017,0.638000238687941
383,0.3,1,1,0.75,1,0.3,"relu",0.5,1,0.839811766514858,0.666630611930275
384,0.3,1,0.75,0,1,0.1,"relu",1,0.5,0.900024094595424,0.646655834029944
385,0.1,1,1,1,1,0.1,"relu",0.7,0.8,0.894576310192669,0.662129149302482
386,0,1,0.75,0.25,1,0.5,"relu",0.3,0.8,0.807962479343564,0.64545464560504
387,0.1,1,0.75,0.75,1,0.5,"relu",0.7,0.7,0.752351449612075,0.626871102327791
388,0.2,0.7,1,0.5,1,0.1,"relu",0.8,0.1,0.86225092037141,0.652282979062988
389,0.1,1,0.25,0.25,2,0.1,"relu",0.4,0.5,0.894566492381233,0.665062974390794
390,0.1,0.7,0,0.75,1,0.1,"relu",0,0.9,0.896190357761391,0.63854640057633
391,0.3,0.8,1,0,2,0.3,"relu",0.5,0.1,0.825838615988328,0.660278353510269
392,0.1,1,0.5,0.75,1,0.5,"relu",0.9,0.4,0.746788662979592,0.629472351697613
393,0.3,0.9,0.5,0.75,1,0.3,"relu",0.1,0.1,0.842067074495834,0.666596577644174
394,0.3,0.7,0.75,0.75,1,0.3,"relu",0,0.3,0.820380792578679,0.635875245597799
395,0.2,0.9,0.75,0.75,2,0.5,"relu",0.7,0.2,0.709261850019404,0.611482066207589
396,0.3,1,1,0,2,0.5,"relu",0.7,0.5,0.69369138444013,0.61036304804686
397,0.1,0.8,0,0.75,2,0.3,"relu",0.2,0.8,0.856510778504289,0.643498199452435
398,0.1,0.8,0,0.75,1,0.5,"relu",0.2,0.9,0.795963554627632,0.613549794652706
399,0,0.8,0.5,0.5,1,0.1,"relu",1,0.4,0.886285344705396,0.655910826769959
400,0,0.9,0.75,0.25,1,0.5,"relu",0.9,0.2,0.813154367178713,0.654626953636905
401,0.1,0.8,1,0,2,0.3,"relu",0.8,0,0.81673430945135,0.656761378977975
402,0.3,0.9,0.5,0.25,2,0.5,"relu",0,0.1,0.694605712158239,0.585602470637472
403,0.3,0.7,0.75,0.75,2,0.5,"relu",0.8,0.1,0.704121876543702,0.60158365003971
404,0.3,0.8,0,0.5,2,0.5,"relu",0.6,1,0.765012007144275,0.596641765238654
405,0.1,0.7,0.75,1,2,0.1,"relu",0.5,0.7,0.902892194616242,0.65906853917338
406,0.2,0.7,0.75,0.75,2,0.5,"relu",0,0.8,0.689414303229061,0.594087449361191
407,0,0.7,0.25,0.5,2,0.3,"relu",0.2,1,0.83793924151978,0.666224527960482
408,0.2,0.9,0.25,0,2,0.3,"relu",0.6,0.5,0.825261159756901,0.65673582659714
409,0.1,0.9,0.75,0.75,1,0.5,"relu",0,0.9,0.724995805147197,0.622264222313177
410,0,0.9,0.75,0,2,0.5,"relu",1,0.4,0.765122415575021,0.643718768023617
411,0.3,0.9,0.25,0.25,2,0.1,"relu",0.3,0.7,0.893768483212881,0.65955936785614
412,0.1,1,0,1,2,0.1,"relu",0.1,0.6,0.923456103399163,0.65057650527024
413,0.1,0.8,0.25,1,2,0.3,"relu",0.1,0.9,0.844255921148626,0.659079589383342
414,0.2,0.8,0.5,0.5,2,0.1,"relu",0.7,0.4,0.88729831887612,0.661591064871303
415,0,0.7,0.5,0.75,1,0.5,"relu",0.2,0.8,0.813898661428665,0.660224647256835
416,0,0.9,1,0,1,0.5,"relu",1,0.1,0.805304233321649,0.661408777763645
417,0,0.8,0,0.75,2,0.1,"relu",0.3,0.3,0.925800032949735,0.65567183599363
418,0.3,0.9,0,0,1,0.5,"relu",0.6,0.7,0.791703222079691,0.614754630762736
419,0,0.9,0.25,0.75,2,0.1,"relu",0.3,0.7,0.911895224568804,0.646048116071
420,0.1,1,0.25,1,2,0.5,"relu",0.3,0.5,0.763783036707923,0.609325609332863
421,0.1,0.9,1,0.5,1,0.3,"relu",0.5,0.9,0.842269670585408,0.656434474380894
422,0.3,0.9,0.25,0.25,2,0.3,"relu",0.7,0.5,0.823201695760908,0.666764627471434
423,0,1,0.75,1,1,0.3,"relu",0.7,0.3,0.879313764823938,0.662677816686298
424,0.3,1,0,0,2,0.3,"relu",0.6,0.8,0.857207008755231,0.641753658553791
425,0.3,1,0.25,0,1,0.5,"relu",0.8,0.3,0.744221210073459,0.623693055284374
426,0.1,0.8,0,1,1,0.5,"relu",0.6,0,0.789185876233059,0.605211985670212
427,0.2,0.7,1,1,1,0.3,"relu",0,0.7,0.828955590640603,0.628996077381178
428,0.3,1,0.75,0.75,2,0.1,"relu",0.8,0.3,0.894668377508421,0.667110988238039
429,0.3,0.7,1,0,2,0.1,"relu",0.6,0.2,0.887721073486823,0.657353642881355
430,0.3,1,0.25,1,1,0.1,"relu",1,0.7,0.919617831175043,0.659656603157326
431,0.3,0.8,1,0.25,2,0.5,"relu",0.4,0.1,0.701710607688424,0.59924416419523
432,0,1,1,0,2,0.5,"relu",0.2,0.3,0.772863066958183,0.639476293552689
433,0.1,1,0,1,2,0.3,"relu",0.1,0,0.859057343708898,0.64209218245476
434,0,0.7,0.5,0,1,0.3,"relu",0.2,0.4,0.874346002678459,0.663183227203573
435,0,0.9,0.75,0.75,2,0.5,"relu",0.2,0,0.770637411808488,0.651032000734179
436,0,0.9,0.25,0.25,2,0.5,"relu",0.9,0.2,0.771032081227697,0.643785003281007
437,0.2,0.9,0.75,0.5,2,0.3,"relu",0.8,0.5,0.827416600317748,0.660414590628354
438,0,0.7,0.5,0.5,1,0.3,"relu",0.1,0.8,0.872037203272976,0.659282018071332
439,0.1,0.7,0.75,0.25,2,0.1,"relu",1,1,0.888821728113897,0.651679506563405
440,0.3,0.9,0.5,0.25,1,0.1,"relu",0.8,0.9,0.876569057315859,0.661987120021584
441,0.1,1,0.75,0.75,2,0.3,"relu",0.4,0.2,0.819817774950944,0.656791518140361
442,0.3,0.7,0.25,0,1,0.5,"relu",0,0.2,0.735190698125944,0.626565919370601
443,0.3,0.8,0.25,1,2,0.1,"relu",0.7,0.3,0.907626283559398,0.659318871757189
444,0.2,0.9,0.75,0.5,2,0.1,"relu",0.4,0.5,0.898269235200859,0.649363345290899
445,0.1,0.7,0,0.25,2,0.3,"relu",0,0.8,0.832719541686736,0.628868550366024
446,0.3,0.8,0.5,1,1,0.5,"relu",0.9,0.6,0.782150123123914,0.628914874634759
447,0,0.7,0,1,2,0.5,"relu",0.7,0.7,0.809570612653766,0.618599166076978
448,0.1,0.9,1,1,1,0.3,"relu",1,0.8,0.86149549745472,0.666306305130028
449,0.3,1,0.25,1,1,0.3,"relu",0.2,0.3,0.868878674647955,0.663527924287978
450,0.1,0.8,0.5,0.5,2,0.1,"relu",1,0.3,0.889749883398028,0.661574527646203
451,0,0.9,0.25,0,2,0.5,"relu",0.4,0,0.765291082426477,0.644512950688848
452,0.3,0.7,0.75,0.75,2,0.3,"relu",0.6,0.2,0.81344456642693,0.662413761905975
453,0,0.9,0.25,1,1,0.1,"relu",0.1,0.6,0.914399078482149,0.653132515320668
454,0.3,1,0.5,0.5,2,0.5,"relu",0.4,0.3,0.701377795875688,0.601572616516683
455,0,0.9,0,0.75,1,0.1,"relu",1,0.5,0.926919267349207,0.653141509138972
456,0.1,0.8,0.25,0.75,1,0.5,"relu",0.9,0.1,0.772301018208457,0.639898258992226
457,0.1,0.9,1,1,1,0.1,"relu",0.6,0.6,0.900079706788413,0.653747314572658
458,0.2,0.9,0.75,0.25,1,0.5,"relu",0.5,0.3,0.74165996547644,0.625173736155375
459,0.1,0.7,1,0,2,0.5,"relu",0.3,0.1,0.704938494896924,0.612803287936428
460,0.1,1,0.75,0.5,1,0.3,"relu",0.9,1,0.851977316117217,0.661380272820317
461,0,0.9,0.5,0.75,2,0.5,"relu",0.4,0.2,0.77466904817612,0.637739417947966
462,0.2,1,1,0.5,2,0.1,"relu",0.9,0.3,0.893932491091855,0.658969511903727
463,0.1,1,0.25,0,1,0.1,"relu",0.2,1,0.881661040056472,0.659728488338834
464,0.1,1,0.75,0.25,2,0.3,"relu",0.6,0.2,0.819935470143491,0.654410865320003
465,0.3,0.9,1,0.5,2,0.5,"relu",0.4,0.5,0.705992451319318,0.61847281621676
466,0.1,0.7,0,1,1,0.1,"relu",0.5,0.5,0.91170980709546,0.651526778332143
467,0,0.9,0,1,2,0.5,"relu",0.9,0.6,0.814401734347576,0.618580565096824
468,0.2,1,0,0.25,1,0.5,"relu",1,0.1,0.793372970778779,0.617746620816812
469,0.2,1,0.75,0.25,2,0.5,"relu",0,0.2,0.680635352569619,0.585282529825251
470,0.2,0.8,0.75,0.25,2,0.5,"relu",0.9,0.1,0.709068082927736,0.607428553903441
471,0.1,1,1,0.5,2,0.1,"relu",0.3,0.2,0.879187724677977,0.658494565274755
472,0.3,0.8,0.25,0.5,2,0.5,"relu",0.4,0.1,0.709234340965069,0.608790540761941
473,0.2,0.7,0,0.75,1,0.5,"relu",0.1,0.2,0.79567522949525,0.623527462198452
474,0.2,0.7,0.25,1,1,0.5,"relu",0.7,1,0.793681228725361,0.635749759870329
475,0,1,1,1,1,0.5,"relu",0.8,0.9,0.832212903166388,0.659814288971446
476,0.2,0.7,0.75,0.75,1,0.5,"relu",0.1,0.8,0.738810255588974,0.621439433475583
477,0.2,0.8,1,0,1,0.3,"relu",0,0.3,0.799851059144275,0.636564231116036
478,0,0.7,0.75,0,2,0.1,"relu",0.2,0.2,0.901584414553649,0.651492585253477
479,0,0.8,0.25,1,1,0.1,"relu",0.8,0.3,0.916940915554331,0.648186152583581
480,0.1,1,0.25,0.25,1,0.5,"relu",0.1,0.4,0.744265439349098,0.623231282022443
481,0.2,0.8,0,1,1,0.3,"relu",1,0.1,0.876743168598097,0.649278544277862
482,0.2,0.8,0,0.25,2,0.3,"relu",0.1,0.3,0.854106920391715,0.649573286665894
483,0.2,0.8,0,0.75,1,0.3,"relu",0.4,0.7,0.876802533031061,0.654453964809609
484,0.2,0.7,1,1,2,0.3,"relu",0,0.3,0.789817061848899,0.635003311169739
485,0.3,0.7,0.5,1,2,0.5,"relu",0.5,0.8,0.762239895371126,0.607702542506889
486,0.3,1,0,0,2,0.5,"relu",0.7,0.6,0.762963932077205,0.583705836980066
487,0.3,0.8,1,0.25,2,0.3,"relu",0.9,0,0.824258347241079,0.652451562637602
488,0.1,0.8,0,0,2,0.5,"relu",0.1,0.2,0.763244631785384,0.589023847803577
489,0.3,0.8,0.5,0.25,1,0.5,"relu",1,0.1,0.746018475699858,0.635094783521923
490,0.3,0.9,1,1,2,0.3,"relu",0.1,0.7,0.831361281497701,0.664631273797584
491,0.3,0.7,0.75,0.5,2,0.1,"relu",0.3,0.7,0.896726101722273,0.667678409803318
492,0,1,1,0.25,1,0.5,"relu",0.1,0.3,0.811237766040833,0.663253806106489
493,0.3,0.7,0.5,0,1,0.5,"relu",0.1,0.5,0.747899250008248,0.627966625205291
494,0.2,0.7,1,0.25,1,0.5,"relu",0.3,0.1,0.73458029626461,0.618127120965159
495,0.2,0.9,1,1,2,0.1,"relu",0,0.2,0.853971608465037,0.637038030215572
496,0.2,1,1,0.5,2,0.3,"relu",0.4,0.7,0.823042115137331,0.657200622623373
497,0,0.9,0.5,0.5,1,0.1,"relu",0.3,1,0.910554117765523,0.666862341501094
498,0.3,1,1,0.5,1,0.1,"relu",0.8,0.9,0.895514105181004,0.652548002552134
499,0.1,0.7,0.5,0.75,1,0.3,"relu",0.9,0.3,0.842764315219334,0.661420651443335
500,0,1,0,0.5,1,0.1,"relu",1,0.4,0.932655882786232,0.646222415308018
