"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","auc_explain","auc_test"
56,0.1,0.9,0.75,0.5,2,0.5,"relu",0.5,0.1,0.699193948379083,0.604649108009159
57,0.3,0.7,0.5,0.25,1,0.3,"relu",0.3,0.7,0.846234502288834,0.667380170150269
58,0.3,1,0,0.5,2,0.1,"relu",0.1,0.8,0.915577851946478,0.648781286003493
59,0.3,1,0,0.5,2,0.5,"relu",0.1,0.2,0.757660403616743,0.583681468309394
60,0.2,1,0.75,1,2,0.3,"relu",0.5,0.8,0.834433049636193,0.654496623882575
61,0.1,0.7,0,0,2,0.1,"relu",0.2,0.2,0.922811954622369,0.655099175907327
62,0.1,1,0,0.25,1,0.3,"relu",0.8,0.6,0.879877059490232,0.650732017309424
63,0.1,0.8,0.75,0.5,2,0.1,"relu",0.1,0.2,0.887811381967453,0.662975210794541
64,0,0.9,0.75,0.75,2,0.3,"relu",0.8,0.3,0.840338051737417,0.662329617644588
65,0,0.8,0.25,0.25,2,0.5,"relu",0.3,0.5,0.761146703078716,0.637271306531195
66,0.3,0.7,0.5,0.75,1,0.5,"relu",0.6,0.7,0.744819081843675,0.619854172344727
67,0,1,0.25,0,2,0.3,"relu",0,0.6,0.787071589172921,0.630576247644618
68,0.1,0.8,0.25,1,1,0.5,"relu",0,0.9,0.768900328555765,0.618064818411002
69,0.2,0.8,0.25,0,1,0.5,"relu",0.9,0.3,0.731139912966429,0.627334053505492
70,0.2,1,0.25,1,1,0.5,"relu",0.3,0.4,0.786296313862681,0.626435614992493
71,0,0.8,0.75,0,2,0.3,"relu",0.2,0.3,0.844922862779403,0.659393234430062
72,0.3,0.9,0,0.5,1,0.3,"relu",0.3,1,0.869962318577169,0.64410947738486
73,0,0.9,0,0,2,0.5,"relu",0.8,0.1,0.80540949180161,0.616000534139995
74,0,0.8,0.5,0.75,2,0.5,"relu",0.3,0.2,0.774822278129276,0.63969789724149
75,0.3,1,0.5,0,2,0.1,"relu",0.2,0.8,0.877635190345434,0.66488741404345
76,0.3,0.9,0,0.25,2,0.1,"relu",0.8,0.9,0.920788258767761,0.645901939949009
77,0.2,0.9,1,0,1,0.5,"relu",0.6,0.6,0.740666974986583,0.627839723133767
