"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0.01,0.9,0.3,0.4,0.8,0.8,0.4,"1",5568.978515625,92.526,0.754494847083661,0.606066967413408
0.01,0.9,0.3,0.5,0.1,0.4,0.2,"1",4986.03662109375,83.006,0.830055177498926,0.612677838692598
0.01,0.9,0.3,0.5,0.8,0.9,0.3,"1",5152.884765625,87.357,0.793007333604299,0.663894779007737
0.01,0.9,0.3,0.5,0.9,0.5,0.4,"1",5646.904296875,95.846,0.748245790814439,0.611087185287953
0.01,0.9,0.3,0.6,0.9,0.8,0.2,"1",4701.966796875,82.73,0.855203360357159,0.651042681870953
0.01,0.9,0.3,0.6,0.6,0.8,0.3,"1",5275.65966796875,91.136,0.783952201141968,0.631298318799384
0.01,0.9,0.3,0.6,0.1,0.4,0.4,"1",5527.59814453125,95.945,0.759355842435116,0.646175163955428
0.01,1,0.01,0.4,0.2,0,0.2,"1",4465.60400390625,74.321,0.876962156828373,0.633708285928022
0.01,1,0.01,0.4,0.4,0.8,0.3,"1",4762.6640625,83.314,0.8422797097441,0.63114021898975
0.01,1,0.01,0.4,0.8,0.7,0.4,"1",5241.076171875,85.743,0.792586683260202,0.621918339329358
0.01,1,0.01,0.5,0,0.3,0.2,"1",3557.78442382812,55.257,0.870971678093553,0.624514358989263
0.01,1,0.01,0.5,0.1,0.3,0.3,"1",4891.06005859375,82.783,0.8429156360197,0.621122936238559
0.01,1,0.01,0.5,0.9,0.1,0.4,"1",5234.333984375,91.223,0.804119370737865,0.633073797551632
0.01,1,0.01,0.6,0.2,0.1,0.2,"1",4609.0185546875,75.401,0.867380746932129,0.666139384399188
0.01,1,0.01,0.6,0.9,0.8,0.3,"1",4876.67138671875,82.252,0.84304070525311,0.639607729661012
0.01,1,0.01,0.6,0.2,0.7,0.4,"1",5232.1953125,87.47,0.79375734593413,0.616051996474524
0.01,1,0.155,0.4,0.1,0.3,0.2,"1",4706.44482421875,78.242,0.85839822105563,0.639135576384084
0.01,1,0.155,0.4,0.8,0.1,0.3,"1",5078.119140625,85.313,0.810236715315919,0.636643164703693
0.01,1,0.155,0.4,1,0.2,0.4,"1",5470.33935546875,93.326,0.760186536987636,0.611877819439094
0.01,1,0.155,0.5,0.9,0.5,0.2,"1",5152.1337890625,83.266,0.819083048665787,0.631400355194047
0.01,1,0.155,0.5,0.8,0.3,0.3,"1",5078.7880859375,218.918,0.811319201854387,0.66238678848227
0.01,1,0.155,0.5,1,0.2,0.4,"1",5387.177734375,90.157,0.780754128111459,0.615070534987415
0.01,1,0.155,0.6,0.7,0.5,0.2,"1",4600.78955078125,79.54,0.868767108760989,0.63669853451583
0.01,1,0.155,0.6,0.5,0.5,0.3,"1",4874.1337890625,82.841,0.824697576512019,0.645722342586686
0.01,1,0.155,0.6,0.6,0.8,0.4,"1",5369.38037109375,90.338,0.796212225340002,0.639454406972523
0.01,1,0.3,0.4,0.2,0.7,0.2,"1",4947.9541015625,83.31,0.8317106525426,0.651141803398837
0.01,1,0.3,0.4,0.1,0.7,0.3,"1",5190.39599609375,87.135,0.804799616852806,0.632760482123494
0.01,1,0.3,0.4,0.9,0.4,0.4,"1",5521.6357421875,90.031,0.761954168552662,0.631241751404795
0.01,1,0.3,0.5,0.8,0.5,0.2,"1",4703.5234375,80.538,0.85918020474488,0.648464434589754
0.01,1,0.3,0.5,0,0.8,0.3,"1",4709.49755859375,64.977,0.741241929352805,0.638719516428915
0.01,1,0.3,0.5,0.1,0.7,0.4,"1",5482.3798828125,95.881,0.742650910116338,0.594601666410064
0.01,1,0.3,0.6,0.7,0.8,0.2,"1",4789.3310546875,79.429,0.847639981414244,0.648523595298958
0.01,1,0.3,0.6,0.9,0.8,0.3,"1",5050.150390625,82.28,0.821132044194413,0.613372582668192
0.01,1,0.3,0.6,0.8,1,0.4,"1",5239.650390625,91.153,0.755599220043333,0.616784485623467
0.155,0.8,0.01,0.4,0.1,0.4,0.2,"1",4302.8857421875,78.711,0.88228671072964,0.595247496871005
0.155,0.8,0.01,0.4,0.2,0.4,0.3,"1",4806.46533203125,83.505,0.838983851114409,0.634209484667711
0.155,0.8,0.01,0.4,0.3,0.7,0.4,"1",5502.97998046875,91.208,0.77839707191593,0.628212386051794
0.155,0.8,0.01,0.5,0.8,0.7,0.2,"1",4624.3447265625,78.592,0.865069834271175,0.668708753258519
