"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test","ll.explain","ll.test","nagel.explain","nagel.test"
0.01,1,0.01,0.6,0.8,0.9,0.3,"1",4661.44873046875,77.605,0.840445989864497,0.628380895512716,-76.9717063001284,-100.111559497051,0.405315163479198,0.0369492200321529
0.01,1,0.01,0.6,0.3,0.2,0.4,"1",4992.939453125,79.827,0.795077457639959,0.629208169025411,-81.7101661463134,-97.3544710576058,0.359699895790709,0.0798762577602682
0.01,1,0.155,0.4,0.4,0,0.2,"1",4648.42138671875,75.287,0.830305857975244,0.6392966590457,-78.2702340503459,-104.806271728577,0.391979624843995,-0.0554530493661107
0.01,1,0.155,0.4,0.7,0.3,0.3,"1",4924.5888671875,79.956,0.779372102631699,0.618267094927901,-83.8559192773071,-102.23744407594,0.337019900514308,-0.0424257087658985
0.01,1,0.155,0.4,0.4,0,0.4,"1",5123.53759765625,84.868,0.75637918449503,0.620345075537957,-85.7042597646646,-97.3832021344599,0.31801123768591,0.0606062705573926
0.01,1,0.155,0.5,0.4,1,0.2,"1",4365.71337890625,73.471,0.834138676863811,0.655601546238801,-77.2722052605292,-107.71643534531,0.399472113605273,-0.177451246540014
0.01,1,0.155,0.5,0.1,0.8,0.3,"1",4922.4609375,82.305,0.784024444752676,0.63489839564701,-83.0827336441229,-99.0219138161936,0.341756689529143,0.0668797977964156
0.01,1,0.155,0.5,0.4,0.4,0.4,"1",5276.4482421875,139.495,0.713865079985975,0.617993812433817,-88.8922449239758,-94.2271615787284,0.288919112243785,0.103568376782545
0.01,1,0.155,0.6,0,0.4,0.2,"1",4321.0009765625,63.183,0.785037752697356,0.610619392763468,-82.9157585238296,-103.727379486841,0.361579985417288,-0.0145122902717778
0.01,1,0.155,0.6,1,0.2,0.3,"1",4931.7822265625,81.677,0.790479075821548,0.65751904279611,-82.3298385336884,-96.6824229788632,0.351069981272244,0.0592573793586015
0.01,1,0.155,0.6,0.8,0.2,0.4,"1",5233.82275390625,87.327,0.750367809059777,0.625388032604571,-85.8520584253032,-95.2922853564649,0.316636535198308,0.0872644956869058
0.01,1,0.3,0.4,0.3,0.4,0.2,"1",4606.7685546875,78.236,0.823001520077495,0.661668039579378,-78.0384500606905,-100.942134423132,0.395290424646951,0.0254407844708294
0.01,1,0.3,0.4,0.8,0.7,0.3,"1",4960.14453125,82.194,0.798555700929771,0.635483100875791,-82.3207493966544,-99.5329397971748,0.353653316893888,-0.00651294362743681
0.01,1,0.3,0.4,0.3,1,0.4,"1",5128.884765625,84.783,0.691578173237314,0.589005252802674,-90.8384027147155,-100.963039011151,0.266915572291465,-0.111174288913687
0.01,1,0.3,0.5,0.1,0.6,0.2,"1",4474.07861328125,72.255,0.859815806269171,0.660602340355644,-73.5497509555753,-106.399106853658,0.433141512993624,-0.141971556195147
0.01,1,0.3,0.5,0.4,0.9,0.3,"1",4998.09033203125,78.539,0.783661894448574,0.621055392797187,-83.9252957236935,-98.8752775305603,0.335802774846603,-0.00665778920421421
0.01,1,0.3,0.5,1,0,0.4,"1",5264.5517578125,82.701,0.757709868800405,0.618216818505608,-86.1950168181677,-99.5507292275057,0.309874861161169,0.025423575941557
0.01,1,0.3,0.6,0.6,0.1,0.2,"1",4542.0244140625,74.821,0.844952566128011,0.656794702231083,-75.6738548615028,-101.260788358431,0.41586343125673,-0.00838558652970463
0.01,1,0.3,0.6,0.3,0.7,0.3,"1",4894.16943359375,80.302,0.788323908887153,0.607460800976359,-82.4294895031651,-102.793125679377,0.34745381071353,-0.0776924119146008
0.01,1,0.3,0.6,0.5,0.9,0.4,"1",5230.900390625,84.946,0.747817672090216,0.594411727051326,-86.3314199716523,-93.9976113687203,0.311966337250177,0.11582969131744
0.155,0.8,0.01,0.4,0.7,0.4,0.2,"1",4304.42041015625,71.085,0.873925099087316,0.648195104266609,-70.8775501292614,-104.8406102588,0.464359799043711,-0.115595342677162
0.155,0.8,0.01,0.4,0.2,0.3,0.3,"1",4891.73095703125,80.653,0.79171319461909,0.613569922192045,-81.9004497660649,-105.466064429206,0.363383896592235,-0.110657411417201
0.155,0.8,0.01,0.4,0,0.6,0.4,"1",4885.84716796875,68.132,0.729959023394971,0.61279790484767,-95.4507623119501,-102.892580931583,0.268366711637381,-0.0543571422046268
0.155,0.8,0.01,0.5,0.3,0.9,0.2,"1",4422.8486328125,74.564,0.856975714065794,0.630105124186539,-73.7794996511581,-106.050467886591,0.435202472418603,-0.0962978823755826
0.155,0.8,0.01,0.5,0.2,0.6,0.3,"1",4984.05615234375,82.1,0.796930902567602,0.621040880070878,-81.659794645492,-109.215095016041,0.358867568017546,-0.150745960392077
0.155,0.8,0.01,0.5,0.2,0.8,0.4,"1",5202.1806640625,84.34,0.766185696100752,0.627455418543441,-86.2215160358175,-95.4693221512634,0.316631955030772,0.099341621116209
0.155,0.8,0.01,0.6,0.9,0.9,0.2,"1",4302.4912109375,72.019,0.86638866353152,0.65859256655772,-71.9022258928801,-107.931922099724,0.457295937815061,-0.133968379555871
0.155,0.8,0.01,0.6,1,0,0.3,"1",4736.74267578125,80.906,0.829252690055237,0.649869587999383,-77.5859365457828,-96.413161560238,0.395818074517371,0.0822317963702394
0.155,0.8,0.01,0.6,0.6,0.6,0.4,"1",5109.9775390625,84.522,0.761767177561897,0.632630603269989,-85.7339217825566,-97.4068871168945,0.319235918874478,0.0661424202120049
0.155,0.8,0.155,0.4,0.7,0.9,0.2,"1",4601.2509765625,76.047,0.835072883762279,0.653102554276894,-76.5097467363713,-111.769075320516,0.407705554629423,-0.320549012003723
0.155,0.8,0.155,0.4,0.3,0.1,0.3,"1",4996.82177734375,81.249,0.783219767472071,0.645380697437922,-83.2158800603202,-98.9718071198141,0.342760725822824,0.00869743885003374
0.155,0.8,0.155,0.4,0.8,0.9,0.4,"1",5392.4208984375,87.668,0.68816916884105,0.601727890431535,-90.7226154609189,-94.6052386442164,0.274749989627536,0.112724665787931
0.155,0.8,0.155,0.5,0.4,0.7,0.2,"1",4607.09423828125,78.348,0.829982251574496,0.639770514742275,-77.3628203038831,-99.0641035952304,0.402203058291202,0.0424315497274316
0.155,0.8,0.155,0.5,0.8,0.7,0.3,"1",5069.09765625,81.036,0.777548880157983,0.633437983289326,-83.9986191606988,-97.8892226662923,0.333015120573105,0.0732877529215479
0.155,0.8,0.155,0.5,0.7,0.2,0.4,"1",5338.693359375,88.973,0.717907925391963,0.622714931929553,-89.2727854655594,-95.2027088501797,0.277718302292236,0.0851754873981601
0.155,0.8,0.155,0.6,0.4,0.6,0.2,"1",4666.61572265625,85.072,0.831914115897113,0.617172246947663,-77.6991663286656,-108.0713504691,0.40143681687013,-0.264498775699445
0.155,0.8,0.155,0.6,1,0,0.3,"1",4951.3671875,80.645,0.780409033246492,0.66840164325192,-84.0280406951223,-96.2308467100737,0.335884820655544,0.0534107059175072
0.155,0.8,0.155,0.6,0.7,0.5,0.4,"1",5397.02197265625,88.137,0.717434184721361,0.598798712969642,-89.655535215731,-97.9649381923884,0.278741363703843,0.0646597651420896
0.155,0.8,0.3,0.4,0.6,0.4,0.2,"1",4757.2822265625,77.511,0.822602716776237,0.631962731034555,-78.4839734683163,-106.048799613084,0.389519419295366,-0.154095968631712
0.155,0.8,0.3,0.4,0.3,0.7,0.3,"1",5084.23486328125,85.536,0.763439479483741,0.61900235574788,-85.0213426192641,-95.3753414870389,0.322128862935567,0.100638522894618
0.155,0.8,0.3,0.4,0.4,0.6,0.4,"1",5470.3681640625,93.634,0.693061039405585,0.574126171754582,-91.9384659540731,-94.4983226572915,0.255787197806516,0.108051038910007
0.155,0.8,0.3,0.5,0,0,0.2,"1",4536.59619140625,64.831,0.75687949900982,0.637408998499685,-87.5046275530494,-97.0737585309004,0.307885939559533,0.0547162467495242
0.155,0.8,0.3,0.5,0.9,0.7,0.3,"1",4999.07666015625,83.572,0.766109072251426,0.627355936586542,-84.485118229574,-107.821114954565,0.334719100135586,-0.105392123544992
0.155,0.8,0.3,0.5,0.3,0.2,0.4,"1",5370.716796875,87.992,0.698663841987178,0.59407850114585,-90.7415794308674,-100.927451655215,0.265152466803667,-0.0224157725072824
0.155,0.8,0.3,0.6,0.3,0.1,0.2,"1",4553.0341796875,73.158,0.848413089026057,0.626280840313502,-74.9666859063502,-113.698883069171,0.425470882267678,-0.441334271684098
0.155,0.8,0.3,0.6,0.6,1,0.3,"1",4725.41845703125,78.426,0.786555130189011,0.637534148502819,-82.1795734951069,-103.239965130999,0.351731974204315,-0.168761981675453
0.155,0.8,0.3,0.6,0.1,0.5,0.4,"1",5344.93408203125,89.432,0.714341919287136,0.610717735778477,-89.094546515245,-94.3112970991576,0.282825378290207,0.115788419747354
0.155,0.9,0.01,0.4,0.2,0.2,0.2,"1",4378.5859375,72.66,0.859031433070282,0.620895841887423,-73.2904643344205,-116.35599039868,0.440837316398918,-0.359999787410043
0.155,0.9,0.01,0.4,0.4,0.8,0.3,"1",4786.00341796875,78.193,0.811190396916127,0.609006091474122,-80.0172149982803,-108.03821012366,0.382657508734303,-0.120200150724122
0.155,0.9,0.01,0.4,0,0.4,0.4,"1",4499.94482421875,66.053,0.766641358553195,0.613445752705663,-87.6286875162386,-95.9852815059537,0.317972259499529,0.0884473528335891
0.155,0.9,0.01,0.5,0.4,0.2,0.2,"1",4836.70654296875,80.579,0.818989336365441,0.643483870511258,-78.8815150501168,-101.895463720417,0.388320810999942,0.0197553637917894
0.155,0.9,0.01,0.5,0.5,0.4,0.3,"1",4955.4072265625,78.837,0.799311537878786,0.644251330175776,-81.6885044563754,-94.8216073613692,0.355759937117393,0.110694755603284
0.155,0.9,0.01,0.5,0.3,1,0.4,"1",4883.10693359375,80.589,0.762979096001855,0.621280173364572,-84.9365182198273,-96.9995154454802,0.327585521801229,0.0953614346545604
0.155,0.9,0.01,0.6,0,0.4,0.2,"1",4116.61376953125,59.853,0.843452482405635,0.630803974943468,-78.2212410386164,-106.183610570089,0.395653648297707,-0.0799625846167975
0.155,0.9,0.01,0.6,0.3,0.6,0.3,"1",4757.9521484375,77.157,0.828968155295175,0.635255557962293,-78.7242824282092,-100.519645303908,0.388243350471725,0.0150659549268971
0.155,0.9,0.01,0.6,0,0.1,0.4,"1",4556.205078125,64.039,0.76449431722247,0.623904218433204,-89.1261741065999,-94.5642924948891,0.31081805960048,0.127838861602445
0.155,0.9,0.155,0.4,0.3,0.3,0.2,"1",4636.8447265625,75.546,0.834663965936455,0.670062614795138,-76.4341500732017,-103.583059905536,0.410529530946378,-0.157193466205948
0.155,0.9,0.155,0.4,0.8,0.3,0.3,"1",4999.2587890625,81.712,0.780705154181427,0.64245342969288,-84.7162537320566,-100.741835451364,0.334622856886558,-0.0701313243394904
0.155,0.9,0.155,0.4,0.3,0.5,0.4,"1",5396.94091796875,86.44,0.689740169208225,0.564588435624241,-90.8131941748898,-97.6357509295359,0.272867873620872,0.0998983618981702
0.155,0.9,0.155,0.5,0.4,0.6,0.2,"1",4645.712890625,77.345,0.825894710679327,0.635633568954647,-78.142027582919,-106.786806775579,0.395715512408989,-0.0837571599798373
0.155,0.9,0.155,0.5,0.7,1,0.3,"1",4781.32177734375,80.593,0.773292651237786,0.624054174567815,-84.0083887387423,-104.292137157359,0.337807601935749,-0.0500336748871341
0.155,0.9,0.155,0.5,0.1,0.2,0.4,"1",5322.5625,89.966,0.705149528412132,0.599525653098756,-90.3971878330973,-93.8272059490852,0.28025010231583,0.120944494349993
0.155,0.9,0.155,0.6,0.7,0.8,0.2,"1",4608.03662109375,76.296,0.831273670664374,0.672487422254579,-78.2041410476986,-95.4500382000418,0.395982398106568,0.0921689452261775
0.155,0.9,0.155,0.6,0.7,0,0.3,"1",4969.59716796875,83.412,0.781564782996902,0.652193685785971,-83.5917934352061,-96.3068677641182,0.339509320792772,0.0558317365989489
0.155,0.9,0.155,0.6,0.3,1,0.4,"1",5045.02099609375,86.501,0.727927291632471,0.609476271218599,-88.3379967244989,-95.8822789896796,0.290479045550988,0.0745282670831949
0.155,0.9,0.3,0.4,0.6,0.3,0.2,"1",4892.47314453125,79.061,0.797372490069284,0.640501157497108,-80.7727196519208,-106.066857158633,0.367611706760913,-0.114701488466658
0.155,0.9,0.3,0.4,0.3,0.2,0.3,"1",5071.12109375,82.611,0.770102419918227,0.641425564741848,-84.939797041811,-98.9410955513788,0.324108850788316,0.0307082662321074
0.155,0.9,0.3,0.4,0.9,0,0.4,"1",5441.1162109375,89.082,0.688635128862368,0.611595314437386,-91.40343559033,-102.137254061274,0.25943149594282,-0.079230463248136
0.155,0.9,0.3,0.5,0.8,0.8,0.2,"1",4763.55859375,76.747,0.819654019082754,0.660517617673681,-78.7927115918429,-98.8670313300701,0.383342089748849,0.0322887283621958
0.155,0.9,0.3,0.5,0,0.9,0.3,"1",4605.955078125,67.434,0.760678566918203,0.594857959385346,-87.2065633325416,-103.392142182946,0.313524269726815,-0.113620614119085
0.155,0.9,0.3,0.5,0.8,0.6,0.4,"1",5339.44580078125,87.091,0.719816988456948,0.596134300265268,-88.6678018895785,-95.6773433791484,0.282983787499544,0.0960464081614685
0.155,0.9,0.3,0.6,0.7,0.3,0.2,"1",4818.91943359375,78.492,0.801521201915562,0.645647428472983,-80.7218280547548,-105.064136565091,0.367985960670186,-0.111469167589422
0.155,0.9,0.3,0.6,0.3,0.1,0.3,"1",5133.9599609375,82.417,0.752575095083482,0.632238972486735,-85.4188451592215,-98.9850208300299,0.322290428834389,0.00660930976801972
0.155,0.9,0.3,0.6,0.8,0,0.4,"1",5474.244140625,87.936,0.701806949676818,0.583114052302565,-90.0814078436287,-96.2300348246682,0.275445256439929,0.0862980034699337
0.155,1,0.01,0.4,0.5,0.8,0.2,"1",4718.255859375,76.11,0.828368991074144,0.644862851145886,-77.1084079711654,-100.380903192677,0.404939691243544,-0.000698245710109127
0.155,1,0.01,0.4,0.3,0.8,0.3,"1",4782.21826171875,86.774,0.811074072294179,0.642008281159496,-80.1996530578408,-94.9560636380958,0.374356593159832,0.107229823500696
0.155,1,0.01,0.4,0.2,0.9,0.4,"1",5043.470703125,83.609,0.7788607376512,0.607919206082036,-83.2882451333055,-95.1402039943088,0.345067774024605,0.112475958137612
0.155,1,0.01,0.5,0.1,0.3,0.2,"1",4416.36962890625,73.587,0.857200703596677,0.637293739451401,-73.0806063913555,-105.228911175204,0.446993489958335,-0.0897763234092368
0.155,1,0.01,0.5,0.3,0.8,0.3,"1",4851.783203125,83.133,0.823455604511973,0.634232556560455,-78.2283953758147,-95.3651722107852,0.387953483626675,0.0842150788979948
0.155,1,0.01,0.5,0.9,0.4,0.4,"1",5256.88427734375,85.684,0.770034277801679,0.608328250283706,-85.4411323419877,-95.4592011763969,0.318741794438061,0.107182904924986
0.155,1,0.01,0.6,0.1,0.2,0.2,"1",4289.6044921875,68.541,0.882637314018092,0.645283351539213,-69.8742778114974,-103.800744982585,0.474877617970582,-0.032975516823905
0.155,1,0.01,0.6,0.2,0.6,0.3,"1",4730.44189453125,81.264,0.830372336775627,0.650648186433566,-77.5182076877582,-99.4754070879045,0.39631838791414,0.0178760282077974
0.155,1,0.01,0.6,1,0.2,0.4,"1",5163.1494140625,82.494,0.770488559026589,0.631774653466896,-85.1411793831466,-94.8999097909671,0.328076495266531,0.123335906045247
0.155,1,0.155,0.4,0.7,0.2,0.2,"1",4761.724609375,76.828,0.812861053448405,0.657242404650226,-79.2561304081125,-98.62904908745,0.379160571558296,0.0440919891889768
0.155,1,0.155,0.4,0.5,0.6,0.3,"1",5008.373046875,80.082,0.783759773620811,0.640794059394869,-83.2963938550531,-95.5658165828711,0.339942924558668,0.0605681456950111
0.155,1,0.155,0.4,0.6,0.5,0.4,"1",5416.48193359375,89.972,0.705650727080277,0.637970089787545,-90.5732768986368,-91.869254129974,0.266016858140881,0.138571698903267
0.155,1,0.155,0.5,0.9,1,0.2,"1",4452.03662109375,75.887,0.832426332543666,0.653236572716539,-77.3005693687544,-103.728523030856,0.403135211518806,-0.01475259123658
0.155,1,0.155,0.5,0.3,0.6,0.3,"1",5099.09814453125,85.64,0.756446920196063,0.620605306075788,-85.3209775680976,-94.761966657126,0.323443420658648,0.108376974113486
