"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","diff.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","diff.test_mean","cor.test_mean","auc.lt5.test_mean"
1015,0.2,0.8,0.75,0.25,2,0.2,"relu",0.1,0.9,0.850029218497045,-20.4824507988175,0.328500705292616,3.29682650796745,0.151241372934493,0.461993943911254,0,0.676599539452539,-7.10242224059288,-0.0895321579938358,2.1915960247695,0.0676300868816678,0.229072238864093,36.2
340,0.2,0,0.25,1,2,0.4,"relu",0.1,0,0.808523784032494,-22.8164795431966,0.217162108986322,2.11528194450006,0.0873417684663206,0.38969612965095,0.2,0.640711128186407,-6.74550330424486,0.0337136378825107,1.53305860877805,0.0389698071679499,0.182045629275267,44.2
815,1,0.2,0.25,0.5,1,0.1,"relu",0.6,0.6,0.894593107669663,-17.8978599119548,0.447743171741998,6.43267482208355,0.235066663620492,0.57174688883937,0,0.652695449363482,-8.13233667167329,-0.455956421694454,61.9113870702474,0.0650320370595263,0.191621116267748,40.6
618,1,0.2,1,0.5,2,0.4,"relu",0,1,0.731062949002977,-24.832351438455,0.127044725279471,1.4872332291878,0.0588281763352671,0.27996452506173,6,0.579762396880387,-6.94668464543506,0.00582196374790139,1.19132545129233,0.0209078813650346,0.108560844907567,66
1731,1,0.2,0.75,0,2,0.2,"relu",0.3,0.7,0.854845328049383,-20.179160857851,0.343300838414148,3.54634490258176,0.160964726622292,0.474855138644138,0,0.667310576300802,-7.1534769093304,-0.116579893963809,2.06627974233755,0.0688501661875454,0.217928843962552,34.6
