"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
1,0.4,0.2,0.5,0.25,2,0.1,"relu",0.1,0.1,0.878181281545189,-19.6114379524019,0.403147280519635,4.65080788421678,0.211399584741742,0.537994906040761,0,0.668673559269551,-7.54573357125615,-0.123016887263268,2.39511944672787,0.0755040289589164,0.219637925805646,39.4
2,0.6,0.6,0.5,0,2,0.4,"relu",0.2,0,0.755262677709655,-24.5515479006898,0.17706968110697,1.8361326679173,0.0725756584410474,0.317026379683585,3.8,0.636162223287409,-7.07720992808866,0.0125264698109072,1.43626819410658,0.0384796578121838,0.180369493856205,51.6
3,0.8,0.2,0.5,0,1,0.4,"relu",0.7,0.6,0.79487173060201,-23.3419588872207,0.233613430121021,2.3493809721429,0.104220736142498,0.380014839528363,0.8,0.655839579836488,-7.04923496750907,0.0168103177469289,1.64864904108657,0.0511943557636089,0.203602344143492,44.6
4,0.4,0.4,0.25,0.5,2,0.4,"relu",0.6,1,0.771982576554117,-24.2080942192114,0.194760160851306,1.95688191538124,0.0786109661360543,0.339607873622507,2.8,0.647689231499307,-6.99956375073345,0.0265139514761553,1.54250933474301,0.0440529805662736,0.194852517043939,44.4
5,0,1,0.25,0,1,0.2,"relu",0.4,0.9,0.880305503559056,-19.8324032092047,0.396521579374678,4.26015305339538,0.191545927335115,0.534731743477101,0,0.676183936778472,-7.37433637489046,-0.0817715109059472,2.18573988334357,0.0733470711149542,0.22896230935109,38
6,0.8,0.2,0,0,1,0.4,"relu",1,0.4,0.82752133167081,-22.031630403311,0.296015253339662,3.21366412793433,0.153230421719292,0.445124804760346,0,0.644907710532591,-7.19155369513904,-0.0302518160161175,1.92204780752095,0.0643201159411075,0.19151964296562,47.8
7,0.2,0,1,0.75,2,0.2,"relu",0.2,0.1,0.850365817319741,-21.1913441890172,0.332997901286606,3.35132083983767,0.15951513406569,0.473345322696293,0,0.667992863280344,-7.17701262215562,-0.0365007635563053,1.97539464802026,0.0695390918305832,0.222714433309621,42.2
8,0.6,0.6,0,0.5,2,0.4,"relu",0.1,0.7,0.798069612132418,-23.1895456339798,0.245390219716,2.61444291899301,0.117979201204449,0.395923748479015,0.2,0.627528568224394,-7.2845346769106,-0.0389656884897451,1.56890234854304,0.0451731078727373,0.158567727365239,47.2
9,1,0.4,0,1,2,0.3,"relu",0.7,0.8,0.84389879963509,-21.4060115040911,0.326950013906433,3.6060452268236,0.166133148274014,0.476577439561935,0,0.653533564127602,-7.34165189131256,-0.0590518040383092,2.02069412632771,0.0645501640723809,0.197649825413813,42.8
10,0.8,0.4,1,0,2,0.1,"relu",0.5,0.4,0.886378527898037,-19.184414135755,0.422004081026496,5.27630936050505,0.224894064569437,0.556574663145598,0,0.670261841769315,-7.53665304649802,-0.128007326416457,2.49479720345915,0.0780733838459548,0.218848119203455,38
