"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
848,0.6,0.8,0.75,0,0.001,1,0.1,"relu",0.8,0.3,0.906579111296015,-19.1572053346535,0.511622590762498,5.25537232598125,0.327671559893527,0.621721998805916,0,0.626841921845834,-9.86773162421127,-0.626287840880523,1.8563634588767,0.0756160766124015,0.166251476889913,18
46,1,0.6,0.5,0.25,0.001,1,0.2,"relu",0.8,0.5,0.874872807421525,-21.9370658412977,0.421273196916557,3.72869470836939,0.245661624350119,0.546552699592396,0,0.62682655498683,-9.3273632608439,-0.450102938770839,1.77067023922439,0.0708553102236103,0.172495354593915,16.6
836,0.8,1,0.5,0.5,0.001,1,0.1,"relu",0.1,0.4,0.890803115202696,-20.4177379577853,0.471290947911312,4.64513398616405,0.296141625505223,0.585153832266796,0,0.626808142958855,-10.2515363162887,-0.589131971347915,1.90967656116196,0.0803671002928084,0.172334823531781,16.8
213,0.8,0.8,0.75,0.25,0.002,2,0.1,"relu",0.1,0.2,0.896349934333276,-19.9709654319113,0.486610858338314,4.68920552190613,0.305360767111375,0.596929125536943,0,0.62678374461902,-10.2723745135821,-0.917975894577654,1.8519534995806,0.0746215468708924,0.16288758700155,16
479,1,0.8,0.5,0,0.001,1,0.1,"relu",0.9,0.4,0.894403089291571,-20.1251550395849,0.480901176583053,4.66769030773662,0.30558476930585,0.594680439184372,0,0.626783212523408,-9.94640661952906,-0.784223292297374,1.92205184609238,0.0742390024238543,0.161076220700736,17.6
224,0.2,1,1,0.25,0.002,2,0.1,"relu",0.3,0,0.90367421018515,-19.4608522822171,0.502289423774493,4.84536692033135,0.322924551894445,0.611554052997428,0,0.626737335522252,-10.237204200746,-0.592993810736052,1.89180923278449,0.0774430008215525,0.153642436006417,15.8
518,0.4,0,0,0.5,0.002,2,0.1,"relu",0.4,0.6,0.919773010396225,-17.962063124615,0.55416712512766,6.30613173949914,0.3726763670304,0.654998610804288,0,0.626709753989076,-11.4157321831767,-1.29037279774108,1.91549193396965,0.0787551639751363,0.141682852906852,17.2
159,0.4,0.4,0.5,0.25,0.001,1,0.2,"relu",0.5,0.7,0.873081860901714,-21.950410834411,0.418234481748084,3.59986862678898,0.247429892605857,0.542475896119779,0,0.626709641410724,-9.06534245598736,-0.310247604078898,1.72452754432456,0.0705585062476074,0.165973623500825,18
853,0.8,0.8,0,0.25,0.002,1,0.1,"relu",0.6,0,0.93528977360686,-16.3081456597239,0.603044854748913,7.8337553177719,0.424740677153536,0.695287652845739,0,0.626708022800466,-11.6039010172757,-1.38677959132517,1.96673856849052,0.074532862255258,0.140528323919207,17.8
935,0,0.6,1,0,0.002,2,0.2,"relu",0.9,1,0.875716098268142,-21.8519599765866,0.423414181087819,3.613866528376,0.24484115953686,0.543958328588318,0,0.626689856604762,-9.82895809823353,-0.663347218859545,1.66123631805494,0.0656645319411505,0.152941066297499,17
532,0.2,0.6,0.75,0.75,0.002,2,0.1,"relu",0.9,0.1,0.896658384323998,-19.7843007921172,0.491625863349014,4.77011248244429,0.316416564324203,0.600594397923038,0,0.626633716720558,-10.2689710876703,-0.827385763333612,1.73514031117992,0.0738993786810293,0.162741606546202,16.2
246,0.6,1,0,0.25,0.002,1,0.2,"relu",0,0.3,0.889535211495884,-21.1068682215354,0.451282899622906,4.07245614373505,0.275957678193473,0.578128567861616,0,0.626608807919548,-9.53997027399272,-0.587658223661822,1.65645151118041,0.0748102213661644,0.160784595135795,15.4
314,0.8,0,0.75,0,0.001,2,0.1,"relu",0.2,0.9,0.862960255226933,-22.3886985077381,0.402717905058924,3.59272861864624,0.24160941751901,0.526274438663058,0,0.626561742762298,-9.05915602102705,-0.246763897713471,1.81762070483938,0.07569563751365,0.17425631386965,18.2
841,1,1,0,0.25,0.001,2,0.1,"relu",0.6,0.8,0.896045406800399,-20.1533325615369,0.4789564328999,4.54774913509595,0.307134970478922,0.594406637456277,0,0.626551708940062,-10.0371596231957,-0.487799967682043,1.84770720970701,0.0781350694379616,0.156539503703003,17.2
536,0.4,0.2,1,0,0.002,1,0.1,"relu",0,0.5,0.885660169874061,-20.7555089940656,0.460856804262733,4.50368966593506,0.284292692925937,0.572313951394554,0,0.626514987920963,-10.0518394759707,-0.67685769978537,1.81835037909413,0.0746305989899577,0.174612251779139,17.6
969,0.8,0,0.25,0.5,0.002,1,0.2,"relu",0.7,0.5,0.901724323728715,-19.8038568223082,0.493577862796754,4.73004420203749,0.306142112530203,0.606722534733646,0,0.626471820790476,-9.6475121743041,-0.487693594411939,2.24555237618326,0.0737032127641326,0.165768625255809,17.4
635,0.4,1,0.25,0.5,0.001,2,0.2,"relu",0.2,0.9,0.836106769989129,-24.2839509107346,0.335819211420774,2.75690303902612,0.186427911170482,0.471652948286507,0,0.626421823935812,-8.69241738386348,-0.15273741163752,1.55745273482808,0.0625987709959001,0.161735042873456,16.4
953,1,1,0.75,0.25,0.002,2,0.1,"relu",1,0.6,0.891114958353577,-20.4421945543832,0.472982830214111,4.64885047720902,0.297634175103208,0.58427086749139,0,0.626362317432438,-10.2852974195876,-0.800367447566319,3.64664368371175,0.0679932996150203,0.150555048546686,17.4
366,0.6,1,1,0.25,0.001,2,0.2,"relu",0.3,0.8,0.840553035405775,-24.3445332892955,0.336581197425342,2.78118247722418,0.18659153711099,0.476657422003806,0,0.626320983301312,-8.75442002199205,-0.172833148940056,1.56679378126413,0.0607845778868673,0.17776871793951,18.4
505,0.4,0.2,0.75,0.5,0.002,2,0.1,"relu",0,0.5,0.86701500507612,-22.348163188994,0.407322423263469,3.59509993341341,0.238046344742761,0.533402809510966,0,0.626320264106341,-9.22912610053974,-0.272709631522019,1.7092771095559,0.0664435117998262,0.167925235181661,16.8
639,0.8,0.8,0.5,0.75,0.002,1,0.1,"relu",0.3,0.5,0.918887698035766,-17.9241694900375,0.552533099929352,6.21981533120239,0.3704270552498,0.651215674362431,0,0.62631868092541,-10.8736099697461,-1.20977397854104,4.08320904923283,0.0810787543393949,0.163915161831068,17.2
