"RowNumber","SiteName","UTM_E","UTM_N","o","y","point.ID","poly.ID","AGENCY","UNIT_NAME","TS_NAME","YEAR","YrsSinceDi","TREATMENT_","class","e","ht","mint","maxt","p","r.d","s.d","YrsSinceDist","hja"
"30","HOBO-055",567367,4898518,57,0,30,275,"USFS","WIL",NA,1961,57,"Clearcut",2,2809.73999023438,107.52001953125,3.91000008583069,14.7399997711182,2224.31005859375,43.284154636676,377.386913490421,200,1
"31","SM-07",567031,4899518,46,0,31,NA,NA,NA,NA,NA,NA,NA,NA,3458.77001953125,182.699951171875,3.05999994277954,13.9700002670288,2255.84008789062,240.755604904506,1223.38979890037,200,1
"32","146764",565954,4904963,9,0,32,83,"USFS","WIL","LOBO",1982,36,"Clearcut",1,2591.53002929688,59.389892578125,3.55999994277954,14.3199996948242,2170.4599609375,47.5918303268886,95.5697460931157,200,0
"33","129276",566409,4905644,19,0,33,62,"USFS","WIL",NA,1963,55,"Clearcut",2,2802.47998046875,90.169921875,3.53999996185303,14.3199996948242,2184.6201171875,60.060756990599,236.783554533655,200,0
"34","179439",564607,4903596,52,0,34,NA,NA,NA,NA,NA,NA,NA,NA,2338.77001953125,116.25,3.91000008583069,14.7299995422363,2091.669921875,47.6481406072833,86.2344705990824,200,0
"35","161191",565031,4904352,32,0,35,NA,NA,NA,NA,NA,NA,NA,NA,2400.47998046875,135.219970703125,3.69000005722046,14.4899997711182,2123.8798828125,43.8162146237369,99.256035071253,200,0
"36","124031",568830,4905948,27,0,36,NA,NA,NA,NA,NA,NA,NA,NA,3317.61010742188,20.679931640625,2.20000004768372,13.4099998474121,2325.080078125,34.8489474340121,308.894706035516,200,0
"37","081090",567429,4904826,1,29,37,95,"USFS","WIL","LOOK UP",1990,28,"Clearcut",1,3193.59008789062,38.9599609375,3.30999994277954,14.0699996948242,2223.169921875,55.920099455191,343.870944057864,29,0
"38","135431",568424,4905487,4,3,38,64,"USFS","WIL",NA,1962,56,"Clearcut",2,3347.52001953125,41.85009765625,2.44000005722046,13.539999961853,2256.27001953125,48.3923037455514,185.819791185595,3,0
"39","150802",565612,4903947,33,13,39,1509,"USFS","WIL",NA,2005,13,"Clearcut",1,2665.65991210938,4.880126953125,3.50999999046326,14.3800001144409,2140.8798828125,35.1231534955279,513.535361128301,13,0
"40","150801",566740,4904503,41,0,40,NA,NA,NA,NA,NA,NA,NA,NA,3014.75,91.090087890625,3.5699999332428,14.3900003433228,2180.89990234375,56.7297254637825,82.6816652816856,200,0
"41","258173",565879,4903183,31,0,41,137,"USFS","WIL","WEST CARPENTER",1980,38,"Clearcut",1,3172.169921875,48.860107421875,3.29999995231628,13.9700002670288,2151.419921875,16.2904315663444,1217.54877465643,200,0
"42","248762",564142,4900864,39,12,42,1504,"USFS","WIL",NA,2006,12,"Clearcut",1,2725.84008789062,3.949951171875,3.79999995231628,14.6700000762939,2001.65002441406,54.1443171087307,1109.62214953779,12,0
"43","HOBO-016",564939,4897856,32,0,43,301,"USFS","WIL","BLUE RIVER #2",1959,59,"Clearcut",2,2091.71997070312,205.030029296875,3.45000004768372,15.1499996185303,2126.57006835938,61.450964720698,163.679193193901,200,1
"44","HOBO-036",566184,4897312,9,0,44,315,"USFS","WIL",NA,1959,59,"Clearcut",2,2571.84008789062,0.169921875,3.97000002861023,14.9700002670288,2271.94995117188,4.54937413393111,260.140908031686,200,1
"45","HOBO-242",567092,4898047,55,0,45,NA,NA,NA,NA,NA,NA,NA,NA,2440.93994140625,156.89013671875,3.91000008583069,14.7399997711182,2224.31005859375,63.4459111364429,43.3217425283125,200,1
"46","SM-06",566963,4897321,62,0,46,NA,NA,NA,NA,NA,NA,NA,NA,2588.3701171875,11.559814453125,3.97000002861023,14.9700002670288,2271.94995117188,79.3319605463452,457.107502507801,200,1
"47","HOBO-331",570775,4896043,44,0,47,NA,NA,NA,NA,NA,NA,NA,NA,3661.40991210938,51.16015625,3.04999995231628,13.8599996566772,2629.84008789062,58.8209561073582,39.9832882461047,200,1
"48","HOBO-333",570483,4895464,40,0,48,NA,NA,NA,NA,NA,NA,NA,NA,4133.08984375,84.59033203125,3.04999995231628,13.1099996566772,2670.92993164062,22.2712523207833,142.913039042225,200,1
"49","HOBO-216",569855,4894866,46,0,49,NA,NA,NA,NA,NA,NA,NA,NA,4675.85009765625,69.06005859375,1.86000001430511,12.1099996566772,2633.39990234375,618.035796533285,428.058254981161,200,1
"50","HOBO-233",569577,4895393,6,0,50,NA,NA,NA,NA,NA,NA,NA,NA,4894.77978515625,36.4501953125,1.86000001430511,12.1099996566772,2633.39990234375,784.87379288342,238.430024229309,200,1
"51","SM-03",563839,4897717,81,0,51,NA,NA,NA,NA,NA,NA,NA,NA,2060.419921875,60.510009765625,4.05999994277954,14.8599996566772,2224.18994140625,142.802029204227,358.262566525667,200,1
"52","HOBO-349",562725,4897644,66,0,52,NA,NA,NA,NA,NA,NA,NA,NA,1849.26000976562,53.3599853515625,3.54999995231628,15.2700004577637,2121.7900390625,18.3672606787013,317.698290494065,200,1
