"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
190,0.8,0.2,0,1,0.002,1,0.2,"relu",0.1,0.1,0.903288809746062,-17.4759117914594,0.474557790238198,6.07320207269602,0.2927796662979,0.59146995980947,0,0.649448834966571,-8.39144090235864,-0.460454617302772,2.46166422670752,0.0859107871558514,0.185911848567056,43.8
888,0.8,0,0.5,0.25,0.002,2,0.2,"relu",0.1,0.6,0.835636722122484,-21.1185031643679,0.31846894822311,3.02812760770262,0.169762475566605,0.444369582401534,0.4,0.649414252945867,-7.50787921232167,-0.167987003964966,1.67678788264623,0.0669263502459738,0.184107650967272,44
632,1,0,0.75,0.25,0.002,1,0.1,"relu",0.7,0.1,0.894108710079074,-17.7728078050373,0.459410950741658,5.57611129584429,0.28005821785404,0.567658361627541,0,0.64941028520454,-8.60844395789306,-0.616164028044391,2.34660150678671,0.084616910683348,0.191157660716026,45.2
8,0.6,0.6,0,0.5,0.002,2,0.2,"relu",0.1,0.7,0.871350143258799,-19.4329809679557,0.395442464264288,4.27108531108086,0.236896731736963,0.520526892782416,0,0.649398649567353,-8.04611531837409,-0.357999119103174,2.01069929984772,0.0781881283547735,0.185294890385992,41.6
963,0.2,0.4,0,0,0.002,2,0.1,"relu",0.7,0,0.905397398543064,-17.2370058097549,0.483009602206652,5.97838631786526,0.306668450848138,0.597603011866292,0,0.649396640921055,-8.72588283890405,-0.597847017980359,2.32342321678874,0.0933133146884518,0.191059616281879,41.8
531,0.8,1,0.75,0.5,0.002,1,0.1,"relu",0.5,0.3,0.90310871137949,-17.1168474332016,0.486207269910494,6.32746265925139,0.302895822151246,0.593353997925075,0,0.649282058167412,-8.88565617370414,-0.712661371345877,2.32366959392895,0.0810633544759041,0.178196228524912,44.6
205,0.4,0.2,0.5,0,0.002,2,0.2,"relu",0.3,0.8,0.846410088425783,-20.7057090585297,0.337019766242367,3.22158204197421,0.178655545391415,0.461746756676101,0.2,0.649270338425659,-7.70658771068638,-0.274464962537816,1.7441261451822,0.0673625072586617,0.188570171195117,43.2
782,0.8,0.8,1,0.25,0.002,2,0.1,"relu",0.3,0.6,0.878108022693291,-18.8638446825716,0.414586489422029,4.44200246990831,0.246064994448821,0.529646390486959,0,0.649254517567753,-8.13828478744742,-0.434049301040612,2.12055942334669,0.0815868156123453,0.187533819098908,42.2
179,0.2,0.8,0.25,0.75,0.001,2,0.1,"relu",0.4,0.9,0.845378003112392,-20.7229435208506,0.334552212257593,3.28408237616514,0.180399940951726,0.46805264591312,0.4,0.649253297966458,-7.51441702667798,-0.165359805543987,1.89021049161576,0.0688827252465895,0.190894756848261,43.6
358,1,0.6,0,0,0.001,1,0.2,"relu",0.6,0.2,0.870329153483876,-19.5143713550218,0.389799288393168,4.16319090717289,0.22594287651273,0.519415432679334,0,0.649225573112938,-7.84954772914188,-0.264368075399128,2.00074432165137,0.0770814036314533,0.186312024988972,44.2
343,0.6,0.2,0.25,1,0.002,2,0.2,"relu",0.4,0.8,0.862642357855358,-20.2437330725489,0.357020001695968,3.36875107698917,0.194381563344356,0.492964982398929,0,0.649201334427032,-7.59968590682334,-0.189890493199848,1.83500158072157,0.0697873764216961,0.191393585001957,42.6
965,0.2,0.8,0.5,0.5,0.002,1,0.1,"relu",1,0.8,0.886388381165998,-18.1918534851826,0.442224632427654,5.25979263494959,0.266480387472483,0.550218734342367,0,0.649104821387532,-8.63562630220385,-0.685333499946394,2.60632615712257,0.080502250181602,0.188336483409878,44.8
424,0,1,0,0.75,0.002,1,0.1,"relu",0.6,1,0.912811492583065,-16.3765145672084,0.516895176737945,7.61667711716849,0.32791424051014,0.624286172569373,0,0.64909940588012,-9.16591970974933,-0.913999975605203,3.00067099133813,0.0911335062377778,0.191090254480302,45.6
852,0,0,0,0,0.001,1,0.1,"relu",0.8,0.8,0.905038486261301,-17.2086766469881,0.482248011362683,6.09029322421819,0.298191911800387,0.600296961338867,0,0.649095745110343,-8.45424703834043,-0.513843404457984,2.20125395199023,0.0897390630093048,0.188841171660977,46.2
971,0.6,0.8,0.5,0.25,0.002,1,0.1,"relu",0.3,0.1,0.896654215436165,-17.6329728848088,0.464939965579887,5.67406992609312,0.284217909207336,0.57212745091223,0,0.649088834254096,-8.64714208139044,-0.652668718658099,2.51263255056061,0.0854213337941578,0.188977450865234,45.4
560,0.2,0.8,0.25,0.5,0.001,1,0.1,"relu",0.6,0.2,0.877128186281207,-18.9498354657543,0.410429155694521,4.55121476412317,0.240930785810688,0.530599366868601,0.2,0.649020796653562,-8.07684249201838,-0.388979772948237,2.13533294749409,0.0751932835220529,0.185135724717244,42.6
