"lambda.env","alpha.env","lambda.SB","alpha.SB","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0.105,0.8,0.2,0.5,0.3,"1",5853.9052734375,105.038,0.727992415153464,0.721751003054285
0.105,0.8,0.2,0.5,0.4,"1",5845.1748046875,102.182,0.70900286416863,0.700540408468264
0.105,0.8,0.2,0.6,0.2,"1",5557.37744140625,96.895,0.759769235246555,0.721541824070596
0.105,0.8,0.2,0.6,0.3,"1",5820.0087890625,102.354,0.713119266704901,0.696477081497329
0.105,0.8,0.2,0.6,0.4,"1",5853.49169921875,104.883,0.71572768848193,0.697461147496847
0.105,0.9,0.01,0.4,0.2,"1",5003.18896484375,91.945,0.774889723913173,0.698516303030902
0.105,0.9,0.01,0.4,0.3,"1",4987.689453125,91.753,0.770677471230848,0.69689669612144
0.105,0.9,0.01,0.4,0.4,"1",5062.07421875,94.712,0.756521240060129,0.691815144219236
0.105,0.9,0.01,0.5,0.2,"1",4935.4287109375,85.517,0.784821396917992,0.70077806967353
0.105,0.9,0.01,0.5,0.3,"1",5102.4248046875,91.177,0.757311626325146,0.696780715495549
0.105,0.9,0.01,0.5,0.4,"1",5076.419921875,92.303,0.756663101139241,0.684241808146859
0.105,0.9,0.01,0.6,0.2,"1",4840.0380859375,87.193,0.784842592934476,0.712990328835384
0.105,0.9,0.01,0.6,0.3,"1",4955.900390625,90.51,0.770469994709833,0.696124005884236
0.105,0.9,0.01,0.6,0.4,"1",5261.80419921875,91.111,0.757141886278812,0.6976566719331
0.105,0.9,0.105,0.4,0.2,"1",5336.837890625,92.007,0.795177471172403,0.708939803348904
0.105,0.9,0.105,0.4,0.3,"1",5794.03076171875,104.814,0.724049857686608,0.687451613599845
0.105,0.9,0.105,0.4,0.4,"1",6016.55810546875,101.127,0.682344373343529,0.689238388580886
0.105,0.9,0.105,0.5,0.2,"1",5263.4169921875,93.103,0.791195459555495,0.718792610151839
0.105,0.9,0.105,0.5,0.3,"1",5482.140625,96.839,0.764361897396876,0.710511167615814
0.105,0.9,0.105,0.5,0.4,"1",5974.80908203125,109.46,0.728364916549769,0.688055309756077
0.105,0.9,0.105,0.6,0.2,"1",5435.03857421875,93.933,0.773343340832445,0.71468430637122
0.01,0.8,0.01,0.4,0.2,"2",4714.1474609375,83.154,0.813881324013215,0.717505399663328
0.01,0.8,0.01,0.4,0.3,"2",4760.65185546875,85.837,0.805032932098152,0.709158428421536
0.01,0.8,0.01,0.4,0.4,"2",5021.0830078125,92.892,0.775767579347011,0.699676401221052
0.01,0.8,0.01,0.5,0.2,"2",4487.12939453125,80.81,0.847111435131983,0.723295951270163
0.01,0.8,0.01,0.5,0.3,"2",4755.97314453125,84.479,0.806575841709076,0.707689262010447
0.01,0.8,0.01,0.5,0.4,"2",5050.9267578125,88.908,0.770014672051722,0.690924450064476
0.01,0.8,0.01,0.6,0.2,"2",4424.74267578125,78.793,0.857903859953091,0.725653932183664
0.01,0.8,0.01,0.6,0.3,"2",4900.140625,86.556,0.780465492874023,0.704318507500519
0.01,0.8,0.01,0.6,0.4,"2",5023.38037109375,88.645,0.772466258736749,0.694879841236406
0.01,0.8,0.105,0.4,0.2,"2",5171.51123046875,86.24,0.803326945891034,0.711919111030897
0.01,0.8,0.105,0.4,0.3,"2",5559.7587890625,97.794,0.765031938427059,0.712107584996545
0.01,0.8,0.105,0.4,0.4,"2",5765.37939453125,97.673,0.735159578128675,0.696894282543259
0.01,0.8,0.105,0.5,0.2,"2",5208.66748046875,95.249,0.806568053371481,0.730953146089016
0.01,0.8,0.105,0.5,0.3,"2",5453.189453125,91.409,0.768937484553759,0.714444078268673
0.01,0.8,0.105,0.5,0.4,"2",5647.96484375,107.823,0.753166586119934,0.712487638265558
0.01,0.8,0.105,0.6,0.2,"2",5359.12841796875,89.293,0.794564883163101,0.719964133779138
0.01,0.8,0.105,0.6,0.3,"2",5567.28564453125,92.549,0.775929886823926,0.710588128185635
0.01,0.8,0.105,0.6,0.4,"2",5671.283203125,100.21,0.743703382871035,0.714085155218467
0.01,0.8,0.2,0.4,0.2,"2",5521.19482421875,89.135,0.758876055143695,0.722245862462188
0.01,0.8,0.2,0.4,0.3,"2",5440.787109375,92.119,0.767683958319681,0.720633498593857
0.01,0.8,0.2,0.4,0.4,"2",5843.517578125,109.148,0.702209650726256,0.687863577271612
0.01,0.8,0.2,0.5,0.2,"2",5391.7890625,96.896,0.782488707980378,0.723619106060496
0.01,0.8,0.2,0.5,0.3,"2",5715.94580078125,93.031,0.713644078199662,0.712835104591818
0.01,0.8,0.2,0.5,0.4,"2",5903.7890625,98.193,0.711211181780581,0.699605958891445
0.01,0.8,0.2,0.6,0.2,"2",5493.96240234375,91.708,0.761597973407914,0.70455684211119
0.01,0.8,0.2,0.6,0.3,"2",5696.47119140625,104.963,0.731728902541692,0.709204476316049
0.01,0.8,0.2,0.6,0.4,"2",5758.37451171875,98.262,0.716498601508537,0.698767236580003
0.01,0.9,0.01,0.4,0.2,"2",4758.42041015625,84.178,0.811553866029042,0.72178631315087
0.01,0.9,0.01,0.4,0.3,"2",4733.830078125,83.716,0.81279927123459,0.71917555515275
0.01,0.9,0.01,0.4,0.4,"2",5102.64111328125,89.536,0.781467601621935,0.71096439979379
0.01,0.9,0.01,0.5,0.2,"2",4568.46533203125,82.872,0.831418651694625,0.720967524491075
0.01,0.9,0.01,0.5,0.3,"2",4909.24755859375,86.144,0.808014217736632,0.719847614279093
0.01,0.9,0.01,0.5,0.4,"2",5063.61376953125,90.194,0.751457399334578,0.694593112931242
0.01,0.9,0.01,0.6,0.2,"2",4492.62109375,77.874,0.850116597869395,0.724983208808337
0.01,0.9,0.01,0.6,0.3,"2",4816.6796875,84.506,0.785196825270993,0.702635022574281
0.01,0.9,0.01,0.6,0.4,"2",5107.41943359375,91.758,0.767658393529916,0.691959304548819
0.01,0.9,0.105,0.4,0.2,"2",5230.22607421875,89.269,0.807055426394798,0.727935487202324
0.01,0.9,0.105,0.4,0.3,"2",5382.447265625,93.773,0.777758879609547,0.729139698946817
0.01,0.9,0.105,0.4,0.4,"2",5763.6982421875,97.846,0.75348883759602,0.710630284945076
0.01,0.9,0.105,0.5,0.2,"2",5153.5078125,85.358,0.810002989528433,0.738722923574799
0.01,0.9,0.105,0.5,0.3,"2",5505.615234375,93.143,0.757763181875752,0.697432761540818
0.01,0.9,0.105,0.5,0.4,"2",5812.8037109375,99.299,0.729640648680278,0.685002527764143
0.01,0.9,0.105,0.6,0.2,"2",5075.9794921875,84.824,0.817155130162072,0.725359448281976
0.01,0.9,0.105,0.6,0.3,"2",5361.2919921875,92.259,0.775888946345064,0.718491702284328
0.01,0.9,0.105,0.6,0.4,"2",5667.6650390625,96.636,0.742534141703753,0.696944488249902
0.01,0.9,0.2,0.4,0.2,"2",5090.4365234375,85.202,0.811206239382173,0.730460297316116
0.01,0.9,0.2,0.4,0.3,"2",5646.96484375,93.284,0.746921930090673,0.716441787941149
0.01,0.9,0.2,0.4,0.4,"2",6124.75927734375,97.422,0.703448303388409,0.691022887176446
0.01,0.9,0.2,0.5,0.2,"2",5374.990234375,86.687,0.785933725813438,0.717684950760931
0.01,0.9,0.2,0.5,0.3,"2",5703.16943359375,97.708,0.720066488631629,0.69960912108557
0.01,0.9,0.2,0.5,0.4,"2",5915.31787109375,96.631,0.706745633662886,0.706517667470353
0.01,0.9,0.2,0.6,0.2,"2",5376.533203125,87.762,0.783615576698825,0.715613305303203
0.01,0.9,0.2,0.6,0.3,"2",5565.67578125,89.523,0.762626318521615,0.723671731693364
0.01,0.9,0.2,0.6,0.4,"2",5917.7001953125,97.603,0.713272254443755,0.692902687816903
0.01,1,0.01,0.4,0.2,"2",4489.271484375,77.946,0.856847012078925,0.72734573977221
0.01,1,0.01,0.4,0.3,"2",4965.81396484375,85.995,0.79439676145947,0.701462033376462
0.01,1,0.01,0.4,0.4,"2",5145.58251953125,89.024,0.762089705647889,0.707073514030569
0.01,1,0.01,0.5,0.2,"2",4584.2021484375,79.509,0.836012562505612,0.727976544606447
0.01,1,0.01,0.5,0.3,"2",4705.1025390625,82.408,0.813628136392348,0.715824912572035
0.01,1,0.01,0.5,0.4,"2",5067.8740234375,89.669,0.769727630292707,0.705144615397706
0.01,1,0.01,0.6,0.2,"2",4503.15576171875,76.67,0.846784698493053,0.717383084161111
0.01,1,0.01,0.6,0.3,"2",4758.4990234375,83.759,0.826524386921316,0.721908863373058
0.01,1,0.01,0.6,0.4,"2",5196.62939453125,87.588,0.77372369001433,0.697954640596371
0.01,1,0.105,0.4,0.2,"2",5074.60498046875,83.775,0.830820463717463,0.71735549056734
0.01,1,0.105,0.4,0.3,"2",5368.43896484375,91.143,0.791822136510578,0.724400362196611
0.01,1,0.105,0.4,0.4,"2",5756.759765625,101.3,0.736852479582885,0.696054427184542
0.01,1,0.105,0.5,0.2,"2",5199.1796875,89.528,0.809888675761198,0.720675269798245
0.01,1,0.105,0.5,0.3,"2",5423.21484375,91.231,0.782898078536475,0.710464336388249
0.01,1,0.105,0.5,0.4,"2",5614.9931640625,94.425,0.765823633318912,0.725350649535965
0.01,1,0.105,0.6,0.2,"2",5051.052734375,87.805,0.823013619120718,0.732440730723446
0.01,1,0.105,0.6,0.3,"2",5324.9326171875,91.257,0.78397202261298,0.713268851108791
0.01,1,0.105,0.6,0.4,"2",5785.9892578125,100.234,0.728222023145355,0.699154315893446
0.01,1,0.2,0.4,0.2,"2",5149.9833984375,85.635,0.822226770455217,0.727812949301654
0.01,1,0.2,0.4,0.3,"2",5488.3056640625,90.505,0.747021456476417,0.716564515100321
0.01,1,0.2,0.4,0.4,"2",5723.07373046875,102.371,0.724540151957538,0.719899316409333
0.01,1,0.2,0.5,0.2,"2",5031.52587890625,84.265,0.823107963801439,0.733734138875869
0.01,1,0.2,0.5,0.3,"2",5480.0859375,91.109,0.760113551843958,0.693744503026259
0.01,1,0.2,0.5,0.4,"2",5795.38916015625,102.909,0.697148932381008,0.699185892925236
0.01,1,0.2,0.6,0.2,"2",5024.66015625,91.994,0.823888357917628,0.722812235028241
0.01,1,0.2,0.6,0.3,"2",5509.09765625,91.085,0.775680672331315,0.717094335383444
0.01,1,0.2,0.6,0.4,"2",5662.8173828125,95.726,0.723813428722534,0.708053655400203
0.105,0.8,0.01,0.4,0.2,"2",5079.84814453125,90.272,0.771380005076556,0.702288277973487
0.105,0.8,0.01,0.4,0.3,"2",5505.6689453125,95.541,0.722732643991951,0.693683503808717
0.105,0.8,0.01,0.4,0.4,"2",5381.14306640625,97.232,0.713274316809869,0.689064059460479
0.105,0.8,0.01,0.5,0.2,"2",5040.1044921875,87.514,0.778560952944735,0.691111597012599
0.105,0.8,0.01,0.5,0.3,"2",5122.77392578125,93,0.752455148024441,0.690147222926421
0.105,0.8,0.01,0.5,0.4,"2",5242.1748046875,95.639,0.714319857705102,0.691954316621303
0.105,0.8,0.01,0.6,0.2,"2",5126.5439453125,89.04,0.774872756026604,0.698521853903887
0.105,0.8,0.01,0.6,0.3,"2",5347.2421875,95.247,0.717455650014023,0.695235217602012
0.105,0.8,0.01,0.6,0.4,"2",5454.56689453125,96.738,0.726680683539212,0.693821220477764
0.105,0.8,0.105,0.4,0.2,"2",5614.69140625,98.113,0.736788284422543,0.696544945179856
0.105,0.8,0.105,0.4,0.3,"2",5746.296875,109.259,0.725880765977974,0.680340646199022
0.105,0.8,0.105,0.4,0.4,"2",6503.7197265625,105.754,0.684063748328668,0.696848336769479
0.105,0.8,0.105,0.5,0.2,"2",5699.27001953125,100.943,0.760268788184789,0.70313934723355
0.105,0.8,0.105,0.5,0.3,"2",5746.40478515625,98.928,0.743049650499097,0.691399687545254
0.105,0.8,0.105,0.5,0.4,"2",5971.1025390625,108.268,0.689758547520894,0.679163258298488
0.105,0.8,0.105,0.6,0.2,"2",5576.5283203125,97.955,0.753136706470778,0.686594892765502
0.105,0.8,0.105,0.6,0.3,"2",5768.09130859375,101.021,0.730109831104795,0.701501715640143
0.105,0.8,0.105,0.6,0.4,"2",6217.25927734375,109.188,0.704064882209791,0.687184609855113
0.105,0.8,0.2,0.4,0.2,"2",5563.15673828125,95.871,0.741133261887598,0.697806120854927
0.105,0.8,0.2,0.4,0.3,"2",6142.8017578125,108.027,0.653436880558002,0.697236799582281
0.105,0.8,0.2,0.4,0.4,"2",6221.99267578125,110.145,0.647863708797004,0.683656501292904
0.105,0.8,0.2,0.5,0.2,"2",5893.35400390625,102.178,0.703876124886164,0.682030495040938
0.105,0.8,0.2,0.5,0.3,"2",6223.8388671875,107.178,0.65520229607016,0.708073556937048
0.105,0.8,0.2,0.5,0.4,"2",6343.166015625,109.227,0.660082064270992,0.690301381210908
0.105,0.8,0.2,0.6,0.2,"2",5712.30224609375,96.309,0.725018675540531,0.693945275147321
0.105,0.8,0.2,0.6,0.3,"2",5949.5390625,104.018,0.696964379212834,0.686626397129914
0.2,0.8,0.01,0.4,0.2,"2",5058.02392578125,92.102,0.767778772642273,0.705359349315551
0.2,0.8,0.01,0.4,0.3,"2",5348.76318359375,98.338,0.722530608084618,0.677718587989794
0.2,0.8,0.01,0.4,0.4,"2",5363.1103515625,99.709,0.710375802338222,0.694692373159978
0.2,0.8,0.01,0.5,0.2,"2",5104.18212890625,90.994,0.771316700521475,0.697127616313465
0.2,0.8,0.01,0.5,0.3,"2",5256.515625,94.978,0.723337568419876,0.693175961873213
0.2,0.8,0.01,0.5,0.4,"2",5574.93603515625,99.676,0.715472547254042,0.688203694847983
0.2,0.8,0.01,0.6,0.2,"2",5482.75732421875,92.723,0.725864025297982,0.695036783651447
0.2,0.8,0.01,0.6,0.3,"2",5207.283203125,96.255,0.725466804661554,0.687083104764264
0.2,0.8,0.01,0.6,0.4,"2",5288.85107421875,96.491,0.71239613904911,0.692109394288103
0.2,0.8,0.105,0.4,0.2,"2",5682.3544921875,99.253,0.741866240989495,0.700565802148816
0.2,0.8,0.105,0.4,0.3,"2",6065.23388671875,113.281,0.679034804516244,0.686272029374118
0.2,0.8,0.105,0.4,0.4,"2",6051.92529296875,106.209,0.676780670767724,0.68361068263775
0.2,0.8,0.105,0.5,0.2,"2",5662.330078125,97.785,0.744217138236437,0.688474911920671
0.2,0.8,0.105,0.5,0.3,"2",6065.1513671875,109.489,0.725119344051472,0.685537424453132
0.2,0.8,0.105,0.5,0.4,"2",6082.36962890625,109.895,0.683137085963162,0.687693110522927
0.2,0.8,0.105,0.6,0.2,"2",5928.361328125,99.97,0.741556089631326,0.696895043106147
0.2,0.8,0.105,0.6,0.3,"2",5729.861328125,103.321,0.731212122124888,0.69078922734933
0.2,0.8,0.105,0.6,0.4,"2",6227.703125,111.152,0.693488053813304,0.684088774787304
0.2,0.8,0.2,0.4,0.2,"2",6211.8779296875,102.966,0.650702600964455,0.688876839746405
0.2,0.8,0.2,0.4,0.3,"2",6218.74951171875,109.022,0.650171632999131,0.696341412526408
0.2,0.8,0.2,0.4,0.4,"2",6381.31591796875,110.446,0.642805543100277,0.672046511554184
0.2,0.8,0.2,0.5,0.2,"2",5725.78662109375,102.039,0.720580392836775,0.691711524085778
0.2,0.8,0.2,0.5,0.3,"2",6162.85546875,112.45,0.662739651678454,0.687908745035237
0.2,0.8,0.2,0.5,0.4,"2",6258.185546875,110.269,0.650838622012366,0.688160380674234
0.2,0.8,0.2,0.6,0.2,"2",6238.6435546875,103.257,0.657213947936019,0.693814477118505
0.2,0.8,0.2,0.6,0.3,"2",6110.57763671875,107.54,0.670893295982014,0.700104415098021
0.2,0.8,0.2,0.6,0.4,"2",6174.11474609375,109.425,0.670551167258281,0.683512420136461
0.2,0.9,0.01,0.4,0.2,"2",4983.31103515625,89.279,0.7710167214847,0.697287818627333
0.2,0.9,0.01,0.4,0.3,"2",5256.01611328125,96.106,0.720049072832832,0.684808320783918
0.2,0.9,0.01,0.4,0.4,"2",5484.32421875,98.057,0.719115102082123,0.697131660314205
0.2,0.9,0.01,0.5,0.2,"2",4997.6943359375,88.393,0.765282207246049,0.686551383694926
0.2,0.9,0.01,0.5,0.3,"2",5242.97119140625,93.019,0.749592948419909,0.695162591071585
0.2,0.9,0.01,0.5,0.4,"2",5237.255859375,96.463,0.723437257912324,0.6848607851922
0.2,0.9,0.01,0.6,0.2,"2",4938.57470703125,87.722,0.779302853923828,0.69838200673612
0.2,0.9,0.01,0.6,0.3,"2",5319.81982421875,94.342,0.721351205000472,0.697110519745324
0.2,0.9,0.01,0.6,0.4,"2",5384.1640625,96.497,0.722988128762982,0.686404781654675
0.2,0.9,0.105,0.4,0.2,"2",5812.61181640625,98.61,0.724995812590988,0.680997859632237
0.2,0.9,0.105,0.4,0.3,"2",5859.71630859375,105.764,0.720999773116668,0.700033631215963
0.2,0.9,0.105,0.4,0.4,"2",6156.69970703125,110.11,0.678106471203113,0.694934717073997
0.2,0.9,0.105,0.5,0.2,"2",5672.3525390625,96.64,0.750854214590439,0.71039588507779
0.2,0.9,0.105,0.5,0.3,"2",6010.87548828125,102.482,0.701472623634746,0.686278762383302
0.2,0.9,0.105,0.5,0.4,"2",6074.39013671875,109.904,0.688968708539959,0.695532404055955
0.2,0.9,0.105,0.6,0.2,"2",5686.5517578125,98.249,0.745451203009231,0.708529712035147
0.2,0.9,0.105,0.6,0.3,"2",5664.85107421875,101.449,0.737922058765064,0.688648320436471
0.2,0.9,0.105,0.6,0.4,"2",5973.07421875,108.579,0.695308713892742,0.68714676836693
0.2,0.9,0.2,0.4,0.2,"2",5904.60009765625,97.938,0.699478310127378,0.688044349401979
0.2,0.9,0.2,0.4,0.3,"2",5908.01611328125,102.866,0.705165760102259,0.69971205417124
0.2,0.9,0.2,0.4,0.4,"2",5956.87744140625,106.172,0.676743910798909,0.692605992488772
0.2,0.9,0.2,0.5,0.2,"2",5778.6318359375,96.165,0.712193297010715,0.701045583489637
0.2,0.9,0.2,0.5,0.3,"2",6085.140625,104.174,0.653698820104842,0.689116780629462
0.2,0.9,0.2,0.5,0.4,"2",6194.01708984375,116.193,0.665485589087687,0.675428144642765
0.2,0.9,0.2,0.6,0.2,"2",5818.5439453125,99.493,0.716376782582464,0.699795464237067
0.2,0.9,0.2,0.6,0.3,"2",6084.62646484375,103.742,0.652058558470986,0.681449704249683
0.2,0.9,0.2,0.6,0.4,"2",6116.1396484375,111.433,0.653971558999084,0.70149452446767
0.2,1,0.01,0.4,0.2,"2",4765.53759765625,86.05,0.807657719646694,0.721332375137256
0.2,1,0.01,0.4,0.3,"2",4998.220703125,90.156,0.768087211029625,0.695609171266673
0.2,1,0.01,0.4,0.4,"2",5477.19970703125,94.305,0.718807902679971,0.687876028016693
0.2,1,0.01,0.5,0.2,"2",4958.10888671875,86.387,0.771999355966349,0.694537400748505
0.2,1,0.01,0.5,0.3,"2",5006.140625,86.97,0.77660746553451,0.704451248898713
0.2,1,0.01,0.5,0.4,"2",5053.78955078125,91.763,0.754756856657595,0.691775873494224
