Sample	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
124031-M2-S1_BDSW190602960-1a_2_val_2	5339.0	5488.0	5791.0	6098.0	6367.0	6729.0	7155.0	7257.0	7589.0	8222.0	8585.0	9210.0	9627.0	9958.0	11019.0	12077.0	13091.0	14881.0	17236.0	20924.0	28698.0	44670.0	119457.0	924088.0	11351230.0	16299326.0
124031-M2-S2_BDSW190602961-1a_1_val_1	3550.0	3427.0	3594.0	3822.0	3776.0	4140.0	4277.0	4259.0	4522.0	4829.0	4901.0	5142.0	5525.0	5616.0	6339.0	6814.0	7668.0	8642.0	9798.0	12719.0	17465.0	26242.0	74644.0	762844.0	9871927.0	15445635.0
124031-M2-S2_BDSW190602961-1a_2_val_2	4446.0	4257.0	4655.0	4567.0	4513.0	5061.0	5383.0	5097.0	5753.0	6018.0	5829.0	6461.0	6831.0	6984.0	7884.0	8452.0	9502.0	11018.0	12241.0	16531.0	22447.0	32485.0	90755.0	819847.0	10000807.0	15204293.0
128101-M1-S1_BDSW190602962-1a_1_val_1	7572.0	7320.0	7586.0	8296.0	7930.0	8426.0	8701.0	8284.0	9056.0	9554.0	9672.0	10098.0	10673.0	10550.0	11498.0	12839.0	13914.0	15761.0	17089.0	21132.0	30047.0	44193.0	113406.0	999843.0	11292705.0	17544791.0
128101-M1-S1_BDSW190602962-1a_2_val_2	7928.0	7404.0	8175.0	8312.0	8053.0	9003.0	9372.0	8610.0	9721.0	10245.0	9662.0	10577.0	11305.0	11251.0	12804.0	13648.0	15020.0	17816.0	19008.0	24577.0	35572.0	50689.0	129305.0	1049158.0	11380960.0	17362761.0
128101-M1-S2_BDSW190602963-1a_1_val_1	3546.0	3669.0	3798.0	3984.0	3846.0	4055.0	4529.0	4367.0	4497.0	4834.0	4656.0	5413.0	5854.0	6746.0	6877.0	7105.0	7976.0	9010.0	10954.0	14095.0	20123.0	31699.0	89138.0	854645.0	10490694.0	15790275.0
128101-M1-S2_BDSW190602963-1a_2_val_2	5772.0	6144.0	6515.0	6717.0	6577.0	7303.0	7715.0	7396.0	8048.0	8626.0	8370.0	9410.0	10220.0	10245.0	11580.0	12085.0	13309.0	15601.0	18476.0	23577.0	32467.0	51226.0	133116.0	976134.0	10633473.0	15366283.0
129276-M1-S1_BDSW190602964-1a_1_val_1	4168.0	3902.0	4078.0	4302.0	4025.0	4335.0	4669.0	4340.0	4715.0	4897.0	4816.0	5182.0	5539.0	5438.0	6062.0	6375.0	6913.0	8368.0	9267.0	11619.0	16642.0	25631.0	72159.0	720487.0	9420922.0	14742620.0
129276-M1-S1_BDSW190602964-1a_2_val_2	4459.0	4268.0	4399.0	4610.0	4300.0	4844.0	5094.0	4395.0	5123.0	5469.0	5078.0	5573.0	6082.0	5923.0	6843.0	7382.0	7962.0	9523.0	10394.0	13734.0	20211.0	29073.0	81916.0	762419.0	9520527.0	14571870.0
129276-M1-S2_BDSW190602965-1a_1_val_1	2202.0	2202.0	2340.0	2413.0	2472.0	2559.0	2745.0	2696.0	2779.0	3057.0	3064.0	3261.0	3627.0	3680.0	4067.0	4543.0	4983.0	5936.0	6867.0	9336.0	13516.0	21119.0	71030.0	799641.0	10778203.0	17096733.0
129276-M1-S2_BDSW190602965-1a_2_val_2	2926.0	3026.0	3249.0	3112.0	3178.0	3498.0	3613.0	3447.0	3794.0	4223.0	4021.0	4151.0	4842.0	4916.0	5446.0	6004.0	6793.0	8203.0	9053.0	12719.0	18163.0	26682.0	84848.0	849039.0	10903084.0	16873041.0
130101-M1-S1_BDSW190602966-1a_1_val_1	5059.0	5092.0	5286.0	5588.0	5708.0	6113.0	6063.0	5874.0	6343.0	6869.0	7031.0	7528.0	7933.0	8571.0	8943.0	9561.0	11154.0	12497.0	13946.0	17488.0	25655.0	38371.0	102272.0	886632.0	10472439.0	15877466.0
130101-M1-S1_BDSW190602966-1a_2_val_2	6289.0	6560.0	6638.0	6941.0	7286.0	7671.0	8006.0	8111.0	8714.0	8932.0	9224.0	9809.0	10437.0	10450.0	12020.0	12711.0	14744.0	16561.0	18586.0	22933.0	32180.0	47659.0	121884.0	940219.0	10477446.0	15733471.0
130101-M1-S2_BDSW190602967-1a_1_val_1	2079.0	2144.0	2070.0	2280.0	2201.0	2326.0	2542.0	2410.0	2661.0	2615.0	2799.0	2995.0	3165.0	4541.0	3976.0	4350.0	4793.0	5353.0	6618.0	8542.0	12771.0	19815.0	70980.0	800827.0	11163442.0	17115255.0
130101-M1-S2_BDSW190602967-1a_2_val_2	3140.0	3485.0	3383.0	3744.0	3914.0	3895.0	4260.0	4396.0	4822.0	4985.0	5203.0	5512.0	5895.0	6255.0	7001.0	7669.0	8561.0	9801.0	11562.0	14888.0	20444.0	31964.0	96277.0	858677.0	11182446.0	16941371.0
130102-M1-S1_BDSW190602968-1a_1_val_1	5647.0	5466.0	5628.0	6189.0	5820.0	6202.0	6571.0	6099.0	6499.0	6888.0	7015.0	7341.0	8119.0	8213.0	8404.0	9067.0	9901.0	11115.0	12326.0	15790.0	22046.0	31653.0	85420.0	805085.0	10285581.0	15647011.0
