"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","diff.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","diff.test_mean","cor.test_mean","auc.lt5.test_mean"
136,1,0.8,0.75,0.25,0.002,2,0.1,"relu",0.7,0.8,0.877067822298039,-18.969908313534,0.410538945979843,4.48037084983137,0.243859145797755,0.525729836927125,0,0.672817917275025,-8.01645135106736,-0.399451944060377,2.88503015193393,0.0919076139581221,0.223651321111898,39.4
601,0,0,0.5,0,0.001,2,0.2,"relu",0.7,0.2,0.806824816381785,-22.3801662630472,0.262402292067518,2.4195779827603,0.129110490472305,0.397250452353596,1.6,0.655940112896284,-7.0921399085846,-0.0242208048771216,1.68974656240639,0.0621831173927782,0.201989530688758,43.4
347,0,1,0.5,1,0.001,2,0.2,"relu",0,0,0.794486996664693,-23.5492639178445,0.214217179855138,1.90013676129556,0.0986480848777875,0.368520664388002,0.4,0.621318450647544,-7.11527060000729,-0.00498615737369687,1.35096131291516,0.0386427396874621,0.155741616109411,56.6
341,0,0.4,0,0.75,0.002,1,0.1,"relu",0.3,0.8,0.923137851005014,-15.6974304430819,0.542917589981805,8.30031075247365,0.353277604000216,0.649849582647967,0,0.647728557517052,-9.64072243805021,-1.10612775123229,31.9850537511752,0.0942613984721145,0.183786321962837,44.4
665,0.6,0,0.75,0.25,0.001,2,0.2,"relu",0,0.6,0.771827801278831,-24.0393079801587,0.193748830635814,1.87708763384771,0.0892672075838687,0.338493624153661,1.6,0.602098873106447,-7.23512700215255,-0.0300256851675187,1.25395839270462,0.0305070755727334,0.124894616495643,55.6
304,0.8,0,0.75,0.5,0.002,2,0.2,"relu",0.6,0.1,0.848463405791834,-20.6538421700242,0.339629997138795,3.25690918464556,0.18362057284542,0.464121112004392,0.2,0.671895420258006,-7.4130369359261,-0.1717250929484,2.01913866803743,0.0773324487643067,0.213158779163355,35.4
