"uniqueID","clearcut","insideHJA","oldGrowthIndex","elevation_m","canopyHeight_m","precipitation_mm","minT_annual","maxT_annual","mean.NDVI","mean.EVI","mean.green","mean.wet","mean.bright","l_p25","l_rumple","B1_median","B2_median","B3_median","B4_median","B5_median","B6_median","B7_median","B10_median","B11_median","lg_DistStream","lg_DistRoad","lg_YrsDisturb","lg_cover2m_max","lg_cover2m_4m","lg_cover4m_16m","be10","tri","slope","aspect","Nss","Ess","twi","ht","ht.r250","ht.r500","ht.r1k","cov2_4","cov2_4.r250","cov2_4.r500","cov2_4.r1k","cov4_16","cov4_16.r250","cov4_16.r500","cov4_16.r1k","be500","mTopo","cut.r1k.pt"
"652934_M1_S1","no","no",1.05294043085333,-1.55592327432284,0.0227441683615387,-1.67981924624222,0.542002759691573,1.29911126172373,0.251406049387476,1.36257453135946,-0.101719225500436,0.257463815393386,-0.175044666528532,0.41416333527099,-0.581762373981239,1.14592052390876,0.670259631176717,-0.0490714129616907,-0.261094555596072,-0.239027424939363,-0.322851468637843,-0.47375930754389,1.04372821141228,1.10569973911084,0.688528292023813,0.0470253495252585,0.770691479148943,0.456321347063142,-0.0769241815515561,-0.390003271507684,-1.55512043038731,0.974734228506768,1.00381811276803,0.0913605845218843,-1.06793653760601,-0.54667723121065,-0.538204333754819,-0.236994214489755,0.427807781201036,0.188271789963278,0.123800910575667,-0.486140555658059,-0.758146050818427,-0.571501475328597,-0.403531380329238,-0.723285962613717,-0.93829492596376,-0.854002762470215,-0.912854636658293,-1.51159829308671,-0.629861146795028,-0.684706633227569
"700226_M1_S1","yes","no",-1.19560374504377,-1.05776034947372,-0.882551363896516,-1.57442160071622,0.299067659611911,1.16114822759753,0.526876646692975,1.00576230733708,0.782677646630233,0.353819419049196,0.464776162052472,-1.21576706606997,-0.960753868054386,0.711362263269707,0.454117274543183,0.0980592289677394,-0.200824404610328,0.703225612502764,-0.00813398161444868,-0.237715448070147,0.574117222383159,0.628943682336105,-0.114167173857958,-1.39090566602141,-1.10302708266436,-0.0415244998403138,1.47656447813274,1.23144938871005,-1.05991311739894,-0.283436452553168,-0.193111321823058,0.110752013408107,-1.04836501374465,-0.588998045447123,0.159695480020255,-1.37864808350776,0.152646571568498,0.144182246434788,-0.0638874192839623,2.11587226723636,0.29918898637195,-0.70429756860224,-1.16483703428303,2.08077602478617,0.557649918242997,-0.507126335184409,-0.871522336459454,-1.07500595673263,-0.140643721931693,0.543941694591984
"700239_M1_S1","yes","no",-0.446089019744737,-1.33843902106425,-0.985558897369553,-1.69207490576859,1.15743814303455,2.00863391964032,0.073497955294341,0.551866898686711,1.44223936924074,-0.883145642882261,1.54538958436962,-1.36181052381212,-1.13846074082489,1.29860315602519,1.17459179665496,0.988199612640791,0.636261025747234,1.44635328037651,1.33901038357106,0.894610892303892,0.769788467811961,0.542260762922517,1.10577466055376,0.085548225506218,-1.10302708266436,0.240731325038414,1.52040000263965,1.29706752950615,-1.34097206998055,-0.701936393253941,-0.762808271428952,0.616430449133286,-0.173371345619418,-1.33826491582262,-0.9512276015048,-1.50761135426865,0.659948066605849,0.869017868325398,0.151666895822124,2.30332528049708,-0.0480959186471881,-0.882907800364356,-1.24493336985889,2.39393914813803,-0.574928276858885,-1.46829310938017,-2.18670650630244,-1.39819066584086,0.0679336428716423,0.652242003123191
"HOBO-014_M1_S1","no","yes",-0.399244349413547,1.20420156861325,1.68799024876695,1.30736503717717,-0.348759017502524,-0.415567658919814,0.0562810429627467,-1.40744828198739,-0.778941715142738,-0.783176704089359,-0.626826549305194,-1.44176132852472,-0.934817692490564,-1.20304304711316,-1.15494249150646,-0.799437686801784,-0.348151440353259,-0.380673306384912,0.50232243026496,0.603832224836239,-1.42172948099062,-1.4947878432968,0.766471374684036,-0.121088992958915,0.770691479148943,0.0819993261712814,1.82471078731799,0.908004581130563,1.20015609061735,1.1437360975838,1.14394313148785,1.48816762279838,1.45908437268286,-0.469236917572812,-0.278157178383058,0.101382095419939,-1.05275704374442,-1.09329917872444,-0.359856264061314,3.98120731057337,2.66270426914806,2.1101410888261,1.49477084903889,0.911001874544029,0.504088862456482,0.787190886794274,0.541197390775591,1.46230665549293,-1.42122855513368,0.00244015193595002
"HOBO-032_M1_S1","yes","yes",-1.10191440438139,1.26067921887197,-0.0427207306100843,1.65409396418484,-0.00865003124979538,-0.307168738156756,0.733479594672099,0.318615091463603,0.798979893121121,0.815121871551385,0.237053672490722,0.484520027152041,-0.685879138708545,-0.651036607923007,-0.614586599922625,-0.358045761013494,-0.395028224453282,0.654983899256817,-0.462939130544598,-0.501126711540846,-1.22605823556182,-1.23473908505604,1.05312245330509,-0.494023426522092,-0.299283794174752,0.487557951139337,-0.796120946994994,-0.732627746130964,1.26378961495829,0.737566311115116,0.825850002296456,-1.23421487176879,0.438308960948299,1.51731507629595,-0.314798974949385,-0.328292235901211,-0.57522844198934,-0.478884323428635,-0.795159337614179,-0.693176846267005,1.41320761493779,1.95819095648037,1.46968573125248,-0.835703846239007,0.501667409339245,0.766496330230236,0.753820512444244,1.2987553201529,0.0582531730086904,-0.201089738234766
"HOBO-053_M1_S1","no","yes",0.209736364891917,0.263344222593599,1.05302347788356,0.441715872786008,-0.235389098986948,-0.415567658919814,0.0448031014083522,-0.594219008155476,-1.43239009531916,0.365863869506172,-1.43881290618757,2.28288001395848,0.303140104188965,-0.991636325721186,-0.95080804357479,-1.04955977808182,-0.609322094624818,-1.44404383665729,-0.938853379214122,-0.685856688520296,-0.247702008417808,-0.151202592386188,0.647904396243967,0.462039810181514,0.770691479148943,0.485808906957355,-1.14299580424463,-1.7448979197337,0.26322395278032,-0.76719811591884,-0.900586957792931,0.474407938657162,-0.474984756777033,-1.21152401519191,-0.298892042917607,1.49828081213947,0.935565631555611,1.29931383953478,1.86969623115195,-0.73859035126036,-1.00154532318243,-1.16960979189011,-1.44426555075018,-0.968464383654116,-1.00929977043676,-1.06072387869618,-1.56280105263384,0.334021511432633,-0.397496274547962,-0.69964460681808
"HOBO-055_M1_S1","yes","yes",1.1934744418469,-0.0118754177119107,0.668242210400468,0.274530043331405,0.59058970358789,0.1855551519128,-0.110149109575991,-0.232363501814764,-0.437273799104546,0.208081568519783,-0.413145929072989,0.279579399341284,-0.00676013723181292,-0.322181707979938,-0.31438888237605,-0.299193504241722,-0.267791239038933,-0.564402384491819,-0.372745704385455,-0.261661926567484,-0.0520307629890061,0.108846165854577,0.0644714503874273,0.000144748369547796,-0.360396568206117,0.370476112533597,-0.106696558225675,-0.00970612091541984,-0.0069953672422667,1.28278885939831,1.32306126055725,0.0391296550175726,-1.114173035341,-0.429592468179826,-1.15994040874385,0.381188463945706,0.910397796341271,1.46171168915703,2.04159713238845,-0.499521608740341,-0.859860686531399,-1.15293230599509,-1.28785478483616,-0.510326020087927,-0.863294019452014,-1.00599990253081,-1.22900588879747,-0.0470755400905129,0.256920283546218,-0.847157096024379
"HOBO-060_M1_S1","yes","yes",-1.47667176703091,1.26849973193115,0.0300733087543839,2.64362618090519,-0.462128552180884,-0.474694939616228,1.15816343218474,0.374091196965316,0.503501675473778,0.116543745046764,0.00017344206187684,-0.546312356408714,-0.973675554941796,-1.2500223185336,-1.1429345828046,-0.850933411477085,-0.830312648239215,0.480492596026793,-0.0426761448243335,-0.121403981083086,-2.04787746636278,-1.97154390007154,0.575734124379415,0.778157179192462,-0.376345079704918,0.479729597516385,0.0488065627154625,0.891779849043851,1.25692930450426,0.987095511631133,1.01562742347563,-2.00212377973346,1.55095173743621,0.235618057169854,-0.0343722573843899,-0.828664869668703,-1.26386693052985,-0.698640273677184,-0.0583485864654162,-0.42297317037641,0.17530286292887,1.26468947027718,0.485211031213793,0.865731577875031,2.23207760742312,1.0227770135329,0.147855227646446,1.31192288343505,-0.0724538891465619,-1.43347255945195
"HOBO-063_M1_S1","yes","yes",-0.305555008751168,0.692426483583025,0.0396852960310057,0.822403581546647,-1.04517225305649,-0.819601091105205,-0.242145437451541,-0.232363501814764,0.701166414175794,0.0250059215737451,0.69616174796106,-0.198792834192249,-0.482384915363027,-0.0637957151675271,0.213959100505923,0.311398659765413,0.435360522461419,0.736071034287239,0.275879360333493,0.34384188686516,-0.365104755675089,-0.324568431213364,0.291573251310406,-0.551370802181515,-0.635565234682365,0.277885624416693,-1.82777894984762,0.495359695118801,0.691003810649865,-1.09372151860007,-1.11230056408801,-0.0770350443726287,-1.18177632707128,-0.15684962289435,1.66903473817518,-0.383144377130842,0.256068929937902,0.0314243074451618,0.919276958448898,-0.783029068005588,-0.81996784155167,-0.695446671468124,-0.383083270650193,0.037756553397971,-0.507452878956569,-0.186522433573469,-0.350827310329769,0.750648078386743,-0.229515257478023,-0.27951409958495
"HOBO-211_M1_S1","no","yes",1.38085312317166,-1.46925485828685,1.33022034211184,-0.778833073623433,0.671567941255661,1.2596933800816,-0.0412814602496168,0.534215410572531,0.731733126346208,-1.39864812244084,1.07773428409,0.844298648358725,-0.292444671278345,1.12243088819854,0.826362444300937,0.53945115475603,0.274640119832767,0.909535918086498,1.52707327215821,1.14433845377611,0.378445976954358,0.368894924095341,-3.30088382408886,-0.00773703383287966,0.770691479148943,0.383642851090544,0.656178477881469,-0.2666208626366,-1.46861429560178,-0.719110203124785,-0.810893010905417,-0.302553459226521,-1.16839434417301,0.388159633074111,0.123701190260844,0.229979712363516,1.43559722106342,1.57449808562635,1.13162420580917,0.105166834994691,-0.160544228998204,-0.585731744325642,-0.64533596820283,-0.666760954560122,-0.275237424933224,-0.753636522416424,-0.627638993928598,-1.26134935270385,-1.66647211919806,-0.539061390720084
