"k","loglike_sjSDM","loss","AUC.train","AUC.test","ll.train","ll.test","nagel.train","nagel.test","plr.train","plr.test","tjur.train","tjur.test","cor.train","cor.test"
1,6714.1181640625,105.198,0.664328962924266,0.569440391300879,-25.0622562339035,-6.79216834767139,0.0527933166655043,0.00828433863288596,1.16327819327611,1.06005335646592,0.0241260056023464,0.00882207034896203,0.189027365322853,0.0847216383794102
2,6727.205078125,106.841,0.646827858324236,0.524604252864057,-25.1088820224634,-6.78625239869725,0.0488617682977521,-0.0091154685684357,1.17367825377816,1.0172029089274,0.0216080556976082,0.00348597105723227,0.169273366645777,0.0418963672184008
3,6574.37646484375,104.667,0.655769917774261,0.513935245838127,-24.53738781728,-6.97477207073687,0.0531000757042318,-0.0222817728612378,1.19814508820375,1.02850106446051,0.0223308269770469,0.00248825381572842,0.178127653464155,0.0334558238665821
4,6701.3310546875,105.712,0.634048124829625,0.59324557745894,-25.0151503512409,-6.91595433490216,0.0435997836139389,0.0100722817164071,1.16670451991705,1.09718452604808,0.0211058618503129,0.0167149683936645,0.151722939330306,0.117512580205093
5,6806.58837890625,107.428,0.657344582221115,0.564170519992438,-25.4056444552057,-6.41374048431885,0.0498820285849015,-0.00128326561369983,1.16004421640444,1.07774134750391,0.0211252136753888,0.0105833242218997,0.182438552963758,0.0688394412943134
