"otu","order","family","genus","species"
"R3379_24__Insecta_Hemiptera_Miridae_Dichaetocoris_sp_BOLD_AAE7491_size.17","Hemiptera","Miridae","Dichaetocoris","NA"
"R1564_3__Insecta_Diptera_BOLD_ACF6271_size.1425","Diptera","NA","NA","NA"
"R1843_86__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACU7095_size.11","Diptera","Phoridae","Megaselia","NA"
"R344_56__Insecta_Diptera_Sciaridae_Cratyna_NA_BOLD_ACG6762_size.25","Diptera","Sciaridae","Cratyna","NA"
"R1727__Insecta_Hymenoptera_Ichneumonidae_NA_sp_BOLD_ACV5010_size.157","Hymenoptera","Ichneumonidae","NA","NA"
"R457_27__Insecta_Lepidoptera_Geometridae_Eulithis_Eulithis_destinata_BOLD_AAA1505_size.1364","Lepidoptera","Geometridae","Eulithis","destinata"
"R1115_6__Arachnida_Araneae_Amaurobiidae_Callobius_Callobius_pictus_BOLD_AAL6500_size.43","Araneae","Amaurobiidae","Callobius","pictus"
"R4641__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ACT7409_size.60","Diptera","Sciaridae","NA","NA"
"R1842_36__Insecta_Diptera_Muscidae_Phaonia_sp_BOLD_ACI3443_size.5","Diptera","Muscidae","Phaonia","NA"
"R589_139__Insecta_Coleoptera_Buprestidae_Buprestis_Buprestis_aurulenta_BOLD_ACA2064_size.1509","Coleoptera","Buprestidae","Buprestis","aurulenta"
"R2266_32__Insecta_Lepidoptera_Geometridae_Eustroma_Eustroma_fasciata_BOLD_ABX6172_size.142","Lepidoptera","Geometridae","Eustroma","fasciata"
"R2048_58__Insecta_Lepidoptera_Tortricidae_Choristoneura_Choristoneura_rosaceana_BOLD_AAA1517_size.390","Lepidoptera","Tortricidae","Choristoneura","rosaceana"
"R2288_10__Insecta_Diptera_Muscidae_Phaonia_sp_BOLD_ACE6851_size.2006","Diptera","Muscidae","Phaonia","NA"
"R2672_3__Insecta_Lepidoptera_Geometridae_Plagodis_Plagodis_pulveraria_BOLD_AAA6013_size.1282","Lepidoptera","Geometridae","Plagodis","pulveraria"
"R3422_7__Insecta_Lepidoptera_Tortricidae_Acleris_Acleris_curvalana_BOLD_AAB0267_size.395","Lepidoptera","Tortricidae","Acleris","curvalana"
"R2500_5__Insecta_Diptera_Asilidae_Laphria_NA_BOLD_AAG6876_size.3682","Diptera","Asilidae","Laphria","NA"
"R642_226__Insecta_Coleoptera_Cerambycidae_Phymatodes_Phymatodes_aeneus_BOLD_AAH8461_size.19","Coleoptera","Cerambycidae","Phymatodes","aeneus"
"R1229_11__Insecta_Lepidoptera_Geometridae_Xanthorhoe_Xanthorhoe_macdunnoughi_BOLD_AAA4416_size.124","Lepidoptera","Geometridae","Xanthorhoe","macdunnoughi"
"R1779_9__Insecta_Hymenoptera_Diprionidae_Neodiprion_sp_BOLD_ACJ5807_size.195","Hymenoptera","Diprionidae","Neodiprion","NA"
"R2062_44__Insecta_Hymenoptera_Diprionidae_Neodiprion_NA_BOLD_ACJ5640_size.211","Hymenoptera","Diprionidae","Neodiprion","NA"
"R2585_33__Arachnida_Araneae_Agelenidae_Novalena_Novalena_intermedia_BOLD_AAF2538_size.104","Araneae","Agelenidae","Novalena","intermedia"
"R876__Insecta_Lepidoptera_Copromorphidae_Ellabella_Ellabella_editha_BOLD_ABX3483_size.227","Lepidoptera","Copromorphidae","Ellabella","editha"
"R2677_18__Insecta_Hymenoptera_Pompilidae_Dipogon_sp_BOLD_AAX8829_size.15","Hymenoptera","Pompilidae","Dipogon","NA"
"R2398_18__Insecta_Lepidoptera_Geometridae_Melanolophia_Melanolophia_imitata_BOLD_AAA4550_size.172","Lepidoptera","Geometridae","Melanolophia","imitata"
"R2185_29__Insecta_Hymenoptera_Formicidae_Formica_NA_BOLD_AAA4975_size.173","Hymenoptera","Formicidae","Formica","NA"
"R2559_40__Arachnida_Araneae_Philodromidae_Philodromus_Philodromus_rufus_BOLD_AAB2769_size.29","Araneae","Philodromidae","Philodromus","rufus"
"R1367_82__Insecta_Diptera_NA_NA_sp_BOLD_ACN7236_size.7","Diptera","NA","NA","NA"
"R3133_8__Insecta_Coleoptera_Ampedidae_Ampedus_Ampedus_anthracinus_BOLD_ACX0576_size.2","Coleoptera","Ampedidae","Ampedus","anthracinus"
"R2211_48__Insecta_Lepidoptera_Argyresthiidae_Argyresthia_NA_BOLD_AAF5253_size.15","Lepidoptera","Argyresthiidae","Argyresthia","NA"
"R2571_2__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACB9264_size.80","Diptera","Cecidomyiidae","NA","NA"
"R766_61__Insecta_Diptera_Muscidae_Phaonia_Phaonia_luteva_BOLD_AAE6220_size.647","Diptera","Muscidae","Phaonia","luteva"
"R1375__Insecta_Lepidoptera_Tineidae_Morophagoides_Morophagoides_burkerella_BOLD_AAD9378_size.294","Lepidoptera","Tineidae","Morophagoides","burkerella"
"R4127_3__Insecta_Diptera_Anthomyiidae_NA_NA_BOLD_AAG2492_size.197","Diptera","Anthomyiidae","NA","NA"
"R71_33__Insecta_Hymenoptera_Crabronidae_Ectemnius_Ectemnius_cephalotes_BOLD_AAG3199_size.54","Hymenoptera","Crabronidae","Ectemnius","cephalotes"
"R1483_24__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACW3475_size.60","Diptera","Cecidomyiidae","NA","NA"
"R3169_3__Insecta_Diptera_Empididae_Rhamphomyia_sp_BOLD_ACA1451_size.287","Diptera","Empididae","Rhamphomyia","NA"
"R2080_72__Insecta_Hymenoptera_Pompilidae_NA_sp_BOLD_ACH3333_size.17","Hymenoptera","Pompilidae","NA","NA"
"R2251_53__Insecta_Diptera_Muscidae_Phaonia_sp_BOLD_ACI3443_size.14","Diptera","Muscidae","Phaonia","NA"
"R2231_49__Insecta_Diptera_NA_NA_sp_BOLD_ACX1217_size.4","Diptera","NA","NA","NA"
"R1837_121__Insecta_Diptera_Keroplatidae_NA_sp_BOLD_ACT4289_size.25","Diptera","Keroplatidae","NA","NA"
"R2002_77__Insecta_Hemiptera_Cicadellidae_Xestocephalus_NA_BOLD_AAN8347_size.48","Hemiptera","Cicadellidae","Xestocephalus","NA"
"R4861_7__Insecta_Diptera_Phoridae_Megaselia_Megaselia_baileyae_BOLD_ACT9986_size.28","Diptera","Phoridae","Megaselia","baileyae"
"R1557_115__Insecta_Hymenoptera_Formicidae_Camponotus_Camponotus_vicinus_BOLD_AAC9519_size.54","Hymenoptera","Formicidae","Camponotus","vicinus"
"R2847_26__Insecta_Diptera_Phoridae_Megaselia_sp_BOLD_ACF3749_size.66","Diptera","Phoridae","Megaselia","NA"
"R1227_131__Insecta_Lepidoptera_Geometridae_Pero_NA_BOLD_AAA5527_size.1686","Lepidoptera","Geometridae","Pero","NA"
"R3449_8__Insecta_Hymenoptera_Pompilidae_Agenioideus_Agenioideus_birkmanni_BOLD_ACA6213_size.470","Hymenoptera","Pompilidae","Agenioideus","birkmanni"
"R761_136__Insecta_Orthoptera_Tettigoniidae_Scudderia_NA_BOLD_ACE8271_size.255","Orthoptera","Tettigoniidae","Scudderia","NA"
"R1117_75__Insecta_Hemiptera_BOLD_ACA9276_size.65","Hemiptera","NA","NA","NA"
"R1195_102__Insecta_Diptera_Muscidae_Phaonia_sp_BOLD_ACI3443_size.17","Diptera","Muscidae","Phaonia","NA"
"R4282_12__Insecta_Lepidoptera_Gelechiidae_Coleotechnites_sp_BOLD_AAW5246_size.136","Lepidoptera","Gelechiidae","Coleotechnites","NA"
"R4189_13__Insecta_Coleoptera_Scraptiidae_NA_sp_BOLD_ABX2446_size.28","Coleoptera","Scraptiidae","NA","NA"
"R1786_28__Insecta_Blattodea_Archotermopsidae_Zootermopsis_Zootermopsis_angusticollis_BOLD_ACD2582_size.3583","Blattodea","Archotermopsidae","Zootermopsis","angusticollis"
"R1461_25__Insecta_Diptera_Muscidae_Phaonia_NA_BOLD_ACG7665_size.413","Diptera","Muscidae","Phaonia","NA"
"R1792_95__Insecta_Lepidoptera_Noctuidae_Anhimella_Anhimella_perbrunnea_BOLD_AAF1328_size.259","Lepidoptera","Noctuidae","Anhimella","perbrunnea"
"R169_141__Insecta_Lepidoptera_Noctuidae_Caradrina_Caradrina_meralis_BOLD_AAB9848_size.274","Lepidoptera","Noctuidae","Caradrina","meralis"
"R3338_2__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACT8296_size.316","Hymenoptera","Ichneumonidae","NA","NA"
"R2947_18__Insecta_Hymenoptera_Pompilidae_NA_sp_BOLD_AAP2492_size.4","Hymenoptera","Pompilidae","NA","NA"
"R2896_30__Insecta_Hemiptera_Cicadellidae_NA_NA_BOLD_ACL9911_size.123","Hemiptera","Cicadellidae","NA","NA"
"R3200_29__Insecta_Diptera_Dolichopodidae_NA_NA_BOLD_ACT0151_size.5","Diptera","Dolichopodidae","NA","NA"
"R2275_65__Insecta_Diptera_Tabanidae_NA_sp_BOLD_AAP7672_size.1258","Diptera","Tabanidae","NA","NA"
"R228__Insecta_Diptera_Asilidae_Laphria_Laphria_asackeni_BOLD_AAU2476_size.361","Diptera","Asilidae","Laphria","asackeni"
"R1527_121__Insecta_Diptera_Bombyliidae_Villa_Villa_psammina_BOLD_ACE8997_size.103","Diptera","Bombyliidae","Villa","psammina"
"R833__Insecta_Raphidioptera_Raphidiidae_Agulla_Agulla_unicolor_BOLD_ACA6995_size.540","Raphidioptera","Raphidiidae","Agulla","unicolor"
"R1265_172__Insecta_Coleoptera_Cerambycidae_Monochamus_NA_BOLD_AAA9568_size.268","Coleoptera","Cerambycidae","Monochamus","NA"
"R948__Insecta_Lepidoptera_Geometridae_Scopula_Scopula_quinquelinearia_BOLD_ACF4078_size.131","Lepidoptera","Geometridae","Scopula","quinquelinearia"
"R847__Insecta_Coleoptera_Cerambycidae_Necydalis_Necydalis_laevicollis_BOLD_ACT4277_size.527","Coleoptera","Cerambycidae","Necydalis","laevicollis"
"R1104__Insecta_Diptera_BOLD_AAG3915_size.423","Diptera","NA","NA","NA"
"R3222_31__Insecta_Diptera_Syrphidae_Eupeodes_Eupeodes_lapponicus_BOLD_AAB5561_size.430","Diptera","Syrphidae","Eupeodes","lapponicus"
"R917_167__Insecta_Orthoptera_NA_NA_sp_BOLD_ACP1661_size.106","Orthoptera","NA","NA","NA"
"R417_72__Insecta_Lepidoptera_Gelechiidae_Neotelphusa_sp_BOLD_AAA6353_size.83","Lepidoptera","Gelechiidae","Neotelphusa","NA"
"R2967_29__Insecta_Coleoptera_Cleridae_Enoclerus_NA_BOLD_AAG5716_size.207","Coleoptera","Cleridae","Enoclerus","NA"
"R1396_172__Insecta_Diptera_Dolichopodidae_Medetera_NA_BOLD_ACD0799_size.24","Diptera","Dolichopodidae","Medetera","NA"
"R2587_69__Insecta_Lepidoptera_Blastobasidae_Hypatopa_NA_BOLD_ABW8333_size.96","Lepidoptera","Blastobasidae","Hypatopa","NA"
"R1623_82__Insecta_Diptera_Heleomyzidae_Suillia_Suillia_barberi_BOLD_AAG0466_size.55","Diptera","Heleomyzidae","Suillia","barberi"
"R3154_6__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_AAI2298_size.11","Hymenoptera","Ichneumonidae","NA","NA"
"R3328_24__Insecta_Diptera_Mycetophilidae_Syntemna_sp_BOLD_ACN8370_size.26","Diptera","Mycetophilidae","Syntemna","NA"
"R2900_18__Insecta_Hymenoptera_Pompilidae_Aporus_sp_BOLD_ACQ4467_size.301","Hymenoptera","Pompilidae","Aporus","NA"
"R1115_66__Insecta_Diptera_Fanniidae_NA_sp_BOLD_AAP6343_size.87","Diptera","Fanniidae","NA","NA"
"R1927_41__Insecta_Coleoptera_BOLD_ADC1012_size.51","Coleoptera","NA","NA","NA"
"R2563_2__Insecta_Diptera_Cecidomyiidae_NA_sp_BOLD_ACT5330_size.9","Diptera","Cecidomyiidae","NA","NA"
"R1022_132__Insecta_Hymenoptera_Braconidae_Orgilus_sp_BOLD_AAC5505_size.8","Hymenoptera","Braconidae","Orgilus","NA"
"R1106_93__Insecta_Diptera_Tabanidae_Chrysops_sp_BOLD_AAG4564_size.1059","Diptera","Tabanidae","Chrysops","NA"
"R1252_127__Insecta_Hymenoptera_Scelionidae_Telenomus_NA_BOLD_ACX1641_size.81","Hymenoptera","Scelionidae","Telenomus","NA"
"R1880_93__Insecta_Coleoptera_Cerambycidae_Necydalis_sp_BOLD_AAF1477_size.2","Coleoptera","Cerambycidae","Necydalis","NA"
"R1341_37__Insecta_Lepidoptera_Noctuidae_Syngrapha_Syngrapha_viridisigma_BOLD_AAA8795_size.708","Lepidoptera","Noctuidae","Syngrapha","viridisigma"
"R1394_133__Insecta_Diptera_Anthomyiidae_Hylemya_NA_BOLD_AAI2273_size.882","Diptera","Anthomyiidae","Hylemya","NA"
"R2234_72__Insecta_Coleoptera_Cleridae_Enoclerus_sp_BOLD_ACI7539_size.129","Coleoptera","Cleridae","Enoclerus","NA"
"R4077_3__Insecta_Coleoptera_Melandryidae_Serropalpus_Serropalpus_substriatus_BOLD_AAH9565_size.177","Coleoptera","Melandryidae","Serropalpus","substriatus"
"R4089_15__Insecta_Coleoptera_Cleridae_Enoclerus_sp_BOLD_ACI7539_size.19","Coleoptera","Cleridae","Enoclerus","NA"
"R1511_149__Insecta_Diptera_Phoridae_Pseudacteon_NA_BOLD_AAU5624_size.9","Diptera","Phoridae","Pseudacteon","NA"
"R2649_58__Insecta_Hymenoptera_Ichneumonidae_Lissonota_sp_BOLD_AAD8806_size.15","Hymenoptera","Ichneumonidae","Lissonota","NA"
"R2493_7__Insecta_Lepidoptera_Crambidae_Eudonia_NA_BOLD_AAE4522_size.106","Lepidoptera","Crambidae","Eudonia","NA"
"R2306_85__Insecta_Diptera_Mycetophilidae_Ectrepesthoneura_NA_BOLD_ACC4437_size.28","Diptera","Mycetophilidae","Ectrepesthoneura","NA"
"R5458_5__Insecta_Hymenoptera_Ichneumonidae_NA_sp_BOLD_AAH1913_size.16","Hymenoptera","Ichneumonidae","NA","NA"
"R2059_98__Insecta_Lepidoptera_Cosmopterigidae_Sorhagenia_Sorhagenia_nimbosus_BOLD_AAE8668_size.35","Lepidoptera","Cosmopterigidae","Sorhagenia","nimbosus"
"R2173_81__Insecta_Diptera_Tachinidae_Allophorocera_sp_BOLD_ACU5190_size.366","Diptera","Tachinidae","Allophorocera","NA"
"R1000_75__Insecta_Lepidoptera_Geometridae_Ultralcis_Ultralcis_latipennis_BOLD_AAC8430_size.243","Lepidoptera","Geometridae","Ultralcis","latipennis"
"R5016_2__Insecta_Diptera_Dolichopodidae_NA_sp_BOLD_ACT7566_size.23","Diptera","Dolichopodidae","NA","NA"
"R1919_127__Insecta_Coleoptera_Cerambycidae_Eumichthus_Eumichthus_oedipus_BOLD_AAY3573_size.25","Coleoptera","Cerambycidae","Eumichthus","oedipus"
"R2788_34__Insecta_Diptera_NA_NA_sp_BOLD_AAN9015_size.106","Diptera","NA","NA","NA"
"R3381_30__Insecta_Hymenoptera_Formicidae_Polyrhachis_Polyrhachis_laevigata_BOLD_AAI6520_size.151","Hymenoptera","Formicidae","Polyrhachis","laevigata"
"R5931_3__Insecta_Diptera_Cecidomyiidae_NA_sp_BOLD_AAP6848_size.16","Diptera","Cecidomyiidae","NA","NA"
"R3255_28__Insecta_Diptera_Cecidomyiidae_NA_sp_BOLD_AAH3621_size.13","Diptera","Cecidomyiidae","NA","NA"
"R1275_3__Insecta_Coleoptera_Cerambycidae_Lepturopsis_Lepturopsis_dolorosa_BOLD_AAJ1376_size.1933","Coleoptera","Cerambycidae","Lepturopsis","dolorosa"
"R1662_12__Insecta_Lepidoptera_Geometridae_Eupithecia_Eupithecia_maestosa_BOLD_AAA7998_size.317","Lepidoptera","Geometridae","Eupithecia","maestosa"
"R2477_48__Insecta_Lepidoptera_Tortricidae_Thaumatographa_Thaumatographa_youngiella_BOLD_AAE7723_size.121","Lepidoptera","Tortricidae","Thaumatographa","youngiella"
"R1757_144__Insecta_Hymenoptera_Crabronidae_Trypoxylon_Trypoxylon_clavicerum_BOLD_AAN3726_size.9","Hymenoptera","Crabronidae","Trypoxylon","clavicerum"
"R2400_60__Insecta_Coleoptera_Cerambycidae_Xestoleptura_sp_BOLD_AAD0073_size.3","Coleoptera","Cerambycidae","Xestoleptura","NA"
"R2982_12__Insecta_Lepidoptera_Gracillariidae_Caloptilia_Caloptilia_alnivorella_BOLD_AAB7939_size.33","Lepidoptera","Gracillariidae","Caloptilia","alnivorella"
"R4115__Insecta_Coleoptera_BOLD_ACG3777_size.859","Coleoptera","NA","NA","NA"
"R2041_12__Insecta_Coleoptera_Ampedidae_Ampedus_Ampedus_phoenicopterus_BOLD_ACA3174_size.167","Coleoptera","Ampedidae","Ampedus","phoenicopterus"
"R3568_2__Insecta_Lepidoptera_Tineidae_NA_NA_BOLD_ADC2083_size.258","Lepidoptera","Tineidae","NA","NA"
"R2931_18__Insecta_Coleoptera_BOLD_ACI5218_size.4","Coleoptera","NA","NA","NA"
"R2712_33__Arachnida_Araneae_Gnaphosidae_Sergiolus_sp_BOLD_AAP4007_size.116","Araneae","Gnaphosidae","Sergiolus","NA"
"R2540_70__Insecta_Lepidoptera_NA_NA_sp_BOLD_ACG2659_size.9","Lepidoptera","NA","NA","NA"
"R3219_15__Insecta_Neuroptera_Chrysopidae_Meleoma_Meleoma_dolicharthra_BOLD_AAG2021_size.16","Neuroptera","Chrysopidae","Meleoma","dolicharthra"
"R1_97__Insecta_Coleoptera_Ampedidae_Ampedus_Ampedus_rhodopus_BOLD_ACC8889_size.110","Coleoptera","Ampedidae","Ampedus","rhodopus"
"R1201_77__Insecta_Coleoptera_Cleridae_Enoclerus_sp_BOLD_ACI7539_size.441","Coleoptera","Cleridae","Enoclerus","NA"
"R2292_46__Insecta_Neuroptera_Chrysopidae_Nothochrysa_sp_BOLD_ACF9634_size.19","Neuroptera","Chrysopidae","Nothochrysa","NA"
"R1106_11__Insecta_Coleoptera_Elateridae_Hemicrepidius_Hemicrepidius_morio_BOLD_ACU3371_size.1841","Coleoptera","Elateridae","Hemicrepidius","morio"
"R1183_222__Insecta_Coleoptera_BOLD_ACI2933_size.9","Coleoptera","NA","NA","NA"
"R2692_17__Insecta_Coleoptera_Melandryidae_Scotochroa_Scotochroa_basalis_BOLD_AAL8069_size.243","Coleoptera","Melandryidae","Scotochroa","basalis"
"R3743_26__Insecta_Hymenoptera_Ichneumonidae_Diadromus_NA_BOLD_ACD3537_size.10","Hymenoptera","Ichneumonidae","Diadromus","NA"
"R2523_9__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACL4416_size.31","Diptera","Phoridae","Megaselia","NA"
"R4090_13__Insecta_Hymenoptera_Formicidae_Formica_NA_BOLD_AAD8688_size.59","Hymenoptera","Formicidae","Formica","NA"
"R2900_12__Insecta_Lepidoptera_Crambidae_Eudonia_sp_BOLD_AAD2838_size.653","Lepidoptera","Crambidae","Eudonia","NA"
"R1699_129__Insecta_Diptera_Muscidae_Phaonia_Phaonia_pallidosa_BOLD_ACC6781_size.90","Diptera","Muscidae","Phaonia","pallidosa"
"R1406_181__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_AAU5627_size.28","Diptera","Phoridae","Megaselia","NA"
"R3763_15__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACB9710_size.68","Diptera","Cecidomyiidae","NA","NA"
"R626_140__Insecta_Coleoptera_Bostrichidae_Melalgus_Melalgus_confertus_BOLD_ACU3155_size.330","Coleoptera","Bostrichidae","Melalgus","confertus"
"R2506_47__Insecta_Orthoptera_Rhaphidophoridae_Pristoceuthophilus_sp_BOLD_AAU6113_size.611","Orthoptera","Rhaphidophoridae","Pristoceuthophilus","NA"
"R2739_53__Insecta_Orthoptera_Rhaphidophoridae_Pristoceuthophilus_sp_BOLD_AAU6113_size.6","Orthoptera","Rhaphidophoridae","Pristoceuthophilus","NA"
"R272_236__Insecta_Lepidoptera_Pyralidae_Ephestiodes_Ephestiodes_gilvescentella_BOLD_AAA2650_size.46","Lepidoptera","Pyralidae","Ephestiodes","gilvescentella"
"R1647_110__Insecta_Lepidoptera_Crambidae_Catoptria_Catoptria_oregonicus_BOLD_ACE2907_size.186","Lepidoptera","Crambidae","Catoptria","oregonicus"
"R875_232__Insecta_Diptera_BOLD_ABV1408_size.35","Diptera","NA","NA","NA"
"R1370_142__Insecta_Coleoptera_BOLD_AAP7198_size.58","Coleoptera","NA","NA","NA"
"R1736_109__Insecta_Lepidoptera_Symmocidae_Glyphidocera_Glyphidocera_septentrionella_BOLD_AAH4943_size.232","Lepidoptera","Symmocidae","Glyphidocera","septentrionella"
"R1802_11__Insecta_Lepidoptera_Tortricidae_Rhopobota_Rhopobota_naevana_BOLD_AAA9812_size.110","Lepidoptera","Tortricidae","Rhopobota","naevana"
"R3691_4__Insecta_Coleoptera_Oedemeridae_Nacerdes_sp_BOLD_ACA8932_size.303","Coleoptera","Oedemeridae","Nacerdes","NA"
"R3419_2__Insecta_Lepidoptera_Tortricidae_Argyrotaenia_Argyrotaenia_provana_BOLD_AAB6362_size.368","Lepidoptera","Tortricidae","Argyrotaenia","provana"
"R1037_87__Insecta_Lepidoptera_Noctuidae_Abagrotis_Abagrotis_trigona_BOLD_ABY3181_size.463","Lepidoptera","Noctuidae","Abagrotis","trigona"
"R483_99__Insecta_Coleoptera_BOLD_ABW9891_size.637","Coleoptera","NA","NA","NA"
"R8_80__Insecta_Coleoptera_Coccinellidae_Psyllobora_Psyllobora_borealis_BOLD_ACA7954_size.67","Coleoptera","Coccinellidae","Psyllobora","borealis"
"R1559_3__Insecta_Lepidoptera_Blastobasidae_Blastobasis_Blastobasis_glandulella_BOLD_AAG8588_size.193","Lepidoptera","Blastobasidae","Blastobasis","glandulella"
"R1565_81__Insecta_Lepidoptera_Gelechiidae_Bryotropha_NA_BOLD_AAC5850_size.96","Lepidoptera","Gelechiidae","Bryotropha","NA"
"R543_162__Insecta_Lepidoptera_Gelechiidae_Bryotropha_Bryotropha_similis_BOLD_AAA2297_size.11","Lepidoptera","Gelechiidae","Bryotropha","similis"
"R382_149__Insecta_Diptera_Tachinidae_Peleteria_sp_BOLD_ABY4454_size.244","Diptera","Tachinidae","Peleteria","NA"
"R1576_74__Insecta_Lepidoptera_Hesperiidae_Ochlodes_Ochlodes_sylvanoides_BOLD_AAC3799_size.1478","Lepidoptera","Hesperiidae","Ochlodes","sylvanoides"
"R545_141__Insecta_Lepidoptera_Noctuidae_Adelphagrotis_Adelphagrotis_indeterminata_BOLD_ABZ5978_size.131","Lepidoptera","Noctuidae","Adelphagrotis","indeterminata"
"R1242_89__Insecta_Diptera_Asilidae_Machimus_Machimus_vescus_BOLD_AAU2341_size.660","Diptera","Asilidae","Machimus","vescus"
"R3152_23__Insecta_Lepidoptera_NA_NA_sp_BOLD_ACG8924_size.192","Lepidoptera","NA","NA","NA"
"R391_176__Insecta_Diptera_Asilidae_Cophura_Cophura_brevicornis_BOLD_AAV9337_size.105","Diptera","Asilidae","Cophura","brevicornis"
"R973_171__Insecta_Hemiptera_Cicadellidae_Osbornellus_NA_BOLD_ACF6049_size.12","Hemiptera","Cicadellidae","Osbornellus","NA"
"R493_28__Insecta_Diptera_Tachinidae_Exorista_Exorista_dydas_BOLD_ABZ7039_size.111","Diptera","Tachinidae","Exorista","dydas"
"R3496_7__Insecta_Hymenoptera_Ichneumonidae_Cubocephalus_NA_BOLD_AAG8083_size.128","Hymenoptera","Ichneumonidae","Cubocephalus","NA"
"R1449_133__Insecta_Hymenoptera_Crabronidae_Crossocerus_Crossocerus_annulipes_BOLD_AAM3798_size.26","Hymenoptera","Crabronidae","Crossocerus","annulipes"
"R1770_10__Insecta_Lepidoptera_Gelechiidae_Chionodes_Chionodes_tessa_BOLD_AAH4686_size.73","Lepidoptera","Gelechiidae","Chionodes","tessa"
"R1657_148__Insecta_Hymenoptera_NA_NA_sp_BOLD_AAZ9943_size.4","Hymenoptera","NA","NA","NA"
"R5083_2__Insecta_Hymenoptera_Ichneumonidae_NA_sp_BOLD_AAG5795_size.38","Hymenoptera","Ichneumonidae","NA","NA"
"R1490_129__Insecta_Hymenoptera_Chrysididae_NA_NA_BOLD_AAG0253_size.9","Hymenoptera","Chrysididae","NA","NA"
"R1737_123__Insecta_Hymenoptera_Formicidae_Temnothorax_NA_BOLD_AAK0642_size.14","Hymenoptera","Formicidae","Temnothorax","NA"
"R2757_21__Insecta_Hymenoptera_Pompilidae_Evagetes_NA_BOLD_AAG4378_size.59","Hymenoptera","Pompilidae","Evagetes","NA"
"R1189_56__Insecta_Hemiptera_Pentatomidae_Banasa_Banasa_dimidiata_BOLD_AAI7716_size.26","Hemiptera","Pentatomidae","Banasa","dimidiata"
"R1205_19__Insecta_Diptera_Tachinidae_Catharosia_NA_BOLD_ACA7921_size.26","Diptera","Tachinidae","Catharosia","NA"
"R963_98__Insecta_Lepidoptera_Noctuidae_Homorthodes_Homorthodes_communis_BOLD_AAC1982_size.861","Lepidoptera","Noctuidae","Homorthodes","communis"
"R2551_69__Insecta_Diptera_Chloropidae_Dasyopa_sp_BOLD_ADI1308_size.17","Diptera","Chloropidae","Dasyopa","NA"
"R1796_86__Insecta_Lepidoptera_NA_NA_NA_BOLD_ACK0084_size.9","Lepidoptera","NA","NA","NA"
"R287_29__Insecta_Diptera_Tabanidae_Tabanus_sp_BOLD_AAP7673_size.2258","Diptera","Tabanidae","Tabanus","NA"
"R1665_20__Insecta_Diptera_Syrphidae_Blera_Blera_scitula_BOLD_AAI8832_size.871","Diptera","Syrphidae","Blera","scitula"
"R400_58__Insecta_Diptera_Tachinidae_Ptilodexia_sp_BOLD_AAZ3896_size.1039","Diptera","Tachinidae","Ptilodexia","NA"
"R3888_13__Insecta_Lepidoptera_Gelechiidae_Monochroa_sp_BOLD_AAH4274_size.195","Lepidoptera","Gelechiidae","Monochroa","NA"
"R1_179__Insecta_Diptera_Tabanidae_Tabanus_Tabanus_aegrotus_BOLD_ACD7190_size.834","Diptera","Tabanidae","Tabanus","aegrotus"
"R2157_30__Insecta_Hemiptera_Achilidae_Synecdoche_Synecdoche_nemoralis_BOLD_AAV0215_size.251","Hemiptera","Achilidae","Synecdoche","nemoralis"
"R1416_118__Insecta_Diptera_Syrphidae_Eupeodes_sp_BOLD_AAB2384_size.374","Diptera","Syrphidae","Eupeodes","NA"
"R1447_118__Insecta_Lepidoptera_Blastobasidae_Pigritia_Pigritia_fidella_BOLD_AAD3758_size.34","Lepidoptera","Blastobasidae","Pigritia","fidella"
"R1977_34__Insecta_Coleoptera_Coccinellidae_Cycloneda_Cycloneda_polita_BOLD_ACA6292_size.628","Coleoptera","Coccinellidae","Cycloneda","polita"
"R1298_123__Insecta_Diptera_Chloropidae_Hapleginella_Hapleginella_conicola_BOLD_ADD3574_size.9","Diptera","Chloropidae","Hapleginella","conicola"
"R3537_28__Insecta_Coleoptera_Latridiidae_Enicmus_sp_BOLD_ACG8955_size.11","Coleoptera","Latridiidae","Enicmus","NA"
"R1796_5__Insecta_Diptera_Tachinidae_NA_NA_BOLD_ACI7544_size.281","Diptera","Tachinidae","NA","NA"
"R1_18__Insecta_Diptera_Syrphidae_Chrysotoxum_NA_BOLD_AAA7273_size.1924","Diptera","Syrphidae","Chrysotoxum","NA"
"R1336_131__Insecta_Diptera_Tachinidae_Cylindromyia_NA_BOLD_AAG2137_size.93","Diptera","Tachinidae","Cylindromyia","NA"
"R1230_100__Insecta_Diptera_Syrphidae_Toxomerus_Toxomerus_geminatus_BOLD_AAC1312_size.31","Diptera","Syrphidae","Toxomerus","geminatus"
