"otu","order","family","genus","species"
"R1141_209__Insecta_Psocodea_Caeciliusidae_Valenzuela_NA_BOLD_AAP4636_size.27","Psocodea","Caeciliusidae","Valenzuela","NA"
"R1623_131__Insecta_Diptera_Keroplatidae_NA_sp_BOLD_ACI9068_size.197","Diptera","Keroplatidae","NA","NA"
"R1168_208__Insecta_Hemiptera_Cicadellidae_Empoasca_sp_BOLD_AAN5445_size.46","Hemiptera","Cicadellidae","Empoasca","NA"
"R1975_31__Insecta_Psocodea_Lachesillidae_Lachesilla_NA_BOLD_ACB8951_size.6","Psocodea","Lachesillidae","Lachesilla","NA"
"R1243_204__Insecta_Hymenoptera_Pteromalidae_NA_sp_BOLD_ACJ0781_size.29","Hymenoptera","Pteromalidae","NA","NA"
"R1849_144__Insecta_Diptera_BOLD_ACI9068_size.9","Diptera","NA","NA","NA"
"R1972_80__Insecta_Hymenoptera_Diapriidae_NA_NA_BOLD_ACI9478_size.28","Hymenoptera","Diapriidae","NA","NA"
"R113_12__Insecta_Coleoptera_Curculionidae_NA_NA_BOLD_ADQ7967_size.9","Coleoptera","Curculionidae","NA","NA"
"R3179_24__Insecta_Diptera_Mycetophilidae_Novakia_sp_BOLD_ADD0679_size.4","Diptera","Mycetophilidae","Novakia","NA"
"R1032__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_arenaria_BOLD_AAC0675_size.41572","Hymenoptera","Vespidae","Dolichovespula","arenaria"
"R603_18__Insecta_Diptera_Tabanidae_Hybomitra_Hybomitra_rhombica_BOLD_AAG4571_size.6761","Diptera","Tabanidae","Hybomitra","rhombica"
"R100_2__Insecta_Coleoptera_Cerambycidae_Leptura_Leptura_obliterata_BOLD_AAG5563_size.14703","Coleoptera","Cerambycidae","Leptura","obliterata"
"R2074_10__Insecta_Hymenoptera_Apidae_Bombus_Bombus_sitkensis_BOLD_ACU8557_size.539","Hymenoptera","Apidae","Bombus","sitkensis"
"R1468_10__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACE8616_size.343","Hymenoptera","Ichneumonidae","NA","NA"
"R1585_176__Insecta_Coleoptera_Cerambycidae_Xestoleptura_sp_BOLD_AAB9227_size.224","Coleoptera","Cerambycidae","Xestoleptura","NA"
"R886__Insecta_Lepidoptera_Geometridae_Ceratodalia_Ceratodalia_gueneata_BOLD_AAA5705_size.9756","Lepidoptera","Geometridae","Ceratodalia","gueneata"
"R2462_11__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACF5187_size.75","Hymenoptera","Ichneumonidae","NA","NA"
"R1357_194__Insecta_Diptera_Dryomyzidae_Paradryomyza_Paradryomyza_setosa_BOLD_AAI6087_size.54","Diptera","Dryomyzidae","Paradryomyza","setosa"
"R931_71__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ABY7035_size.185","Hymenoptera","Ichneumonidae","NA","NA"
"R2105__Insecta_Diptera_Limoniidae_NA_NA_BOLD_AAV1806_size.119","Diptera","Limoniidae","NA","NA"
"R2576_2__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACJ0826_size.884","Diptera","Keroplatidae","NA","NA"
"R447__Insecta_Diptera_Mycetophilidae_Mycomya_sp_BOLD_ACJ6978_size.57","Diptera","Mycetophilidae","Mycomya","NA"
"R1314_43__Insecta_Lepidoptera_Gelechiidae_Chionodes_Chionodes_abella_BOLD_AAB6065_size.59","Lepidoptera","Gelechiidae","Chionodes","abella"
"R478_6__Insecta_Neuroptera_Hemerobiidae_Hemerobius_Hemerobius_pacificus_BOLD_AAM7043_size.67","Neuroptera","Hemerobiidae","Hemerobius","pacificus"
"R1839_9__Insecta_Coleoptera_BOLD_ACI9871_size.157","Coleoptera","NA","NA","NA"
"R1907_139__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACG6791_size.15","Hymenoptera","Ichneumonidae","NA","NA"
"R1747_10__Insecta_Hymenoptera_Formicidae_Camponotus_Camponotus_modoc_BOLD_AAC9538_size.376","Hymenoptera","Formicidae","Camponotus","modoc"
"R2767_28__Insecta_Hymenoptera_Apidae_Bombus_sp_BOLD_AAI4757_size.24","Hymenoptera","Apidae","Bombus","NA"
"R3098_8__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACG4506_size.256","Hymenoptera","Ichneumonidae","NA","NA"
"R1189_5__Insecta_Diptera_Sciaridae_Bradysia_Bradysia_browni_BOLD_ACD0175_size.562","Diptera","Sciaridae","Bradysia","browni"
"R3151_6__Insecta_Psocodea_BOLD_ACD8202_size.253","Psocodea","NA","NA","NA"
"R274_14__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ABV3271_size.36","Diptera","Sciaridae","NA","NA"
"R1254_60__Insecta_Coleoptera_Scraptiidae_Anaspis_Anaspis_olympiae_BOLD_ACC3109_size.26","Coleoptera","Scraptiidae","Anaspis","olympiae"
"R3412_2__Arachnida_Araneae_Linyphiidae_Neriene_Neriene_litigiosa_BOLD_AAX6329_size.223","Araneae","Linyphiidae","Neriene","litigiosa"
"R3251_24__Insecta_Hymenoptera_NA_NA_sp_BOLD_ACX0918_size.9","Hymenoptera","NA","NA","NA"
"R3302_5__Insecta_Diptera_BOLD_AAI1185_size.69","Diptera","NA","NA","NA"
"R1996__Insecta_Psocodea_Caeciliusidae_Valenzuela_NA_BOLD_AAP4630_size.604","Psocodea","Caeciliusidae","Valenzuela","NA"
"R1744_10__Insecta_Diptera_Mycetophilidae_Syntemna_NA_BOLD_ACG6555_size.4","Diptera","Mycetophilidae","Syntemna","NA"
"R983_14__Insecta_Lepidoptera_Gelechiidae_Coleotechnites_Coleotechnites_piceaella_BOLD_AAA5953_size.28","Lepidoptera","Gelechiidae","Coleotechnites","piceaella"
"R2410_84__Insecta_Hemiptera_Aphididae_Essigella_Essigella_wilsoni_BOLD_ACC4249_size.13","Hemiptera","Aphididae","Essigella","wilsoni"
"R1827_11__Insecta_Diptera_NA_NA_sp_BOLD_ACM5761_size.113","Diptera","NA","NA","NA"
"R1261_3__Insecta_Diptera_Chironomidae_NA_NA_BOLD_ACB9301_size.415","Diptera","Chironomidae","NA","NA"
"R1764_18__Insecta_Hemiptera_Aphididae_Cinara_Cinara_pseudotaxifoliae_BOLD_ABU8198_size.85","Hemiptera","Aphididae","Cinara","pseudotaxifoliae"
"R922_71__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACT6419_size.100","Hymenoptera","Ichneumonidae","NA","NA"
"R732__Insecta_Diptera_Muscidae_Phaonia_NA_BOLD_ACI3443_size.115833","Diptera","Muscidae","Phaonia","NA"
"R273_20__Insecta_Diptera_Tabanidae_Hybomitra_sp_BOLD_AAB1544_size.9089","Diptera","Tabanidae","Hybomitra","NA"
"R921_6__Insecta_Hymenoptera_Vespidae_Vespula_Vespula_alascensis_BOLD_AAE3820_size.26112","Hymenoptera","Vespidae","Vespula","alascensis"
"R656_5__Insecta_Lepidoptera_Geometridae_Neoalcis_Neoalcis_californiaria_BOLD_ABZ2954_size.16709","Lepidoptera","Geometridae","Neoalcis","californiaria"
"R2208_7__Insecta_Coleoptera_Cerambycidae_Xestoleptura_Xestoleptura_crassipes_BOLD_AAD0073_size.2082","Coleoptera","Cerambycidae","Xestoleptura","crassipes"
"R1_3__Arachnida_Opiliones_Phalangiidae_Leptobunus_sp_BOLD_ACI7739_size.2111","Opiliones","Phalangiidae","Leptobunus","NA"
"R3700_2__Insecta_Plecoptera_Nemouridae_Malenka_sp_BOLD_ACD4370_size.153","Plecoptera","Nemouridae","Malenka","NA"
"R2913_41__Insecta_Diptera_Limoniidae_Dicranoptycha_NA_BOLD_ADC2213_size.50","Diptera","Limoniidae","Dicranoptycha","NA"
"R1011_2__Insecta_Orthoptera_Rhaphidophoridae_Pristoceuthophilus_Pristoceuthophilus_cercalis_BOLD_AAG2718_size.2593","Orthoptera","Rhaphidophoridae","Pristoceuthophilus","cercalis"
"R2031__Insecta_Hemiptera_Reduviidae_Zelus_Zelus_tetracanthus_BOLD_AAG3816_size.330","Hemiptera","Reduviidae","Zelus","tetracanthus"
"R3195_3__Insecta_Coleoptera_Elateridae_Hypoganus_NA_BOLD_ACU7917_size.1627","Coleoptera","Elateridae","Hypoganus","NA"
"R1976_21__Insecta_Diptera_Anthomyiidae_NA_NA_BOLD_ACC2962_size.581","Diptera","Anthomyiidae","NA","NA"
"R1586_125__Insecta_Orthoptera_Rhaphidophoridae_Pristoceuthophilus_sp_BOLD_AAG2718_size.26","Orthoptera","Rhaphidophoridae","Pristoceuthophilus","NA"
"R1857_28__Insecta_Lepidoptera_Geometridae_Macaria_NA_BOLD_AAA1255_size.121","Lepidoptera","Geometridae","Macaria","NA"
"R2236_47__Insecta_Diptera_Empididae_Rhamphomyia_sp_BOLD_ACA1451_size.10","Diptera","Empididae","Rhamphomyia","NA"
