rownumber,SiteName,UTM_E,UTM_N,o,y,point.ID,poly.ID,AGENCY,UNIT_NAME,TS_NAME,YEAR,YrsSinceDi,TREATMENT_,class,e,ht,mint,maxt,p,r.d,s.d,YrsSinceDist,hja
34,179439,564607,4903596,52,0,34,NA,NA,NA,NA,NA,NA,NA,NA,2338.77002,116.25,3.910000086,14.72999954,2091.669922,47.64814061,86.2344706,200,0
35,161191,565031,4904352,32,0,35,NA,NA,NA,NA,NA,NA,NA,NA,2400.47998,135.2199707,3.690000057,14.48999977,2123.879883,43.81621462,99.25603507,200,0
36,124031,568830,4905948,27,0,36,NA,NA,NA,NA,NA,NA,NA,NA,3317.610107,20.67993164,2.200000048,13.40999985,2325.080078,34.84894743,308.894706,200,0
37,81090,567429,4904826,1,29,37,95,USFS,WIL,LOOK UP,1990,28,Clearcut,1,3193.590088,38.95996094,3.309999943,14.06999969,2223.169922,55.92009946,343.8709441,28,0
38,135431,568424,4905487,4,3,38,64,USFS,WIL,NA,1962,56,Clearcut,2,3347.52002,41.85009766,2.440000057,13.53999996,2256.27002,48.39230375,185.8197912,3,0
39,150802,565612,4903947,33,13,39,1509,USFS,WIL,NA,2005,13,Clearcut,1,2665.659912,4.880126953,3.50999999,14.38000011,2140.879883,35.1231535,513.5353611,13,0
40,150801,566740,4904503,41,0,40,NA,NA,NA,NA,NA,NA,NA,NA,3014.75,91.09008789,3.569999933,14.39000034,2180.899902,56.72972546,82.68166528,200,0
41,258173,565879,4903183,31,0,41,137,USFS,WIL,WEST CARPENTER,1980,38,Clearcut,1,3172.169922,48.86010742,3.299999952,13.97000027,2151.419922,16.29043157,1217.548775,38,0
42,248762,564142,4900864,39,12,42,1504,USFS,WIL,NA,2006,12,Clearcut,1,2725.840088,3.949951172,3.799999952,14.67000008,2001.650024,54.14431711,1109.62215,12,0
43,HOBO-016,564939,4897856,32,0,43,301,USFS,WIL,BLUE RIVER #2,1959,59,Clearcut,2,2091.719971,205.0300293,3.450000048,15.14999962,2126.570068,61.45096472,163.6791932,59,1
44,HOBO-036,566184,4897312,9,0,44,315,USFS,WIL,NA,1959,59,Clearcut,2,2571.840088,0.169921875,3.970000029,14.97000027,2271.949951,4.549374134,260.140908,59,1
45,HOBO-242,567092,4898047,55,0,45,NA,NA,NA,NA,NA,NA,NA,NA,2440.939941,156.8901367,3.910000086,14.73999977,2224.310059,63.44591114,43.32174253,200,1
46,SM-06,566963,4897321,62,0,46,NA,NA,NA,NA,NA,NA,NA,NA,2588.370117,11.55981445,3.970000029,14.97000027,2271.949951,79.33196055,457.1075025,200,1
47,HOBO-331,570775,4896043,44,0,47,NA,NA,NA,NA,NA,NA,NA,NA,3661.409912,51.16015625,3.049999952,13.85999966,2629.840088,58.82095611,39.98328825,200,1
48,HOBO-333,570483,4895464,40,0,48,NA,NA,NA,NA,NA,NA,NA,NA,4133.089844,84.59033203,3.049999952,13.10999966,2670.929932,22.27125232,142.913039,200,1
49,HOBO-216,569855,4894866,46,0,49,NA,NA,NA,NA,NA,NA,NA,NA,4675.850098,69.06005859,1.860000014,12.10999966,2633.399902,618.0357965,428.058255,200,1
50,HOBO-233,569577,4895393,6,0,50,NA,NA,NA,NA,NA,NA,NA,NA,4894.779785,36.45019531,1.860000014,12.10999966,2633.399902,784.8737929,238.4300242,200,1
51,SM-03,563839,4897717,81,0,51,NA,NA,NA,NA,NA,NA,NA,NA,2060.419922,60.51000977,4.059999943,14.85999966,2224.189941,142.8020292,358.2625665,200,1
52,HOBO-349,562725,4897644,66,0,52,NA,NA,NA,NA,NA,NA,NA,NA,1849.26001,53.35998535,3.549999952,15.27000046,2121.790039,18.36726068,317.6982905,200,1
53,307043,557449,4898230,7,0,53,271,USFS,WIL,NA,1959,59,Clearcut,2,1836.187622,80.0378418,4.199999809,15.30000019,2151,39.40456543,91.3977259,59,0
54,292528,555665,4898922,2,0,54,263,USFS,WIL,TIDBITS B-205,1962,56,Clearcut,2,2738.218018,29.39306641,4.079999924,14.06999969,2427.439941,38.8224428,232.976196,56,0
55,378882,555122,4899228,3,0,55,243,USFS,WIL,TIDBITS CREEK B-206,1962,56,Clearcut,2,2908.855225,66.83740234,3.200000048,13.86999989,2491.179932,51.48378308,228.9418989,56,0
