"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean"
1,0,0.9,0.5,1,1,0.3,"relu",1,1,0.699808137076448,-15.1008621351876,0.0858936840556091,1.33326456856346,0.567139118643619,-16.9914578166018,-0.0053688961814177,1.08758020641551
2,0.1,0.9,0.75,0.75,2,0.5,"relu",0.6,0.2,0.613711486095162,-15.8829904208488,0.0242653167557114,1.10549131705817,0.544631080046916,-17.1591178827491,-0.00756733796343782,1.0361632397812
