"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","diff.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","diff.test_mean","cor.test_mean","auc.lt5.test_mean"
376,0.2,1,1,0,0.001,1,0.1,"relu",0.1,0.2,0.891187718566661,-20.2372422240325,0.476972951544596,4.63055085095583,0.302032417883737,0.587100784248352,0.2,0.657349137351865,-9.28216789249605,-0.31745683432795,1.97722872471083,0.0847780013689179,0.196468839080433,13.4
127,1,0,0.25,1,0.001,2,0.2,"relu",0.4,0.8,0.861812422941564,-23.3918588624974,0.369555327089884,2.93321169038468,0.204081584888391,0.515993892320914,0,0.643858001280133,-8.35443505228086,-0.0510266384932485,1.72902100638234,0.0713515952053393,0.192161822747972,17.4
994,0.4,0.6,0.5,0,0.001,2,0.2,"relu",0,0,0.800938469626588,-26.4440169809531,0.260715932692102,2.19993979370143,0.132799567496046,0.412570455081976,0,0.611312014183084,-8.44079913408881,-0.0396366161084007,1.359830272915,0.0471210189120829,0.155022675108796,18
766,0.2,1,0.75,0.5,0.002,1,0.1,"relu",0.6,1,0.910363684493397,-18.7380637809001,0.528641578075349,5.98227478756575,0.34223911611876,0.631151311118891,0,0.613493651838959,-11.3922410109217,-1.66596160405586,15.0787788800619,0.0714731167019886,0.150712094509538,17.8
789,0.4,0.6,0.75,0.75,0.001,2,0.2,"relu",0,0.7,0.794741891387878,-26.6036336240682,0.252971964983191,2.14671028314531,0.128140183219902,0.400938287587401,0.4,0.592636306192605,-8.70815229279992,-0.111097827738918,1.3254684143442,0.0369218400166058,0.125795961650969,21.2
519,0,0.4,0.75,0.75,0.001,1,0.2,"relu",0.9,0.9,0.887581543876578,-21.197338236774,0.446271918655304,3.80923100785446,0.261935399061412,0.571374403610273,0,0.648153547091873,-8.93053927027468,-0.211343566115596,1.84876811380719,0.0806743575088325,0.200678720185379,14.4
122,0.6,1,0,0.25,0.002,2,0.1,"relu",0.9,0.8,0.928289421964178,-17.3089415540831,0.572703994347732,6.62791804408625,0.38921448918677,0.673650015570783,0,0.653103869905311,-10.5837133484262,-0.779285014085047,2.28582785584017,0.0936109898445451,0.181750147356605,12.6
